S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,244815,BC,190.5,6723,2634,AD,BC
2,280022,BCM,189.5,8052,2641,IT,OC
3,299299,OC,188.5,8924,1501,EC,OC
4,303727,BC,188,9634,2735,ME,OC
5,388617,MBC,184.5,13290,2755,CS,MBC
6,391028,BCM,182.5,15348,1218,AD,OC
7,320880,BC,179.5,19010,3805,IT,BC
8,412392,MBC,178.5,20400,1504,IT,MBC
9,385671,BC,178,21233,4955,CB,BC
10,428769,MBC,177.58,21467,2646,CS,OC
11,417589,BC,177.5,21850,1311,EE,BC
12,245629,SC,176.5,22929,1219,CH,SC
13,348847,SC,176.5,22972,2601,AD,SC
14,297060,SC,176.5,23070,2369,EE,SC
15,283038,SC,176.5,23202,1216,CS,SC
16,240996,MBC,176.5,23258,5,IT,MBC
17,424593,BCM,176.12,23430,1422,EE,BCM
18,418485,MBC,176,23598,3814,CS,OC
19,320904,BC,176,23635,1122,CH,OC
20,367770,MBC,176,23895,5,IT,MBC
21,227040,BC,176,24007,2329,AG,OC
22,289858,BC,176,24117,1316,CS,BC
23,406176,MBC,176,24125,4680,AD,MBC
24,366775,BCM,176,24152,4020,GI,BCM
25,317294,MBC,175.5,24234,2755,CS,MBC
26,286846,MBC,175.5,24535,1237,CS,MBC
27,323222,BC,175.5,24578,1307,EC,BC
28,283852,MBC,175.5,24767,1237,AD,MBC
29,366320,MBC,175.365,24865,2753,AD,MBC
30,253158,MBC,175.185,24873,1225,IT,MBC
31,312686,SC,175,24900,1419,IT,SC
32,407892,SC,175,24958,1419,EC,SC
33,323519,BC,175,24986,5,CS,BC
34,390543,SC,175,25011,2729,CS,SC
35,215279,MBC,175,25054,4959,AD,MBC
36,335614,MBC,175,25138,4680,SC,OC
37,397044,MBC,175,25216,5009,EE,MBC
38,353370,SC,175,25466,2739,IT,SC
39,310822,BC,175,25530,2776,CS,BC
40,310197,SC,174.89,25567,3021,CS,SC
41,315463,MBC,174.5,25674,1419,CE,MBC
42,356246,MBC,174.5,25732,1411,EC,OC
43,353027,BC,174.5,26012,2607,EC,BC
44,287547,MBC,174.5,26035,4680,CS,MBC
45,322585,MBC,174.5,26073,2727,AG,MBC
46,244189,SC,174,26399,5009,EE,SC
47,232396,MBC,174,26643,1307,SC,MBC
48,406207,MBC,174,26935,2755,IT,MBC
49,247056,BC,174,26980,2608,EE,BC
50,247993,BC,173.62,27041,1509,AD,BC
51,281425,MBC,173.5,27555,2611,CS,MBC
52,253514,MBC,173,27839,5022,CS,MBC
53,313134,MBC,173,27987,1233,IT,OC
54,420134,BCM,173,28013,3011,PH,BCM
55,418633,BC,173,28140,1013,EC,BC
56,342939,MBC,172.5,28495,1409,AD,MBC
57,259523,BC,172.5,28657,3011,ME,OC
58,338666,SC,172.5,28665,2618,AD,SC
59,371507,MBC,172.5,28876,3806,AD,MBC
60,248123,MBC,172.5,29032,1225,CS,MBC
61,205115,BC,172.5,29103,1110,AD,BC
62,238003,MBC,172,29236,3410,EC,OC
63,370951,MBC,172,29440,2628,CS,OC
64,321984,SC,172,29482,1411,CS,SC
65,213507,MBC,172,29567,1114,CB,MBC
66,281247,BC,172,29648,5832,ME,OC
67,382987,SC,172,29760,3844,AD,OC
68,244615,BC,172,29818,5,CS,BC
69,414609,BCM,171.585,29932,3464,EE,BCM
70,427893,MBC,171.5,30001,2755,CS,MBC
71,258248,MBC,171.5,30178,1237,IT,MBC
72,316905,MBC,171.5,30405,2734,CD,MBC
73,325544,MBC,171.5,30485,2743,CS,OC
74,242071,BC,171.5,30516,4989,IT,OC
75,402481,MBC,171.5,30635,2727,AL,MBC
76,393888,MBC,171.5,30665,4957,CS,MBC
77,326540,BC,171.5,30686,2620,CS,BC
78,357105,MBC,171,30724,1232,IT,OC
79,204583,BC,171,30730,2721,AD,BC
80,337592,SCA,171,30907,1210,CS,SCA
81,350365,SC,171,30939,2712,ME,SC
82,406321,BC,171,30994,3807,AD,BC
83,273673,BC,171,31149,2622,CB,OC
84,341043,BC,171,31158,1504,IT,BC
85,267893,MBC,170.79,31539,3830,EC,MBC
86,338220,MBC,170.5,31557,2770,IT,OC
87,411275,MBC,170.5,31657,5009,EE,MBC
88,286094,SC,170.5,31797,4680,CS,SC
89,323688,SC,170.5,31834,4680,IT,SC
90,402890,MBC,170.5,31915,2611,CS,MBC
91,388245,BC,170,32330,2710,ME,BC
92,207161,BC,170,32335,1106,CS,OC
93,387539,BC,170,32913,4971,CE,OC
94,231981,MBC,170,32934,2621,EE,OC
95,354357,MBC,170,33041,2609,AD,MBC
96,299875,MBC,169.5,33088,4960,EE,MBC
97,415287,SC,169.5,33244,2776,CS,SC
98,293874,MBC,169.5,33326,1524,CS,OC
99,221827,BC,169.5,33334,1233,CS,BC
100,328200,BC,169.5,33477,2729,EC,BC
101,235272,MBC,169.5,33659,1409,AD,MBC
102,236455,BC,169.5,33731,1307,AM,BC
103,308037,MBC,169.5,33747,2345,AD,MBC
104,359901,MBC,169.5,33767,2613,EC,MBC
105,377715,MBC,169.5,33802,1226,AD,OC
106,399130,MBC,169,33854,2634,CS,OC
107,378772,MBC,169,33855,2639,EC,OC
108,367453,SC,169,33870,3805,AD,SC
109,246618,MBC,169,33898,3701,CS,MBC
110,415417,BC,169,33944,1149,EE,BC
111,342302,BC,169,33972,2621,CS,BC
112,318605,SC,169,34056,1317,EE,SC
113,357672,MBC,169,34082,1226,CS,MBC
114,358283,MBC,169,34132,2729,AD,MBC
115,385660,BC,169,34235,4969,CS,OC
116,341379,BC,169,34537,1322,CS,OC
117,346305,MBC,169,34630,1412,EC,OC
118,267476,SC,168.68,34649,1324,CS,SC
119,229862,SC,168.5,34720,4680,CS,SC
120,379635,BC,168.5,34745,2607,EC,BC
121,344775,BC,168.5,34797,1520,CS,BC
122,408784,BC,168.5,35062,1442,BM,OC
123,337166,MBC,168.5,35286,4957,CS,MBC
124,314727,BC,168.5,35319,1504,AD,BC
125,237392,BC,168.5,35326,2622,AM,BC
126,231519,SC,168.5,35392,1419,EC,SC
127,254632,SC,168.5,35396,1307,IT,SC
128,376938,BC,168.305,35421,1442,BM,OC
129,390097,BC,168.24,35425,1431,AD,BC
130,345826,BC,168,35439,1310,IT,OC
131,265119,BCM,168,35498,1101,CS,OC
132,245845,MBC,168,35521,2727,SC,MBC
133,314305,MBC,168,35526,4680,SC,OC
134,315548,SC,168,35613,1241,AD,SC
135,287054,SC,168,35683,5913,CS,OC
136,310183,BC,168,35716,1110,AD,BC
137,291721,MBC,168,35722,2328,CS,MBC
138,311766,MBC,168,35757,2719,BM,MBC
139,405400,BCM,168,35842,3849,CS,OC
140,257307,BC,168,35982,1126,EC,OC
141,405557,BC,168,36065,1149,EE,BC
142,336568,BC,168,36123,1311,EE,BC
143,259959,MBC,168,36153,4678,CS,MBC
144,305454,BC,167.5,36298,3829,CS,BC
145,255260,BC,167.5,36324,3464,EE,BC
146,372152,BC,167.5,36356,2610,EC,OC
147,347320,BCM,167.5,36361,3829,AD,BCM
148,397196,BC,167.5,36387,1408,SC,BC
149,273230,BC,167.5,36482,4995,CS,BC
150,226653,BC,167.5,36648,1237,EC,BC
151,270989,BC,167.5,36680,2743,AD,BC
152,258796,BC,167.5,36776,1304,ME,BC
153,260890,SC,167.5,36835,2723,EC,SC
154,383285,SC,167.5,36842,2749,AD,OC
155,268008,SC,167.5,36888,4969,CS,SC
156,406137,MBC,167.5,37001,4680,AD,MBC
157,412660,MBC,167,37058,2716,AD,OC
158,421245,BC,167,37093,4959,BT,BC
159,339932,SC,167,37210,3820,AD,OC
160,341345,BC,167,37271,1310,AD,BC
161,406241,MBC,167,37316,5,IT,MBC
162,411416,BC,167,37335,3805,AD,BC
163,200626,SC,167,37411,2711,CS,SC
164,426783,BC,167,37431,2744,CS,BC
165,244484,BC,167,37679,2345,EE,OC
166,400159,SC,167,37700,1317,AD,SC
167,390109,ST,166.87,37856,2369,CS,ST
168,329795,BC,166.5,38002,2623,AD,BC
169,261970,MBC,166.5,38031,1408,AL,MBC
170,344897,BC,166.5,38162,3826,EE,BC
171,208177,BC,166.5,38181,4955,CB,BC
172,333451,BC,166.5,38228,5910,BM,BC
173,286998,MBC,166.5,38284,3021,EC,OC
174,225541,MBC,166.5,38319,2736,SC,MBC
175,206846,MBC,166.5,38327,2769,AD,OC
176,278842,MBC,166.5,38363,2727,AL,MBC
177,308215,MBC,166.5,38581,1504,EC,MBC
178,424221,MBC,166.495,38690,2640,IT,OC
179,324455,SC,166,38816,4957,AD,SC
