S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,200.0,1,1,CS,OC
2,200.0,2,1,CS,OC
3,200.0,3,1,CS,OC
4,200.0,5,1,CS,OC
5,200.0,6,1,CS,OC
6,200.0,7,1,CS,OC
7,200.0,8,1315,CS,OC
8,200.0,9,1,EC,OC
9,200.0,11,1,EC,OC
10,200.0,12,2006,CM,OC
11,200.0,14,1,CS,OC
12,200.0,15,1,CS,OC
13,200.0,16,1,EC,OC
14,200.0,17,1,CS,OC
15,200.0,18,5008,CS,OC
16,200.0,19,1,CS,OC
17,200.0,20,1,EC,OC
18,200.0,21,2006,EC,OC
19,200.0,22,2006,CM,OC
20,200.0,23,2006,CM,OC
21,200.0,25,2006,CM,OC
22,200.0,26,1,CS,OC
23,200.0,27,1,CS,OC
24,200.0,28,1,CS,OC
25,200.0,30,1,CS,OC
26,200.0,31,1,EC,OC
27,200.0,32,1,CS,OC
28,200.0,35,1,CS,MBC
29,200.0,36,1,CS,BC
30,200.0,37,2006,CM,OC
31,200.0,38,1,CS,BC
32,200.0,39,1,CS,BC
33,200.0,40,1,EC,OC
34,200.0,41,1,CS,BC
35,200.0,42,1,CS,MBC
36,200.0,43,1,EC,OC
37,200.0,44,1,CS,BC
38,200.0,45,1,CS,BC
39,200.0,46,1,EC,OC
40,200.0,48,1315,CS,OC
41,200.0,49,1,CS,BC
42,200.0,52,1,CM,OC
43,200.0,54,1315,CS,OC
44,200.0,55,2006,CM,OC
45,200.0,56,1,ME,OC
46,200.0,57,2006,CM,OC
47,200.0,58,1,CS,BC
48,200.0,60,1,EC,OC
49,200.0,61,1,CS,MBC
50,200.0,64,1,CM,OC
51,200.0,65,1,CS,BC
52,200.0,68,1,CS,BC
53,200.0,66,1315,EC,OC
54,200.0,67,2006,CM,OC
55,200.0,69,1,CS,BC
56,200.0,71,2006,EE,OC
57,200.0,73,1,EC,OC
58,200.0,74,1,EC,OC
59,200.0,75,1,CS,BC
60,200.0,77,1,CS,BC
61,200.0,78,1,CS,BC
62,200.0,80,1,CS,BC
63,200.0,82,1,EC,OC
64,200.0,83,1,EC,OC
65,200.0,84,1,CM,OC
66,200.0,85,1,EC,OC
67,200.0,86,1315,IT,OC
68,200.0,87,1,CS,MBC
69,200.0,88,1,IM,OC
70,200.0,89,1,CS,MBC
71,200.0,90,1,CS,MBC
72,200.0,91,1,CM,OC
73,200.0,92,1,ME,OC
74,200.0,93,1,EC,OC
75,200.0,94,1,EC,BC
76,200.0,95,1,CM,OC
77,200.0,97,1,CS,SC
78,200.0,100,2006,EC,OC
79,200.0,101,1315,CS,OC
80,200.0,102,1,CM,OC
81,199.7,105,1315,CS,OC
82,199.7,106,1,CM,OC
83,199.7,107,1,CM,OC
84,199.7,109,1,EC,BC
85,199.5,110,1,CS,MBC
86,199.5,111,1,CM,OC
87,199.5,112,1,CM,OC
88,199.5,113,1,IM,OC
89,199.5,114,1,ME,OC
90,199.5,115,1,CM,OC
91,199.5,116,4,AT,OC
92,199.5,118,1,CM,OC
93,199.5,120,1,CS,BCM
94,199.5,121,4,AT,OC
95,199.5,122,1,CM,OC
96,199.5,123,1,CM,OC
97,199.5,124,1,CM,OC
98,199.5,128,2006,RA,OC
99,199.5,129,1,CM,OC
100,199.5,130,1,CM,OC
101,199.5,133,1315,CS,OC
102,199.5,134,1,CS,BCM
103,199.5,135,1,EC,BC
104,199.5,136,1,CS,MBC
105,199.5,137,4,AT,OC
106,199.5,138,1,CS,MBC
107,199.5,139,1,CS,SC
108,199.5,140,2,CH,OC
109,199.5,141,1,EC,BC
110,199.5,142,1,CM,OC
111,199.5,144,1,CM,OC
112,199.5,145,1,EC,BC
113,199.5,146,1,CM,OC
114,199.5,149,2006,EC,OC
115,199.5,150,2006,EC,OC
116,199.5,151,1,CM,OC
117,199.5,152,2731,CS,OC
118,199.5,153,1,CM,OC
119,199.5,155,1,CM,OC
120,199.5,156,1,EC,BC
121,199.5,157,1315,CS,OC
122,199.5,159,1,EC,BC
123,199.5,160,5008,CS,OC
124,199.5,161,1,CM,OC
125,199.5,162,5008,CS,OC
126,199.5,163,1,CM,OC
127,199.5,164,4,CS,OC
128,199.5,165,1,CM,OC
129,199.5,166,1,CM,OC
130,199.5,167,1,CM,OC
131,199.5,168,1,CM,OC
132,199.5,169,1,EC,BC
133,199.5,170,1,CM,OC
134,199.5,171,4,AT,OC
135,199.5,172,2006,CM,OC
136,199.5,173,1,CM,BC
137,199.5,174,1,CM,BC
138,199.5,175,1,CM,BC
139,199.5,176,1,EC,BC
140,199.5,177,1,CM,MBC
141,199.5,179,1315,CS,OC
142,199.5,180,1,IM,OC
143,199.5,181,1315,CS,OC
144,199.5,182,1,EC,BC
145,199.5,183,1315,CS,OC
146,199.5,184,1,CM,MBC
147,199.5,185,1315,CS,OC
148,199.5,186,1,EC,BC
149,199.5,188,1,CM,BC
150,199.5,190,1,CM,MBC
151,199.5,191,1,CM,BC
152,199.5,192,1,EC,BC
153,199.5,193,2006,CM,OC
154,199.5,194,2006,CM,OC
155,199.5,195,1,CM,BC
156,199.5,196,1,CM,BC
157,199.5,197,1399,CS,OC
158,199.5,205,1,EM,OC
159,199.5,199,1,CM,BCM
160,199.5,201,1,IM,OC
161,199.5,203,1,EC,BC
162,199.5,206,4,AT,OC
163,199.5,209,1,CS,SC
164,199.5,210,2006,CM,OC
165,199.5,212,1,CM,BC
166,199.5,214,1,EC,BC
167,199.5,215,1315,CS,OC
168,199.5,217,1,CM,BC
169,199.5,218,2006,CM,OC
170,199.5,219,1,EM,OC
171,199.5,220,1315,CS,OC
172,199.5,221,1,CM,MBC
173,199.5,223,2006,CM,OC
174,199.5,224,1,CM,MBC
175,199.5,225,1,CM,BC
176,199.5,228,1,EC,MBC
177,199.5,229,1,CM,MBC
178,199.5,230,1,EE,OC
179,199.5,232,1,CM,BC
180,199.5,233,1,CM,BC
181,199.5,234,2653,AD,OC
182,199.5,235,1,CM,BC
183,199.5,236,1,CM,BC
184,199.5,237,4962,CS,OC
185,199.5,239,1315,CS,OC
186,199.5,240,1,EE,OC
187,199.5,241,1315,CS,OC
188,199.5,242,1315,CS,OC
189,199.5,243,1,CM,BC
190,199.5,244,1,EM,OC
191,199.5,246,2708,AL,OC
192,199.5,247,1,CM,BC
193,199.5,248,1,CM,MBC
194,199.5,250,2006,CM,OC
195,199.3,253,1,ME,OC
196,199.0,255,2006,CM,OC
197,199.0,258,1,CM,BC
198,199.0,259,4,CS,OC
199,199.0,260,1,EM,OC
200,199.0,261,1399,AD,OC
201,199.0,262,1,CM,BC
202,199.0,263,1315,CS,OC
203,199.0,265,4,CS,OC
204,199.0,266,1,CM,BC
205,199.0,268,1,CM,MBC
206,199.0,269,1,CM,MBC
207,199.0,270,4,CS,OC
208,199.0,271,1,IM,OC
209,199.0,272,1,CM,MBC
210,199.0,273,1,EM,OC
211,199.0,274,4,AT,OC
212,199.0,275,1,CM,BC
213,199.0,276,4,CS,OC
214,199.0,279,1315,CS,OC
215,199.0,281,5008,CS,OC
216,199.0,282,1,EE,OC
217,199.0,283,2006,EC,OC
218,199.0,284,1,EM,OC
219,199.0,286,2377,CS,OC
220,199.0,287,2006,EC,OC
221,199.0,290,1,CS,SC
222,199.0,292,1,CM,BC
223,199.0,294,1315,CS,OC
224,199.0,295,1315,CS,OC
225,199.0,297,1,CM,BC
226,199.0,298,1,CM,BC
227,199.0,300,4,CS,OC
228,199.0,301,1,CM,BC
229,199.0,302,4,AT,OC
230,199.0,303,2006,CM,OC
231,199.0,304,1,CM,BC
232,199.0,305,4,CS,OC
233,199.0,306,1,IM,OC
234,199.0,307,1315,CS,OC
235,199.0,311,2006,CM,OC
236,199.0,312,2006,CM,OC
237,199.0,313,1,CM,BC
238,199.0,314,4,IM,OC
239,199.0,315,2006,CM,OC
240,199.0,316,2006,EC,OC
241,199.0,318,1,IM,OC
242,199.0,320,2006,CM,OC
243,199.0,321,1,IM,OC
244,199.0,322,1,CM,MBC
245,199.0,323,2007,EC,OC
246,199.0,324,1,IM,OC
247,199.0,325,1315,CS,OC
248,199.0,326,1,IM,OC
249,199.0,327,1,IM,OC
250,199.0,329,1315,CS,OC
251,199.0,331,4,CS,OC
252,199.0,332,1,IM,OC
253,199.0,333,2006,CM,OC
254,199.0,334,1,IM,OC
255,199.0,336,2006,CM,OC
256,199.0,338,1,EM,OC
257,199.0,339,1315,CS,OC
258,199.0,342,1,ME,OC
259,199.0,343,2710,IT,OC
260,199.0,344,1315,CS,OC
261,199.0,345,1,IM,OC
262,199.0,346,2731,CS,OC
263,199.0,348,2006,EC,OC
264,199.0,349,2006,CM,OC
265,199.0,351,1,EM,OC
266,199.0,353,4,CS,OC
267,199.0,354,1,CM,MBC
268,199.0,355,2006,CG,OC
269,199.0,356,2006,EC,OC
270,199.0,358,2006,CM,OC
271,199.0,359,1,CM,MBC
272,199.0,360,1,CM,BCM
273,199.0,361,4,CS,OC
274,199.0,363,2006,EC,OC
275,199.0,364,4,CS,OC
276,199.0,365,1315,EC,OC
277,199.0,366,1,IM,OC
278,199.0,367,1,EM,OC
279,199.0,368,4,CS,OC
280,199.0,373,1,EM,OC
281,199.0,374,5008,CS,OC
282,199.0,375,2006,EC,OC
283,199.0,376,4,CS,OC
284,199.0,379,1,CM,MBC
285,199.0,380,1,CS,SC
286,199.0,381,1,EM,OC
287,199.0,382,1,EM,OC
288,199.0,383,2006,CM,OC
289,199.0,384,1,ME,OC
290,199.0,386,1,IM,OC
291,199.0,387,1,IM,OC
292,199.0,388,1,CS,SC
293,199.0,389,1,IM,OC
294,199.0,390,1315,EC,OC
295,199.0,391,2006,CM,BC
296,199.0,392,1,CE,OC
297,199.0,393,2006,EC,OC
298,199.0,394,1,CM,MBC
299,199.0,395,1,EE,OC
300,199.0,397,1,CM,MBC
301,199.0,398,1,CM,BCM
302,199.0,399,1,IM,OC
303,199.0,400,1,EM,OC
304,199.0,402,1,IM,OC
305,199.0,403,1,ME,OC
306,199.0,405,4,CS,OC
307,199.0,406,2007,AT,OC
308,199.0,407,4,CS,OC
309,199.0,408,2006,CM,BC
310,199.0,409,1315,CS,OC
311,199.0,410,4,AE,OC
312,199.0,411,2006,CM,BC
313,199.0,412,1,CM,MBC
314,199.0,414,1,BY,OC
315,199.0,415,1,EM,OC
316,199.0,416,1,IM,OC
317,199.0,417,1,IM,OC
318,199.0,418,1,EM,OC
319,199.0,419,1315,IT,OC
320,199.0,420,2006,CM,BC
321,199.0,421,2006,CM,BC
322,199.0,422,2006,CM,BC
323,199.0,423,2006,EC,OC
324,199.0,424,1315,CS,BC
325,199.0,425,4,CM,OC
326,199.0,428,1,IM,OC
327,199.0,429,5022,CS,OC
328,199.0,431,5008,CS,OC
329,199.0,432,1,EM,OC
330,199.0,433,4,EC,OC
331,199.0,435,1,EM,BC
332,199.0,436,2006,CM,BC
333,199.0,438,1,EM,BC
334,199.0,439,1315,CS,BC
335,199.0,440,1315,CS,BCM
336,199.0,441,1,EM,BC
337,199.0,442,1,IM,OC
338,199.0,444,1,EM,BC
339,199.0,445,4,CS,OC
340,199.0,446,2006,CM,BC
341,199.0,447,1315,CS,BC
342,199.0,448,4,AT,OC
343,199.0,449,1,EM,BC
344,199.0,450,4,CS,BC
345,199.0,451,1,CM,MBC
346,199.0,454,1,EM,BC
347,199.0,455,2006,CM,MBC
348,199.0,457,1315,CS,BC
349,199.0,458,1,EM,BC
350,199.0,459,4,CS,BC
351,199.0,461,1,IM,OC
352,199.0,462,4,CS,BC
353,199.0,463,1315,EC,OC
354,199.0,464,2006,CM,BC
355,199.0,465,4,EI,OC
356,199.0,466,1,IM,OC
357,199.0,467,1,CM,MBC
358,199.0,468,1,IM,OC
359,199.0,469,1315,CS,BC
360,199.0,470,1,CE,OC
361,199.0,471,2006,CM,BC
362,199.0,472,1315,CS,BC
363,199.0,474,1315,IT,OC
364,199.0,476,4,CS,BC
365,199.0,477,2006,CG,OC
366,199.0,478,1,BY,OC
367,199.0,479,1,IM,OC
368,199.0,480,2006,EC,OC
369,199.0,481,2712,CS,OC
370,199.0,482,4,CS,BC
371,199.0,483,4,CS,BC
372,199.0,486,1,CM,MBC
373,199.0,487,1,EM,BC
374,199.0,488,2006,CM,BC
375,199.0,489,1,CM,MBC
376,199.0,490,4,CS,BC
377,199.0,491,1315,CS,BC
378,199.0,494,1,IM,OC
379,199.0,495,1,IM,OC
380,199.0,496,4,CS,MBC
381,199.0,497,2006,EC,BC
382,199.0,498,2006,CM,MBC
383,199.0,500,1,EM,BC
384,199.0,503,1,IM,OC
385,199.0,504,1,EC,MBC
386,199.0,505,1,IM,OC
387,199.0,506,1,EM,BC
388,199.0,507,4,CS,BC
389,198.7,508,1399,CS,OC
390,198.7,509,1315,IT,OC
391,198.7,510,4,CM,OC
392,198.5,512,1,IM,BC
393,198.5,513,4,CS,MBC
394,198.5,517,2006,CM,BC
395,198.5,519,1,EE,OC
396,198.5,527,1,EC,MBC
397,198.5,528,4,CS,SC
398,198.5,530,1315,CJ,OC
399,198.5,531,4,CS,MBC
400,198.5,532,1315,CS,BC
401,198.5,535,2006,CM,BC
402,198.5,536,1,CM,BCM
