S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1616,315879,146.5,70173,4800,1114,CS,BC
1617,351387,146.5,70187,4801,2653,ME,OC
1618,258089,146.5,70190A,4801A,2615,ME,BC
1619,362771,146.5,70220,4803,3011,EE,MBC
1620,323908,146.5,70227,4804,2613,IT,MBC
1621,229628,146.5,70232,4805,1324,EE,BC
1622,353743,146.5,70246,4806,2329,IT,BC
1623,375422,146.5,70256,4808,1317,CE,OC
1624,350032,146.5,70263,4810,3805,FD,OC
1625,277591,146.5,70265,4811,4965,AD,BC
1626,306938,146.415,70277,4813,2747,EC,SC
1627,408041,146.375,70282,4813A,2609,EC,OC
1628,372592,146.33,70285,4814,2640,CS,MBC
1629,231973,146.21,70295,4818,1122,CH,OC
1630,312831,146.16,70300,4820,2715,EE,OC
1631,373308,146.135,70302,4822,1114,EE,OC
1632,394131,146.045,70307,4823A,1516,EC,SC
1633,249165,146,70328,4824,3011,ME,OC
1634,306151,146,70339,4825,2707,CD,OC
1635,224143,146,70350,4826,4944,CS,OC
1636,365372,146,70354,4827,1510,EC,OC
1637,344842,146,70380,4829,4960,EC,MBC
1638,304519,146,70389,4830,2718,CE,BC
1639,308413,146,70394,4832,4669,CE,OC
1640,288759,146,70454,4835,1237,IT,BC
1641,410998,146,70458,4836,2302,BM,OC
1642,353244,146,70468,4838,1110,CS,OC
1643,337280,146,70499,4839,1412,IT,SC
1644,241230,146,70502,4840,1219,CH,BC
1645,334153,146,70526,4845,4970,EC,MBC
1646,338620,146,70530,4846,4974,CE,BC
1647,266522,146,70545,4847,1218,CS,OC
1648,353985,146,70551,4848,1210,CS,SCA
1649,337479,146,70580,4850,1210,CB,MBC
1650,297224,146,70582,4852,2611,CS,BC
1651,373083,146,70598,4853,1226,IT,MBC
1652,215949,146,70620,4854,4917,AD,BC
1653,269331,146,70651,4856,2776,MZ,OC
