S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,171.5,32354,2634,IT,BC
2,161.0,48500,2762,EC,OC
3,161.0,48646,1325,ME,OC
4,159.0,51472,2345,AG,OC
5,158.5,52407,3908,CS,BC
6,158.0,52799,2726,CS,SC
7,157.0,53968,2369,ME,MBC
8,156.5,54777,1413,AD,BC
9,154.5,58233,2347,CS,MBC
10,153.5,59277,2723,AD,BC
11,152.5,60862,3021,EC,MBC
12,151.0,63231,2707,CJ,BC
13,151.0,63241,4960,EE,SC
14,151.0,63293,2734,EC,BC
15,150.8,63586,1516,ME,MBC
16,150.5,63887,2718,EE,SC
17,150.5,64193,2618,CD,SC
18,150.0,64991,2716,CS,BC
19,149.0,65829,1114,AM,BC
20,148.0,67400,1513,EC,BC
21,148.0,67647,2618,EC,SC
22,147.5,68701,2763,CE,OC
23,147.3,68789,3021,CS,SC
24,147.2,68797,3021,ME,OC
25,147.0,68858,5009,EE,MBC
26,147.0,69385,1014,CE,OC
27,146.5,69713,2634,ME,OC
28,146.3,70288,5022,ME,OC
29,146.0,70754,2708,ME,OC
30,146.0,70920,1106,AE,BC
31,146.0,70963,2648,CS,BC
32,145.0,71785,1422,MD,MBC
33,145.0,72232,2338,AD,BC
34,144.5,73119,2683,CS,MBC
35,144.5,73126,4969,CS,OC
36,144.0,73263,4864,EC,BC
37,143.5,74539,2727,IT,SC
38,143.5,74704,2659,AD,OC
39,143.5,74721,1322,SC,BC
40,143.0,75011,2727,FD,MBC
41,143.0,75108,2734,TS,BC
42,142.0,76796,1412,EE,MBC
43,142.0,76876,3813,IT,OC
44,142.0,76925,3016,EC,SC
45,141.5,77134,1504,IT,SC
46,141.0,78025,1322,AG,BC
47,141.0,78500,2673,EC,BC
48,140.5,78808,2743,SC,ST
49,140.5,79001,2005,IB,SC
50,140.5,79054,2683,CS,BC
51,140.0,79492,5,CF,SC
52,140.0,80076,2736,AD,MBC
53,139.5,80533,4960,BM,MBC
54,139.5,80542,1213,CS,OC
55,139.5,80701,2716,AG,OC
56,139.0,81476,1210,ME,OC
57,139.0,81485,1424,EC,MBC
58,138.5,81819,1414,EC,OC
59,138.4,82379,1445,ME,OC
60,138.3,82383,1110,AD,MBC
61,138.0,82515,2608,EE,OC
62,138.0,82833,2622,AD,MBC
63,137.5,83791,4959,CS,MBC
64,137.0,83968,2342,EC,SC
65,137.0,84140,2642,EE,MBC
66,137.0,84372,2624,AG,SC
67,137.0,84550,2710,SC,BCM
68,136.5,84662,1,PT,ST
69,136.5,85165,2610,AD,MBC
70,136.5,85259,2753,IT,OC
71,136.0,85397,3011,XC,SC
72,136.0,85734,2606,EC,OC
73,135.5,86753,3830,AD,MBC
74,135.5,86802,3807,CS,BC
75,135.0,86856,1311,EC,BC
76,135.0,87327,2618,ME,BC
77,134.5,87772,2632,AM,MBC
78,134.5,87856,1210,EC,SC
79,134.5,88046,1120,EE,BC
80,134.5,88340,3011,BT,BC
81,134.0,88590,1202,IT,BC
82,133.5,89434,2769,CS,MBC
83,133.5,89834,2729,IT,SC
84,133.0,89905,1325,ME,SC
85,133.0,90018,2731,EE,OC
86,132.5,90718,1516,ME,BC
87,132.5,90872,2618,CE,MBC
88,132.5,90984,2702,CE,BC
89,132.5,91019,1401,EC,MBC
90,132.0,92118,2729,EC,BC
91,131.5,92636,4994,EC,MBC
92,131.5,92971,1226,ME,OC
93,131.5,92983,2634,IT,MBC
94,131.5,93069,2620,EC,SC
95,130.8,93849,2621,CS,SC
96,130.5,94005,2613,EE,OC
97,130.5,94046,2607,MZ,OC
98,130.5,94416,2607,CB,MBC
99,130.0,94623,2704,EE,BC
100,130.0,94674,2753,IT,MBC
101,130.0,94688,1212,CS,OC
102,130.0,94690,2716,EC,BC
103,130.0,94697,2726,FD,BC
104,130.0,94700,2751,AD,BC
105,130.0,94724,1412,CB,BC
106,130.0,94727,1106,CS,BC
107,130.0,94733,2618,EE,BCM
108,130.0,94769,1219,AU,BC
109,130.0,94771,2635,AD,MBC
110,130.0,94791,2624,CH,MBC
111,130.0,94812,4993,EC,OC
112,130.0,94838,1137,EC,MBC
113,130.0,94840,3425,EE,BC
114,130.0,94841,5901,ME,SC
115,130.0,94859,4954,CS,MBC
116,130.0,94863,1409,BT,MBC
117,130.0,94865,2628,SC,BC
118,130.0,94889,4967,EC,OC
119,130.0,94926,2776,AD,OC
120,130.0,94928,2329,XS,SC
121,130.0,94947,2609,CY,MBC
122,130.0,94977,2734,SB,SC
123,130.0,95002,2732,IT,BC
124,130.0,95026,1112,IT,SCA
125,130.0,95033,2719,CE,OC
126,130.0,95043,2711,CE,BC
127,130.0,95050,2751,AD,BC
128,130.0,95052,4957,EC,BC
129,130.0,95056,2627,BM,OC
130,130.0,95071,1411,BT,BC
131,130.0,95073,4999,AD,SC
132,130.0,95122,2642,EE,BC
133,130.0,95219,1605,IT,OC
134,130.0,95246,2656,ME,MBC
135,130.0,95256,3830,AL,BC
136,130.0,95262,1414,CS,BC
137,130.0,95274,1316,AD,OC
138,130.0,95314,1605,IT,MBC
139,130.0,95320,4964,CS,BC
140,130.0,95323,2357,CS,MBC
141,130.0,95334,1114,AD,MBC
142,130.0,95348,3454,AG,MBC
143,130.0,95359,3807,SC,BC
144,130.0,95387,2302,BM,MBC
145,130.0,95399,2609,AD,MBC
146,130.0,95413,1518,CS,BC
147,129.5,95426,5832,EC,BC
148,129.5,95429,2723,CE,MBC
149,129.5,95435,2611,CI,BC
150,129.5,95440,1106,EC,BC
151,129.5,95485,4980,CE,OC
152,129.5,95493,3812,EI,OC
153,129.5,95504,3905,EC,BC
154,129.5,95515,1505,CS,BC
155,129.5,95572,4962,EE,MBC
156,129.5,95575,2611,CY,MBC
157,129.5,95607,4993,AG,MBC
158,129.5,95618,1140,IT,SC
159,129.5,95634,3817,CE,OC
160,129.5,95637,3803,CH,OC
161,129.5,95658,3011,EE,BC
162,129.5,95665,2702,BT,BC
163,129.5,95689,4960,CE,MBC
164,129.5,95700,3831,IT,BC
165,129.5,95703,2621,EC,MBC
166,129.5,95720,1316,MZ,MBC
167,129.5,95733,5913,CS,MBC
168,129.5,95742,1322,AE,MBC
169,129.5,95767,2764,BM,BC
170,129.5,95787,2614,CS,OC
171,129.5,95791,1452,CS,BC
172,129.5,95796,1122,ME,BC
173,129.5,95846,1140,CS,SC
174,129.5,95856,2737,CS,MBC
175,129.5,95861,2723,ME,BC
176,129.5,95863,2707,AD,OC
177,129.5,95910,1452,CS,BC
178,129.5,95929,4970,EE,OC
179,129.5,95944,3807,CS,BCM
180,129.5,95958,1114,EE,MBC
181,129.5,95993,3859,CS,OC
182,129.5,96009,2646,AD,BC
183,129.5,96045,2734,AD,SC
184,129.5,96084,1110,CS,MBC
185,129.5,96095,2302,AG,MBC
186,129.5,96097,1419,MU,BC
187,129.5,96111,3803,CS,SC
188,129.5,96112,1452,EC,OC
189,129.5,96113,2652,CS,MBC
190,129.5,96119,1310,CS,MBC
191,129.5,96133,2624,ME,OC
192,129.5,96139,4993,AG,SC
193,129.0,96157,1414,EC,OC
194,129.0,96198,2761,RM,OC
195,129.0,96203,2647,CS,OC
196,129.0,96252,2708,ME,OC
197,129.0,96258,1431,CS,BC
198,129.0,96273,3019,CS,SC
199,129.0,96279,2719,ME,MBC
200,129.0,96321,3465,ME,BC
201,129.0,96335,3920,EC,OC
202,129.0,96358,2617,MD,MBC
203,129.0,96370,2634,AD,BC
204,129.0,96381,3926,CE,OC
