S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,200.0,1,1,CS,OC
2,200.0,3,1,CS,OC
3,200.0,6,2006,CM,OC
4,200.0,7,1,CS,OC
5,200.0,8,1,CS,OC
6,200.0,9,1,CS,OC
7,200.0,10,1,CS,OC
8,200.0,11,1,BY,OC
9,200.0,13,1,CS,OC
10,200.0,14,1,CS,OC
11,200.0,15,1,CS,OC
12,200.0,17,1,CS,OC
13,200.0,18,1,CS,OC
14,200.0,19,1,CS,OC
15,200.0,20,1,CS,OC
16,200.0,21,1,CS,OC
17,200.0,22,1,CS,OC
18,200.0,23,1,CS,BC
19,200.0,24,5008,CS,OC
20,200.0,25,1,CS,BC
21,200.0,26,1,CS,BC
22,200.0,27,1,CS,BC
23,200.0,28,1,CS,BC
24,200.0,30,1,EC,OC
25,200.0,31,2006,CM,OC
26,200.0,32,1,CM,OC
27,200.0,33,1,CS,BC
28,200.0,35,1,EC,OC
29,200.0,36,2006,CM,OC
30,200.0,38,1,CM,OC
31,200.0,39,1,CM,OC
32,200.0,41,2006,CM,OC
33,200.0,42,1,CS,BC
34,200.0,43,1,CS,MBC
35,200.0,44,1,CS,BC
36,200.0,45,1,CM,OC
37,200.0,46,1,CS,MBC
38,200.0,48,2006,EC,OC
39,200.0,49,1,EC,OC
40,200.0,50,1,CS,BC
41,200.0,51,1,CS,BC
42,200.0,52,2006,CM,OC
43,200.0,53,5008,CS,OC
44,200.0,54,2006,EC,OC
45,200.0,55,2006,CM,OC
46,200.0,58,1,CM,OC
47,200.0,60,1,CS,BC
48,200.0,61,2006,CM,OC
49,200.0,62,1,CM,OC
50,200.0,64,1,CS,MBC
51,200.0,65,4,CS,OC
52,200.0,67,1,CM,OC
53,200.0,68,2006,EC,OC
54,200.0,71,1315,CS,OC
55,200.0,72,1,MI,OC
56,200.0,73,1,EC,OC
57,200.0,76,1,CS,BC
58,200.0,77,1,ME,OC
59,200.0,79,1,CM,OC
60,200.0,80,2,CH,OC
61,200.0,81,2006,CM,OC
62,200.0,82,2006,CM,OC
63,200.0,83,1,CM,OC
64,200.0,84,2006,CM,OC
65,200.0,85,1,CM,OC
66,200.0,87,1,CM,OC
67,200.0,89,2006,BY,OC
68,200.0,91,1,CM,OC
69,200.0,92,2006,CM,OC
70,200.0,93,1,CM,OC
71,200.0,94,1,CM,OC
72,200.0,95,1,EC,OC
73,200.0,96,1,CM,OC
74,200.0,97,1,EC,OC
75,200.0,98,1,CS,BC
76,200.0,99,1,CM,OC
77,200.0,100,2006,ME,OC
78,200.0,101,4,CS,OC
79,200.0,102,1,CS,BC
80,200.0,103,2006,EC,OC
81,200.0,104,1,CM,OC
82,200.0,105,2006,CM,OC
83,200.0,106,1,EC,OC
84,200.0,107,1,CM,OC
85,200.0,110,2006,EC,OC
86,200.0,112,1,CM,OC
87,200.0,115,1,EC,OC
88,200.0,116,1,CM,OC
89,200.0,117,1419,CS,OC
90,200.0,119,1,CM,OC
91,200.0,121,1,CM,OC
92,200.0,122,1,CM,OC
93,200.0,123,1,CM,OC
94,200.0,124,1,CM,OC
95,200.0,125,2006,CM,OC
96,200.0,126,1,CS,MBC
97,200.0,127,1,CM,OC
98,200.0,128,2006,EC,OC
99,200.0,129,1,EC,OC
100,200.0,132,1,CM,OC
101,199.7,133,1,IM,OC
102,199.5,136,1,CM,OC
103,199.5,137,1,CM,OC
104,199.5,138,4,CS,OC
105,199.5,139,1,CM,OC
106,199.5,140,1,EC,OC
107,199.5,141,5008,CS,OC
108,199.5,142,1,CS,MBC
109,199.5,143,1,CM,BC
110,199.5,144,1,CM,BC
111,199.5,145,2006,CM,OC
112,199.5,146,2006,CM,OC
113,199.5,147,1,CM,BC
114,199.5,148,2006,CM,OC
115,199.5,149,1,CM,BC
116,199.5,150,1,CM,BC
117,199.5,151,4,CS,OC
118,199.5,152,1,IM,OC
119,199.5,153,2006,IM,OC
120,199.5,156,1,CM,BC
121,199.5,157,1,CM,BC
122,199.5,159,2006,CM,OC
123,199.5,161,1,EC,OC
124,199.5,162,1,EC,OC
125,199.5,163,1,EC,OC
126,199.5,164,1,EC,OC
127,199.5,165,4,AT,OC
128,199.5,166,1,CM,BC
129,199.5,167,1,CM,BC
130,199.5,169,1,CS,MBC
131,199.5,170,1,CM,BC
132,199.5,173,1,CM,BC
133,199.5,174,1315,CS,OC
134,199.5,175,1,EC,OC
135,199.5,177,4,AT,OC
136,199.5,179,1,EC,OC
137,199.5,180,1,EC,OC
138,199.5,182,2006,CM,OC
139,199.5,184,1,CM,BC
140,199.5,185,1,CS,MBC
141,199.5,187,2006,CM,OC
142,199.5,188,1,CM,BC
143,199.5,193,2006,CM,OC
144,199.5,195,1,CM,BC
145,199.5,197,2006,CM,OC
146,199.5,198,1,EC,BC
147,199.5,199,1,CM,BC
148,199.5,200,1,CM,BC
149,199.5,201,1315,CS,OC
150,199.5,202,1,CM,BC
151,199.5,203,1,CM,BC
152,199.5,204,1,CM,BC
153,199.5,205,1,CM,BC
154,199.5,206,1,CM,BC
155,199.5,207,1,CM,BC
156,199.5,209,1,CM,BC
157,199.5,210,1,CS,MBC
158,199.5,211,1,CM,BC
159,199.5,212,1,IM,OC
160,199.5,213,1,CM,BC
161,199.5,214,4,CS,OC
162,199.5,216,4,AT,OC
163,199.5,219,2006,CM,OC
164,199.5,220,2006,EC,OC
165,199.5,221,1,EC,BC
166,199.5,222,1,IM,OC
167,199.5,223,1,CM,BC
168,199.5,226,1,CM,BC
169,199.5,227,1,CM,BC
170,199.5,228,2006,CM,OC
171,199.5,229,1,EC,BC
172,199.5,230,1315,CS,OC
173,199.5,232,4,CS,OC
174,199.5,234,2006,CG,OC
175,199.5,235,1,CS,SC
176,199.5,236,1,EC,BC
177,199.5,238,4,CS,OC
178,199.5,239,1,EC,BC
179,199.5,240,1,EC,BC
180,199.5,242,1,IM,OC
181,199.5,243,1315,CS,OC
182,199.5,244,1,IM,OC
183,199.5,245,4,CS,OC
184,199.5,246,1,EC,BC
185,199.5,247,1,EC,BC
186,199.5,249,4,CS,OC
187,199.5,254,1,IM,OC
188,199.5,255,2006,CM,OC
189,199.5,256,2006,CM,OC
190,199.5,257,1,CS,SC
191,199.5,258,2006,CM,BC
192,199.5,259,1,IM,OC
193,199.5,261,1,BY,OC
194,199.5,262,1,CS,SC
195,199.5,263,1,EC,BC
196,199.5,266,4,CS,OC
197,199.5,267,4,CM,OC
198,199.5,268,1,CS,MBC
199,199.5,269,2006,CM,BC
200,199.5,271,1,IM,OC
201,199.5,272,1,EC,BC
202,199.5,273,1,IM,OC
203,199.5,274,1,IM,OC
204,199.5,275,1315,CS,OC
205,199.5,276,1,IM,OC
206,199.5,277,1,IM,OC
207,199.5,278,1,EC,BC
208,199.5,279,1,IM,OC
209,199.5,280,1,CM,MBC
210,199.5,282,1,IM,OC
211,199.5,284,1,CM,MBC
212,199.5,285,1,IM,OC
213,199.5,286,2006,CM,MBC
214,199.5,287,4974,EC,OC
215,199.5,288,2006,CM,BC
216,199.3,289,1,IM,OC
217,199.3,291,1,CS,MBC
218,199.0,292,5008,CS,OC
219,199.0,293,1,IM,OC
220,199.0,294,4,CS,OC
221,199.0,295,4,CS,OC
222,199.0,296,1,IM,OC
223,199.0,297,1,IM,OC
224,199.0,299,1,EC,MBC
225,199.0,300,2005,CS,OC
226,199.0,301,1,CS,BCM
227,199.0,302,1315,CS,OC
228,199.0,305,1,IM,OC
229,199.0,306,4,CS,OC
230,199.0,307,1315,CS,OC
231,199.0,308,2006,EC,OC
232,199.0,309,2006,CM,BC
233,199.0,311,1,BY,OC
234,199.0,312,1,IM,OC
235,199.0,313,1,EC,BC
236,199.0,314,1,CM,MBC
237,199.0,316,4,CS,OC
238,199.0,318,1,CS,BCM
239,199.0,319,1,IM,OC
240,199.0,321,1,EC,MBC
241,199.0,323,4960,CS,OC
242,199.0,324,2006,CM,BC
243,199.0,325,2006,IM,OC
244,199.0,326,1,EC,BC
245,199.0,327,2006,EC,OC
246,199.0,329,1,EM,OC
247,199.0,330,1,IM,OC
248,199.0,331,2006,CM,BC
249,199.0,332,1,IM,OC
250,199.0,334,1,EE,OC
251,199.0,335,1,IM,OC
252,199.0,336,2006,CM,BC
253,199.0,338,4,CS,OC
254,199.0,340,4,CS,OC
255,199.0,341,1315,CS,OC
256,199.0,342,2006,CG,OC
257,199.0,344,1,IM,OC
258,199.0,345,5008,EC,OC
259,199.0,347,2006,CM,BC
260,199.0,348,1,IM,OC
261,199.0,350,4,CS,OC
262,199.0,352,2006,CM,BC
263,199.0,353,1,EC,MBC
264,199.0,355,1315,CS,OC
265,199.0,356,1,EM,OC
266,199.0,358,1,IM,OC
267,199.0,358,1,IM,OC
268,199.0,359,1,IM,OC
269,199.0,360,1315,CS,OC
270,199.0,361,2006,ME,OC
271,199.0,363,1315,CS,OC
272,199.0,364,1,CM,MBC
273,199.0,366,4,CS,BC
274,199.0,368,4,CM,OC
275,199.0,369,1,ME,OC
276,199.0,370,1,CM,BCM
277,199.0,371,1,IM,BC
278,199.0,372,5008,CS,OC
279,199.0,373,1,IM,BC
280,199.0,374,1,CM,MBC
281,199.0,375,1,IM,BC
282,199.0,376,1,CM,MBC
283,199.0,379,1,IM,BC
284,199.0,380,1,IM,BC
285,199.0,381,2006,CM,BC
286,199.0,382,1,CM,MBC
287,199.0,382,1315,CS,OC
288,199.0,383,4,CS,BC
289,199.0,384,2006,CM,BC
290,199.0,386,4,CM,OC
291,199.0,387,2006,CM,BC
292,199.0,388,1,EM,OC
293,199.0,393,2006,IM,OC
294,199.0,394,1,EM,OC
295,199.0,395,1,IM,BC
