S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,209679,188.91,9322,MBCV,1520,CS,MBCV
2,212066,188.5,10002,SC,1140,CS,SC
3,351955,186.5,13624,BC,1427,EC,OC
4,370640,185.5,15679,BC,1325,ME,OC
5,359595,185.32,16123,MBCV,1412,CS,MBCV
6,295653,184.725,17301,BC,4680,ME,OC
7,239494,184.21,18454,MBCV,2622,EC,MBCV
8,374035,184.12,18636,MBCV,1424,CS,MBCV
9,367481,183.23,20671,MBCV,5532,CS,MBCV
10,297826,183.045,21021,BC,1407,BM,OC
11,364632,182.98,21356,MBCV,5532,EC,MBCV
12,253900,182.98,21358,BC,2636,EC,BC
13,352251,182.76,21804,MBCV,3466,EC,OC
14,300665,182.67,21982,BC,1210,ME,BC
15,333818,181.975,23732,BC,2636,EC,BC
16,326209,181.91,23864,MBCDNC,2611,CH,OC
17,211486,181.825,24068,MBCDNC,4980,ME,OC
18,255960,181.67,24364,MBCDNC,4957,CS,MBCDNC
19,337766,181.605,24509,MBCV,1401,EC,OC
20,350413,181.575,24573,MBCV,1238,EC,MBCV
21,368285,181.265,25392,MBCDNC,3795,EC,MBCDNC
22,327438,181,26121,OC,1509,EI,OC
23,256708,180.65,26929,MBCDNC,2642,CS,MBCDNC
24,325230,180.5,27402,OC,1127,BT,OC
25,217936,180.44,27572,BC,1501,EC,OC
26,315245,180.42,27608,MBCDNC,2642,CS,MBCDNC
27,363767,180.255,27954,MBCV,5532,CS,MBCV
28,311862,180.185,28125,BC,1505,CS,BC
29,222431,179.575,29741,SC,3464,ME,SC
30,259873,179.47,30161,BC,2732,CS,OC
31,326061,179.415,30287,BCM,2630,CS,BCM
32,246885,179.34,30470,OC,3918,CS,OC
33,321873,179.175,30792,BCM,2643,CS,BCM
34,364035,178.87,31615,MBCDNC,2636,CS,MBCDNC
35,256064,178.725,31984,SC,4944,CS,SC
36,324890,178.505,32467,BC,2611,CS,BC
37,246742,178.32,33032,OC,4944,CE,OC
38,309497,178.185,33337,BC,5,CH,BC
39,296086,178.07,33617,BC,4972,EC,OC
40,253526,178.01,33764,MBCV,2610,IT,MBCV
41,251943,178,33919A,SC,1324,CO,SC
42,314895,178,33923A,BC,1509,EC,BC
43,288661,177.93,34094,MBCDNC,4680,EC,MBCDNC
44,243906,177.855,34296,SC,2740,CS,SC
45,298735,177.835,34334,BCM,3826,BM,BCM
46,337308,177.64,34811,MBCV,1424,PE,OC
47,352577,177.605,34887,BC,1512,IT,OC
48,240751,177.505,35111,SC,2622,IT,SC
49,211784,177.5,35257A,MBC,1218,AD,MBC
50,301730,177.145,36193,MBCDNC,1317,ME,MBCDNC
51,261852,177,36601,OC,1405,EC,OC
52,362083,177,36700,MBCDNC,1304,AU,MBCDNC
53,264081,176.805,37197,SC,1026,ME,SC
54,317016,176.78,37262,MBC,2643,CS,MBC
55,329887,176.76,37305,SCA,2636,EC,SCA
56,327068,176.75,37341,BC,4955,EE,BC
57,235046,176.635,37665,BCM,2622,CE,BCM
58,349603,176.465,38203,BC,2716,IT,BC
59,312938,176.46,38226,BCM,4993,AG,OC
60,306459,176.265,38694,SC,1225,ME,OC
61,337520,176.12,39039,BC,1431,CS,BC
62,346086,176.075,39168,BCM,1408,CS,BCM
63,289232,176.075,39178,SC,1233,EC,SC
64,239648,176,39470,SC,1122,CS,SC
65,364390,176,39507A,SC,1128,EC,SC
66,227205,175.925,39715,BC,2661,CS,BC
67,232499,175.855,39881,BC,1230,AE,OC
68,351483,175.825,39951,BC,2610,CE,OC
69,347547,175.76,40126,SC,2601,BT,SC
70,337788,175.725,40191,MBCV,2357,AD,MBCV
71,358148,175.7,40277,BC,4999,CS,OC
72,250000,175.66,40373,BC,3810,IT,BC
73,301144,175.385,41230,SC,2750,AG,SC
74,216855,175.255,41525,BC,2762,EC,BC
75,251396,175.12,41886,BC,2636,CS,BC
76,317647,175.01,42181,SC,5,CE,SC
77,325639,174.935,42501,MBCV,1518,IT,OC
78,339149,174.81,42813,SC,2624,BT,SC
79,239679,174.725,43045,BC,2314,AD,OC
80,369029,174.515,43608,BC,4964,EE,OC
81,345973,174.5,43642,BC,1422,CE,BC
82,266103,174.5,43691,SC,5,EE,SC
83,279346,174.5,43783,MBCV,2636,CS,MBCV
84,215255,174.465,43890,BC,5988,CS,BC
85,334879,174.45,43914,MBCDNC,3807,CS,MBCDNC
86,324001,174.405,44042,BC,4917,AG,BC
87,274836,174.405,44057,SC,4944,AD,SC
88,242459,174.295,44324,MBCV,3019,EE,MBCV
89,346364,174.24,44483,MBCV,1421,ME,OC
90,368932,174.22,44521,SCA,2610,CE,OC
91,371076,174.185,44605,SC,1426,CS,OC
92,209564,174.185,44623,BC,2727,FD,BC
93,301025,174.13,44746,SC,4680,EC,SC
94,235890,174.105,44810,SC,1517,ME,OC
95,329727,174.03,45006,BC,2636,EC,BC
96,359313,174,45049,SC,1419,EE,SC
97,276343,173.955,45323,BC,2744,EC,OC
98,359905,173.915,45420,SC,1432,EC,SC
99,351156,173.9,45445,MBC,2643,CS,MBC
100,296244,173.89,45477,MBCV,1116,EC,OC
101,267306,173.87,45517,OC,2345,EE,OC
102,222424,173.845,45595,BCM,1013,ME,BCM
103,303286,173.835,45610,BC,5907,EC,OC
104,277004,173.835,45617,BC,2314,CS,BC
105,316737,173.835,45623,MBCV,2610,CY,MBCV
106,356531,173.83,45626,MBC,2314,CS,MBC
107,298409,173.815,45665,MBCV,1412,CS,MBCV
108,300172,173.815,45670,BC,3021,EE,BC
109,226631,173.805,45701,BC,2618,CE,BC
110,219331,173.8,45707,MBCV,1101,CS,MBCV
111,340940,173.745,45854,MBCV,1322,EC,OC
