S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,188.9,9322,1520,CS,MBC
2,188.5,10002,1140,CS,SC
3,186.5,13624,1427,EC,OC
4,185.5,15679,1325,ME,OC
5,185.3,16123,1412,CS,MBC
6,184.7,17301,4680,ME,OC
7,184.2,18454,2622,EC,MBC
8,184.1,18636,1424,CS,MBC
9,183.2,20671,5532,CS,MBC
10,183.0,21021,1407,BM,OC
11,183.0,21356,5532,EC,MBC
12,183.0,21358,2636,EC,BC
13,182.8,21804,3466,EC,OC
14,182.7,21982,1210,ME,BC
15,182.0,23732,2636,EC,BC
16,181.9,23864,2611,CH,OC
17,181.8,24068,4980,ME,OC
18,181.7,24364,4957,CS,MBC
19,181.6,24509,1401,EC,OC
20,181.6,24573,1238,EC,MBC
21,181.3,25392,3795,EC,MBC
22,181.0,26121,1509,EI,OC
23,180.6,26929,2642,CS,MBC
24,180.5,27402,1127,BT,OC
25,180.4,27572,1501,EC,OC
26,180.4,27608,2642,CS,MBC
27,180.3,27954,5532,CS,MBC
28,180.2,28125,1505,CS,BC
29,179.6,29741,3464,ME,SC
30,179.5,30161,2732,CS,OC
31,179.4,30287,2630,CS,BCM
32,179.3,30470,3918,CS,OC
33,179.2,30792,2643,CS,BCM
34,178.9,31615,2636,CS,MBC
35,178.7,31984,4944,CS,SC
36,178.5,32467,2611,CS,BC
37,178.3,33032,4944,CE,OC
38,178.2,33337,5,CH,BC
39,178.1,33617,4972,EC,OC
40,178.0,33764,2610,IT,MBC
41,178.0,33919,1324,CO,SC
42,178.0,33923,1509,EC,BC
43,177.9,34094,4680,EC,MBC
44,177.9,34296,2740,CS,SC
45,177.8,34334,3826,BM,BCM
46,177.6,34811,1424,PE,OC
47,177.6,34887,1512,IT,OC
48,177.5,35111,2622,IT,SC
49,177.5,35257,1218,AD,MBC
50,177.1,36193,1317,ME,MBC
51,177.0,36601,1405,EC,OC
52,177.0,36700,1304,AU,MBC
53,176.8,37197,1026,ME,SC
54,176.8,37262,2643,CS,MBC
55,176.8,37305,2636,EC,SCA
56,176.8,37341,4955,EE,BC
57,176.6,37665,2622,CE,BCM
58,176.5,38203,2716,IT,BC
59,176.5,38226,4993,AG,OC
60,176.3,38694,1225,ME,OC
61,176.1,39039,1431,CS,BC
62,176.1,39168,1408,CS,BCM
63,176.1,39178,1233,EC,SC
64,176.0,39470,1122,CS,SC
65,176.0,39507,1128,EC,SC
66,175.9,39715,2661,CS,BC
67,175.9,39881,1230,AE,OC
68,175.8,39951,2610,CE,OC
69,175.8,40126,2601,BT,SC
70,175.7,40191,2357,AD,MBC
71,175.7,40277,4999,CS,OC
72,175.7,40373,3810,IT,BC
73,175.4,41230,2750,AG,SC
74,175.3,41525,2762,EC,BC
75,175.1,41886,2636,CS,BC
76,175.0,42181,5,CE,SC
77,174.9,42501,1518,IT,OC
78,174.8,42813,2624,BT,SC
79,174.7,43045,2314,AD,OC
80,174.5,43608,4964,EE,OC
81,174.5,43642,1422,CE,BC
82,174.5,43691,5,EE,SC
83,174.5,43783,2636,CS,MBC
84,174.5,43890,5988,CS,BC
85,174.4,43914,3807,CS,MBC
86,174.4,44042,4917,AG,BC
87,174.4,44057,4944,AD,SC
88,174.3,44324,3019,EE,MBC
89,174.2,44483,1421,ME,OC
90,174.2,44521,2610,CE,OC
91,174.2,44605,1426,CS,OC
92,174.2,44623,2727,FD,BC
93,174.1,44746,4680,EC,SC
94,174.1,44810,1517,ME,OC
95,174.0,45006,2636,EC,BC
96,174.0,45049,1419,EE,SC
97,174.0,45323,2744,EC,OC
98,173.9,45420,1432,EC,SC
99,173.9,45445,2643,CS,MBC
100,173.9,45477,1116,EC,OC
