S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,197.0,123,2006,PS,OC
2,196.8,132,3011,BT,OC
3,192.2,988,1399,IT,OC
4,190.0,1990,1211,BM,OC
5,190.0,2036,1211,CB,OC
6,190.0,2187,1149,CS,OC
7,190.0,2575,1304,BM,OC
8,190.0,2750,1,XM,OC
9,190.0,2753,1211,AL,BC
10,190.0,2936,4,AS,MBC
11,190.0,2978,1304,CS,BC
12,190.0,3002,2712,EI,BC
13,190.0,3010,1399,CS,BC
14,190.0,3160,1112,CS,OC
15,190.0,3265,1116,CS,OC
16,190.0,3324,4960,BM,OC
17,190.0,3333,1211,BM,BC
18,190.0,3398,1304,EC,OC
19,189.5,3466,2,PP,BC
20,189.5,3503,2712,ME,OC
21,189.5,3649,2712,EI,BC
22,189.0,3740,1211,IT,OC
23,189.0,3775,4974,EC,OC
24,189.0,3833,2006,PS,OC
25,189.0,3884,1211,EC,OC
26,189.0,3925,1399,CS,BC
27,189.0,3997,1211,BT,OC
28,189.0,4071,1399,CS,BC
29,188.5,4111,5901,EE,OC
30,188.5,4118,1112,CS,OC
31,188.5,4126,1211,BT,OC
32,188.5,4206,2,TX,OC
33,188.5,4218,1211,CB,OC
34,188.0,4391,4974,EE,OC
35,188.0,4583,3011,BT,OC
36,188.0,4654,1450,ME,OC
37,188.0,4686,1211,CS,MBC
38,187.5,4764,4960,CS,BC
39,187.5,4806,1149,ME,OC
40,187.5,4861,1211,RM,OC
41,187.5,4870,2006,FY,OC
42,187.0,4998,1112,CS,OC
43,187.0,5035,5010,CS,OC
44,187.0,5069,2,PP,BC
45,187.0,5128,2,PP,BC
46,187.0,5138,1304,CS,BC
47,186.8,5185,4,AS,BCM
48,186.5,5332,2025,CS,BCM
49,186.5,5380,1211,AL,BC
50,186.0,5431,2006,PS,OC
51,186.0,5441,2,TX,OC
52,186.0,5468,2007,CS,SC
53,186.0,5478,2615,EE,BC
54,186.0,5552,2007,CS,SC
55,186.0,5557,1317,IT,OC
56,186.0,5616,2007,CH,MBC
57,186.0,5621,2005,IB,BC
58,186.0,5683,1219,BT,MBC
59,186.0,5734,2006,MY,BC
60,185.5,5764,1113,IT,BC
61,185.5,5767,2727,IT,OC
62,185.5,5858,2722,CS,OC
63,185.0,6057,1211,CB,OC
64,185.0,6087,2718,EE,OC
65,185.0,6150,1422,CS,OC
66,185.0,6176,2025,CS,BCM
67,185.0,6187,1211,BT,OC
68,185.0,6219,1211,BT,OC
69,184.5,6331,1399,ME,OC
70,184.5,6425,2712,EI,BC
71,184.5,6436,4960,EC,OC
72,184.5,6441,4,RP,BC
73,184.5,6456,2712,MZ,OC
74,184.0,6525,1218,BM,OC
75,184.0,6536,2603,CS,OC
76,184.0,6619,4,AS,BCM
77,184.0,6629,2601,BM,OC
78,184.0,6641,1304,AD,BC
79,184.0,6645,2712,MZ,OC
80,184.0,6673,5901,EE,OC
81,184.0,6714,1450,IT,BC
82,184.0,6726,1450,IT,BC
83,184.0,6737,4960,AD,OC
84,184.0,6760,1419,AD,MBC
85,184.0,6771,2,TX,OC
86,184.0,6780,2,CR,OC
87,183.5,6818,2,PM,MBC
88,183.5,6820,2718,EE,OC
89,183.5,6823,1399,CS,BC
90,183.5,6958,2723,IT,OC
91,183.5,6973,1399,CB,OC
92,183.0,7076,3011,IT,OC
93,183.0,7077,2006,TX,BC
94,183.0,7120,2006,PS,OC
95,183.0,7173,3819,CS,OC
96,183.0,7179,2615,EE,BC
97,183.0,7196,2712,ME,OC
98,183.0,7259,2712,AE,BC
99,183.0,7279,2615,EE,BC
100,183.0,7296,1210,EE,OC
101,182.5,7421,4,IM,SC
102,182.5,7445,2007,CE,MBC
103,182.5,7460,2712,EI,BC
104,182.5,7496,4964,AE,OC
105,182.5,7554,2005,CE,MBC
106,182.5,7600,1304,EC,OC
107,182.2,7632,2,TX,OC
108,182.0,7639,2711,CS,BC
109,182.0,7703,2718,CS,MBC
110,182.0,7730,1219,EC,MBC
111,182.0,7738,2006,PN,BCM
112,182.0,7796,2005,IB,BC
113,182.0,7812,5008,CW,MBC
114,182.0,7864,2007,CE,MBC
115,182.0,7891,4960,CS,BCM
116,182.0,7928,1304,CE,OC
117,182.0,7933,1309,CS,BC
118,181.8,7944,2603,CS,OC
119,181.7,7950,1211,EC,OC
120,181.5,7965,2702,ME,OC
121,181.5,7979,2025,CS,SCA
122,181.5,8032,4981,CS,OC
123,181.5,8038,2702,EC,OC
124,181.5,8050,2377,ME,MBC
125,181.5,8070,1399,IT,OC
126,181.5,8118,2718,CS,MBC
127,181.5,8177,2712,ME,OC
128,181.5,8180,2369,CS,OC
129,181.5,8208,4,AS,MBC
130,181.2,8221,1317,EC,BC
131,181.0,8246,2622,BT,OC
132,181.0,8257,2622,BT,OC
133,181.0,8342,1317,BT,BC
134,181.0,8418,2,PM,BCM
135,181.0,8419,2,PP,BC
136,181.0,8443,2,CR,OC
137,181.0,8484,1317,BT,BC
138,181.0,8496,1317,EC,BC
139,181.0,8520,2,TX,OC
140,180.5,8546,2739,CS,OC
141,180.5,8632,2005,CE,BC
142,180.5,8637,1399,CS,MBC
143,180.5,8658,4,PR,MBC
144,180.5,8676,5010,CS,OC
145,180.5,8690,4,PR,MBC
146,180.5,8701,1304,IT,OC
147,180.5,8702,2711,CS,BC
148,180.5,8719,2706,EC,OC
149,180.5,8756,1211,EC,OC
150,180.0,8830,4971,EC,OC
151,180.0,8835,1219,ME,BC
152,180.0,8945,2711,CS,MBC
153,180.0,9010,4,RP,BC
154,180.0,9020,1127,BT,OC
155,180.0,9044,1304,IT,OC
156,180.0,9053,1211,EC,OC
157,180.0,9070,4962,CS,OC
158,180.0,9082,1317,BT,BC
159,180.0,9102,1112,CS,OC
160,179.8,9121,1,GI,SC
161,179.5,9165,1211,IT,OC
162,179.5,9184,1399,AD,BC
163,179.5,9215,2711,CS,BC
164,179.5,9219,4,AS,MBC
165,179.5,9225,4974,CE,OC
166,179.5,9240,5008,EY,MBC
167,179.5,9287,4,RP,BC
168,179.5,9298,2005,CE,BC
169,179.5,9316,2706,EC,OC
170,179.5,9369,2718,AD,BC
171,179.0,9428,2735,EC,OC
172,179.0,9451,2005,IB,BC
173,179.0,9460,1211,CB,BC
174,179.0,9463,5008,CN,OC
175,179.0,9469,1399,EC,OC
176,179.0,9504,2745,CS,OC
177,179.0,9523,2622,CH,OC
178,179.0,9545,2702,CS,BC
179,179.0,9548,3464,EC,OC
180,179.0,9551,1419,CS,MBC
181,179.0,9677,1311,CS,OC
182,178.8,9718,2006,ES,MBC
183,178.5,9727,5901,EE,OC
184,178.5,9756,5008,CN,OC
185,178.5,9771,1110,IT,OC
186,178.5,9787,3465,CS,OC
187,178.5,9834,3011,EC,OC
188,178.5,9892,4960,EC,OC
189,178.5,9905,1317,ME,OC
190,178.5,9949,1219,CH,OC
191,178.5,9965,1,IE,SC
192,178.0,9989,4960,CS,BC
193,178.0,10012,1321,PA,OC
194,178.0,10076,5910,EE,OC
195,178.0,10090,2025,EC,OC
196,178.0,10211,2006,TX,BC
197,178.0,10226,5008,CW,BCM
198,178.0,10235,5008,CE,MBC
199,178.0,10252,4960,EC,OC
200,178.0,10263,1216,BM,OC
201,178.0,10269,1211,IT,BC
202,178.0,10276,2005,IB,BC
203,178.0,10280,1,MN,SC
204,178.0,10288,2006,PS,OC
205,178.0,10293,2005,EI,MBC
206,178.0,10306,1422,AD,OC
207,177.5,10399,2,CH,SC
208,177.5,10466,2377,CE,BC
209,177.5,10512,1419,CS,MBC
210,177.5,10565,2006,PS,OC
211,177.5,10599,2712,ME,OC
212,177.5,10609,2,FS,MBC
213,177.5,10636,4,PR,MBC
214,177.5,10638,3465,EE,OC
215,177.5,10644,1211,CB,BC
216,177.5,10648,5008,EY,MBC
217,177.0,10680,2025,EC,OC
218,177.0,10682,5008,CN,OC
219,177.0,10729,2,CR,OC
220,177.0,10762,5901,CS,MBC
221,177.0,10786,1112,CS,OC
222,177.0,10791,2718,CB,BC
223,177.0,10805,2711,EC,OC
224,177.0,10814,1450,IT,BCM
225,177.0,10872,1399,CS,BC
226,177.0,10896,1309,CS,BC
227,177.0,10907,1399,CS,BC
228,177.0,10945,2,PM,MBC
229,177.0,10950,1419,EC,OC
230,176.5,10984,2718,CB,BC
231,176.5,10987,2718,AD,BC
232,176.5,11026,1210,CS,OC
233,176.5,11054,2006,FY,OC
234,176.5,11060,1219,ME,BC
235,176.5,11066,2718,CS,MBC
236,176.5,11099,2708,BM,OC
237,176.5,11102,4960,EC,OC
238,176.5,11103,2712,MZ,BC
239,176.5,11126,5008,CE,MBC
240,176.5,11137,3011,EC,OC
241,176.5,11145,2719,CS,OC
242,176.5,11160,2767,EE,OC
243,176.5,11212,1315,CH,MBC
244,176.5,11247,1419,IT,OC
245,176.0,11261,2620,TS,OC
246,176.0,11283,2702,BT,OC
247,176.0,11294,4,AS,MBC
248,176.0,11374,2718,AD,BC
249,176.0,11380,2711,FD,BC
250,176.0,11393,2750,BM,OC
251,176.0,11407,2005,IB,BC
252,176.0,11413,5008,CN,OC
253,176.0,11434,2,AP,OC
254,176.0,11435,2718,AD,BC
255,176.0,11442,1516,CS,OC
256,176.0,11443,2005,CE,BC
257,176.0,11448,1304,AD,BC
258,176.0,11458,3819,EC,OC
259,176.0,11494,1412,EC,OC
260,176.0,11536,1210,CS,OC
261,176.0,11564,1127,BT,OC
262,176.0,11568,2601,CS,OC
263,176.0,11594,2,CR,OC
264,175.7,11606,2719,CS,OC
265,175.7,11608,2712,ME,OC
266,175.5,11661,2741,CS,OC
267,175.5,11715,2702,CS,BC
268,175.5,11719,1317,CS,MBC
269,175.5,11763,1321,MN,OC
270,175.5,11769,2025,CS,MBC
271,175.5,11774,2712,ME,OC
272,175.5,11807,2006,PS,OC
273,175.5,11816,1419,CS,MBC
274,175.5,11849,2005,CE,BC
275,175.5,11880,1211,BM,BC
276,175.5,11894,1113,CS,MBC
277,175.5,11904,2702,CS,BC
278,175.5,11928,1128,AD,OC
279,175.0,11943,4,MF,SC
280,175.0,11950,4974,EC,OC
281,175.0,11955,5986,CS,OC
282,175.0,11956,2712,EI,BC
283,175.0,11974,1419,AD,MBC
284,175.0,12035,4,AS,MBC
285,175.0,12042,4023,CS,OC
286,175.0,12045,2,PP,BC
287,175.0,12058,4962,EC,OC
288,175.0,12091,1,IE,SC
289,175.0,12123,1,MN,SC
290,175.0,12127,5901,EC,MBC
291,175.0,12141,2718,CJ,OC
292,175.0,12197,2005,ME,BCM
293,175.0,12206,1211,FD,OC
294,175.0,12217,4,PR,MBC
295,175.0,12225,2712,EI,BC
296,174.8,12264,3465,CS,OC
297,174.8,12265,1432,CS,OC
298,174.5,12266,1211,EC,OC
299,174.5,12267,2608,EE,OC
300,174.5,12269,1315,EC,SC
301,174.5,12271,5901,ME,OC
302,174.5,12274,1399,EE,OC
303,174.5,12275,2607,BT,OC
304,174.5,12276,1414,CS,OC
305,174.5,12277,2719,AD,OC
306,174.5,12278,2702,CB,OC
307,174.5,12281,1321,PA,OC
308,174.5,12282,2718,CS,MBC
309,174.5,12283,2006,PS,OC
310,174.5,12285,1,XC,BC
311,174.5,12286,2377,CE,BC
312,174.5,12287,2,TX,OC
313,174.5,12288,1317,IT,OC
314,174.5,12293,1306,AE,OC
315,174.5,12294,1113,EC,OC
316,174.5,12295,1324,AD,OC
317,174.5,12297,4974,EE,OC
318,174.5,12298,1317,EC,BC
319,174.5,12299,1324,CS,OC
320,174.5,12300,4,AS,MBC
321,174.5,12301,2005,EI,MBC
322,174.5,12302,4974,EC,OC
323,174.5,12304,2377,CE,BC
324,174.5,12306,2345,CS,OC
325,174.5,12307,2710,AD,OC
326,174.5,12309,2601,EC,OC
327,174.5,12310,2005,IB,BC
328,174.5,12311,4960,IT,OC
329,174.5,12312,2718,CB,BC
330,174.5,12313,1317,CS,MBC
331,174.5,12314,1450,IT,MBC
332,174.5,12315,5008,EY,MBC
333,174.5,12316,2712,EI,BC
334,174.5,12317,4974,EC,OC
335,174.5,12318,2719,CS,OC
336,174.5,12319,2712,ME,OC
337,174.5,12320,2005,EE,SC
338,174.5,12321,1211,EC,OC
339,174.5,12323,3011,CS,OC
340,174.5,12326,2377,ME,MBC
341,174.5,12327,1315,IT,SC
342,174.5,12329,3019,CS,OC
343,174.5,12332,1304,IT,OC
344,174.5,12333,4974,EC,OC
345,174.5,12334,2005,CE,BC
346,174.5,12335,4974,CS,MBC
347,174.5,12337,1,GI,SC
