S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,283482,BC,182,7907,2736,EE,OC
2,358887,MBC,181.5,8091,3465,CE,MBC
3,243045,BC,179,9531,1217,BT,OC
4,310624,BC,174.5,12369,2610,MD,OC
5,267926,MBC,174.5,12430,5009,EE,MBC
6,351871,SC,173.75,12880,3465,EE,SC
7,331350,BC,173.5,13054,2709,AU,OC
8,294680,BCM,171,14691,1501,EE,OC
9,279351,MBC,170,15250,2750,CS,MBC
10,267897,BCM,169.5,15653,2708,AE,BCM
11,286942,BC,167.5,17278,3011,CE,BC
12,308397,BC,166,18268,2607,NS,OC
13,255268,BCM,165,18885,1324,ME,OC
14,232987,BC,164.5,19284,1432,CO,BC
15,252387,MBC,164,19599,1216,EC,MBC
16,304317,SC,164,19833,2750,ME,OC
17,347048,BC,163.6667,19919,1122,EC,OC
18,309222,MBC,163.5,19986,2726,AG,MBC
19,294022,MBC,163.5,20032,2716,BM,MBC
20,256068,BC,163.5,20059,1413,CS,BC
21,318591,BC,163.5,20190,1304,CE,OC
22,274119,MBC,163,20447,3410,CS,MBC
23,280761,SC,163,20561,1399,EC,SC
24,298093,MBC,162,21260,2601,IT,MBC
25,266124,BC,161.5,21568,3011,PC,BC
26,236696,BC,161.5,21596,5022,CS,BC
27,354174,SC,161,21990,4917,EE,OC
28,354719,SC,161,22098,2702,BT,SC
29,280581,BC,160.5,22523,2708,AE,BC
30,240809,OC,160.5,22529,1212,PE,OC
31,349686,BC,159.5,23313,5,EC,BC
32,273642,BC,159,23760,3786,AE,OC
33,330742,BC,158,24476,3021,CS,BC
34,276434,MBC,157,25361,1122,AD,MBC
35,229635,BC,156.5,25606,2750,ME,OC
36,283912,BC,156.5,25640,1237,AD,BC
37,267344,SC,156,25835,2327,EE,OC
38,291426,SC,156,26058,2603,ME,SC
39,217260,BC,155.5,26527,2764,EE,BC
40,251434,BC,155,26982,3795,EC,OC
41,282431,BCM,154.5,27473,1149,EC,BCM
42,355781,BC,154,27553,2750,ME,OC
43,351176,BCM,153.5,27956,2622,IT,BCM
44,336245,MBC,152.5,28840,2702,ME,MBC
45,262798,MBC,152.5,29004,3806,EC,OC
46,327291,BC,152,29172,2710,EE,BC
47,337604,BC,152,29226,1307,BM,BC
48,218890,MBC,152,29274,2611,BM,MBC
49,278200,MBC,152,29336,2740,AU,OC
50,243621,BC,152,29487,5986,ME,BC
51,321812,SC,151.5,29827,2611,MD,OC
52,204429,SC,151.5,29923,1409,BM,SC
53,303881,SC,151,30316,1216,MD,OC
54,260869,OC,150.5,30511,1324,CE,OC
55,246088,BCM,150.5,30552,2710,TS,BCM
56,308755,BC,150,31012,1127,BT,OC
57,248376,BCM,150,31146,1101,ME,OC
58,262795,SC,149.5,31378,2357,ME,OC
59,289514,BC,149.5,31419,2707,EI,OC
60,249873,MBC,149.5,31547,3803,EC,MBC
61,352091,SC,149.5,31573,2603,ME,SC
62,360798,SC,149,31714,2601,EE,OC
63,330974,SC,149,32001,4020,GI,SC
64,333470,SCA,149,32039,1304,CS,SCA
65,298634,MBC,149,32078,5904,IT,MBC
66,359732,BC,149,32082,4959,AD,BC
67,309450,MBC,148.5,32206,1422,CE,OC
68,356909,MBC,148.5,32207,2611,CS,MBC
69,246954,BC,148,32828,5017,CS,OC
70,325503,MBC,147.5,33426,1422,EE,MBC
71,268887,BC,147,33459,3465,CE,BC
72,268554,BC,147,33695,2734,AD,BC
73,284065,SC,146.5,34143,1218,BM,OC
74,270521,BC,146,34710,4960,CE,BC
75,319571,BC,146,34716,2702,ME,BC
76,300297,MBC,146,34718,2702,ME,MBC
77,348456,MBC,145.5,34750,1014,IT,MBC
78,231726,MBC,145.5,34759,1106,AE,OC
79,303068,MBC,145.5,34779,1014,IT,MBC
80,279317,MBC,145.5,34789,1421,CS,OC
81,319446,BC,145.5,34796,2360,CS,OC
82,248642,BC,145.5,34813,2726,BM,BC
83,331190,MBC,145.5,34894,2707,AG,MBC
84,283235,BC,145,35228,4023,CE,BC
85,262724,BC,145,35421,5921,CS,OC
86,250592,BC,145,35445,5988,CS,OC
87,330124,BC,145,35453,1516,ME,BC
88,204595,BC,145,35516,4965,CS,BC
89,301203,BC,145,35535,2764,CE,BC
90,337591,SC,145,35612,1309,EC,SC
91,250765,BC,144.6667,35617,1419,ME,BC
92,211673,MBC,144.5,35640,2764,CE,MBC
93,214709,BC,144.5,35649,2751,CS,BC
94,240965,MBC,144.5,35653,3908,CS,OC
95,353892,SCA,144.5,35668,2715,EC,OC
96,250908,BC,144.5,35683,2727,AG,BC
97,232936,BC,144.5,35704,1324,CE,OC
98,291394,BC,144.5,35762,5,AM,BC
99,218588,SC,144.5,35843,4960,ME,SC
100,322365,SCA,144.5,35872,2006,MS,SCA
101,296022,SC,144.5,35994,4989,CS,OC
102,227924,SC,144.5,36066,3011,EE,SC
103,250247,BC,144,36092,5921,EC,OC
104,305751,BC,144,36188,3021,CS,BC
105,235451,BC,144,36223,2709,ME,BC
106,262104,BC,144,36252,4928,CE,OC
107,253316,MBC,144,36266,4962,EC,MBC
108,341067,SCA,144,36316,1113,EC,SCA
109,282280,MBC,144,36410,1231,EC,MBC
110,218155,BCM,144,36418,5009,EC,BCM
111,267553,BC,144,36471,3011,CE,BC
112,321916,BC,144,36526,5,EC,BC
113,298191,SCA,143.5,36544,3011,CS,SCA
114,219376,BC,143.5,36559,5986,ME,BC
115,242011,BC,143.5,36578,4954,CS,BC
116,260984,BC,143.5,36606,2734,AD,BC
117,270719,BC,143.5,36611,2328,CS,BC
118,234443,BC,143.5,36618,2607,EC,BC
119,253816,MBC,143.5,36784,2711,EI,MBC
120,282751,MBC,143.5,36846,1516,ME,MBC
121,242341,SC,143.5,36893,3011,CE,SC
122,324849,MBC,143.5,36899,1210,CE,OC
123,212939,BC,143.5,36923,3806,CS,OC
124,254662,SC,143.5,36986,2618,CE,SC
125,280360,BC,143,37023,2329,CS,BC
126,290023,BC,143,37038,2769,PD,OC
127,220361,SC,143,37108,3701,EE,OC
128,283836,BC,143,37298,1014,CE,OC
129,270126,SC,143,37393,4976,AG,OC
130,254741,BC,143,37450,4960,CE,BC
131,207812,BC,143,37451,5,EC,BC
132,231438,BC,142.5,37510,1307,BM,BC
133,238981,BC,142.5,37550,3701,ME,OC
134,334439,BC,142.5,37580,2740,EC,OC
135,301538,BC,142.5,37599,3804,BM,OC
136,307763,SC,142.5,37610,5009,CE,OC
137,264102,BC,142.5,37613,2736,EC,BC
138,345460,MBC,142.5,37800,2653,CE,OC
139,297748,SC,142.5,37814,1408,CS,SC
140,351458,BC,142.5,37882,2725,EC,BC
141,341223,SCA,142.5,37903,1210,CS,SCA
142,357489,SC,142,37943,1150,AG,OC
143,208826,BC,142,38016,1013,EC,BC
144,301792,MBC,142,38074,2653,ME,OC
145,322847,BC,142,38144,2739,ME,BC
146,345678,BC,142,38192,2706,EE,BC
147,284174,SC,142,38193,2739,CS,SC
148,259282,BC,142,38205,1317,CE,OC
149,332411,BC,142,38246,2734,EC,OC
150,226224,SC,142,38257,4976,AG,OC
151,229413,MBC,142,38309,1516,ME,MBC
152,314193,BC,142,38318,2708,FD,BC
153,293054,SC,142,38344,3011,EE,SC
154,341821,MBC,141.75,38396,2708,CS,MBC
155,270265,BC,141.5,38425,1307,CS,BC
