S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,346975,BC,197,123,2006,PS,OC
2,335554,MBC,196.75,132,3011,BT,OC
3,227249,BC,192.25,988,1399,IT,OC
4,274884,BC,190,1990,1211,BM,OC
5,255111,OC,190,2036,1211,CB,OC
6,244552,OC,190,2187,1149,CS,OC
7,242374,OC,190,2575,1304,BM,OC
8,305968,BC,190,2750,1,XM,OC
9,258285,BC,190,2753,1211,AL,BC
10,326239,MBC,190,2936,4,AS,MBC
11,326088,BC,190,2978,1304,CS,BC
12,238159,BC,190,3002,2712,EI,BC
13,206197,BC,190,3010,1399,CS,BC
14,229740,BC,190,3160,1112,CS,OC
15,263062,OC,190,3265,1116,CS,OC
16,238136,BC,190,3324,4960,BM,OC
17,203123,BC,190,3333,1211,BM,BC
18,205779,OC,190,3398,1304,EC,OC
19,310157,BC,189.5,3466,2,PP,BC
20,295870,BC,189.5,3503,2712,ME,OC
21,229266,BC,189.5,3649,2712,EI,BC
22,324951,BC,189,3740,1211,IT,OC
23,275024,OC,189,3775,4974,EC,OC
24,223803,OC,189,3833,2006,PS,OC
25,200985,OC,189,3884,1211,EC,OC
26,312431,BC,189,3925,1399,CS,BC
27,293220,OC,189,3997,1211,BT,OC
28,310681,BC,189,4071,1399,CS,BC
29,233995,BC,188.5,4111,5901,EE,OC
30,263737,MBC,188.5,4118,1112,CS,OC
31,256473,OC,188.5,4126,1211,BT,OC
32,326025,BC,188.5,4206,2,TX,OC
33,200871,BC,188.5,4218,1211,CB,OC
34,285477,SC,188,4391,4974,EE,OC
35,341151,OC,188,4583,3011,BT,OC
36,339926,OC,188,4654,1450,ME,OC
37,248432,MBC,188,4686,1211,CS,MBC
38,203684,BC,187.5,4764,4960,CS,BC
39,203250,BC,187.5,4806,1149,ME,OC
40,204943,BC,187.5,4861,1211,RM,OC
41,212251,BC,187.5,4870,2006,FY,OC
42,234110,OC,187,4998,1112,CS,OC
43,308573,BC,187,5035,5010,CS,OC
44,214726,BC,187,5069,2,PP,BC
45,351115,BC,187,5128,2,PP,BC
46,266577,BC,187,5138,1304,CS,BC
47,225939,BCM,186.75,5185,4,AS,BCM
48,350146,BCM,186.5,5332,2025,CS,BCM
49,209350,BC,186.5,5380,1211,AL,BC
50,254286,OC,186,5431,2006,PS,OC
51,261978,BC,186,5441,2,TX,OC
52,360437,SC,186,5468,2007,CS,SC
53,344092,BC,186,5478,2615,EE,BC
54,205029,SC,186,5552,2007,CS,SC
55,209859,BC,186,5557,1317,IT,OC
56,261124,MBC,186,5616,2007,CH,MBC
57,330046,BC,186,5621,2005,IB,BC
58,263214,MBC,186,5683,1219,BT,MBC
59,203517,BC,186,5734,2006,MY,BC
60,268473,BC,185.5,5764,1113,IT,BC
61,293343,BC,185.5,5767,2727,IT,OC
62,336299,OC,185.5,5858,2722,CS,OC
63,335623,OC,185,6057,1211,CB,OC
64,244616,BC,185,6087,2718,EE,OC
65,205996,OC,185,6150,1422,CS,OC
66,247245,BCM,185,6176,2025,CS,BCM
67,270198,OC,185,6187,1211,BT,OC
68,242722,BC,185,6219,1211,BT,OC
69,209860,OC,184.5,6331,1399,ME,OC
70,329492,BC,184.5,6425,2712,EI,BC
71,308175,OC,184.5,6436,4960,EC,OC
72,211342,BC,184.5,6441,4,RP,BC
73,215976,BC,184.5,6456,2712,MZ,OC
74,341654,OC,184,6525,1218,BM,OC
75,279560,MBC,184,6536,2603,CS,OC
76,254795,BCM,184,6619,4,AS,BCM
77,258498,BC,184,6629,2601,BM,OC
78,209709,BC,184,6641,1304,AD,BC
79,356989,BC,184,6645,2712,MZ,OC
80,249760,OC,184,6673,5901,EE,OC
81,267799,BC,184,6714,1450,IT,BC
82,237011,BC,184,6726,1450,IT,BC
83,218556,OC,184,6737,4960,AD,OC
84,203341,MBC,184,6760,1419,AD,MBC
85,229075,BC,184,6771,2,TX,OC
86,259295,BC,184,6780,2,CR,OC
87,243955,MBC,183.5,6818,2,PM,MBC
88,210235,BC,183.5,6820,2718,EE,OC
89,212434,BC,183.5,6823,1399,CS,BC
90,265982,BC,183.5,6958,2723,IT,OC
91,204462,BC,183.5,6973,1399,CB,OC
92,233107,BC,183,7076,3011,IT,OC
93,331272,BC,183,7077,2006,TX,BC
94,359278,OC,183,7120,2006,PS,OC
95,255890,MBC,183,7173,3819,CS,OC
96,295001,BC,183,7179,2615,EE,BC
97,213507,BC,183,7196,2712,ME,OC
98,203641,BC,183,7259,2712,AE,BC
99,327146,BC,183,7279,2615,EE,BC
100,274224,MBC,183,7296,1210,EE,OC
101,213742,SC,182.5,7421,4,IM,SC
102,260539,MBC,182.5,7445,2007,CE,MBC
103,249691,BC,182.5,7460,2712,EI,BC
104,264282,BC,182.5,7496,4964,AE,OC
105,285387,MBC,182.5,7554,2005,CE,MBC
106,304701,BC,182.5,7600,1304,EC,OC
107,311770,BC,182.25,7632,2,TX,OC
108,213413,BC,182,7639,2711,CS,BC
109,317967,MBC,182,7703,2718,CS,MBC
110,315175,MBC,182,7730,1219,EC,MBC
111,221589,BCM,182,7738,2006,PN,BCM
112,317901,BC,182,7796,2005,IB,BC
113,334500,MBC,182,7812,5008,CW,MBC
114,298892,MBC,182,7864,2007,CE,MBC
115,321134,BCM,182,7891,4960,CS,BCM
116,218718,MBC,182,7928,1304,CE,OC
117,308499,BC,182,7933,1309,CS,BC
118,323302,BC,181.75,7944,2603,CS,OC
119,326365,BC,181.66667,7950,1211,EC,OC
120,244993,BC,181.5,7965,2702,ME,OC
121,271769,SCA,181.5,7979,2025,CS,SCA
122,289647,BC,181.5,8032,4981,CS,OC
123,212556,BC,181.5,8038,2702,EC,OC
124,351096,MBC,181.5,8050,2377,ME,MBC
125,215537,OC,181.5,8070,1399,IT,OC
126,352164,MBC,181.5,8118,2718,CS,MBC
127,209899,BC,181.5,8177,2712,ME,OC
128,234877,BC,181.5,8180,2369,CS,OC
129,250789,MBC,181.5,8208,4,AS,MBC
130,339875,BC,181.25,8221,1317,EC,BC
131,310139,BC,181,8246,2622,BT,OC
132,312934,MBC,181,8257,2622,BT,OC
133,203211,BC,181,8342,1317,BT,BC
134,227296,BCM,181,8418,2,PM,BCM
135,259209,BC,181,8419,2,PP,BC
136,355593,BC,181,8443,2,CR,OC
137,242117,BC,181,8484,1317,BT,BC
138,252662,BC,181,8496,1317,EC,BC
139,272831,BC,181,8520,2,TX,OC
140,218765,BC,180.5,8546,2739,CS,OC
141,343801,BC,180.5,8632,2005,CE,BC
142,320006,MBC,180.5,8637,1399,CS,MBC
143,339718,MBC,180.5,8658,4,PR,MBC
144,299074,BC,180.5,8676,5010,CS,OC
145,233424,MBC,180.5,8690,4,PR,MBC
146,264303,BC,180.5,8701,1304,IT,OC
147,327785,BC,180.5,8702,2711,CS,BC
148,270343,BC,180.5,8719,2706,EC,OC
149,224040,OC,180.5,8756,1211,EC,OC
150,218751,BC,180,8830,4971,EC,OC
151,255348,BC,180,8835,1219,ME,BC
152,347335,MBC,180,8945,2711,CS,MBC
153,291202,BC,180,9010,4,RP,BC
154,243784,BCM,180,9020,1127,BT,OC
155,282066,OC,180,9044,1304,IT,OC
156,205765,OC,180,9053,1211,EC,OC
157,225234,BCM,180,9070,4962,CS,OC
158,218668,BC,180,9082,1317,BT,BC
159,311233,BC,180,9102,1112,CS,OC
160,251151,SC,179.75,9121,1,GI,SC
161,228441,OC,179.5,9165,1211,IT,OC
162,209075,BC,179.5,9184,1399,AD,BC
163,211819,BC,179.5,9215,2711,CS,BC
164,224898,MBC,179.5,9219,4,AS,MBC
165,243552,BC,179.5,9225,4974,CE,OC
166,298637,MBC,179.5,9240,5008,EY,MBC
167,267147,BC,179.5,9287,4,RP,BC
168,349431,BC,179.5,9298,2005,CE,BC
169,222821,BC,179.5,9316,2706,EC,OC
170,311781,BC,179.5,9369,2718,AD,BC
171,259959,MBC,179,9428,2735,EC,OC
172,288682,BC,179,9451,2005,IB,BC
173,236255,BC,179,9460,1211,CB,BC
174,220950,BC,179,9463,5008,CN,OC
175,326328,OC,179,9469,1399,EC,OC
176,260344,MBC,179,9504,2745,CS,OC
177,202306,BC,179,9523,2622,CH,OC
178,273733,BC,179,9545,2702,CS,BC
179,222992,SC,179,9548,3464,EC,OC
180,268376,MBC,179,9551,1419,CS,MBC
181,245276,BCM,179,9677,1311,CS,OC
182,300148,MBC,178.75,9718,2006,ES,MBC
183,286866,BC,178.5,9727,5901,EE,OC
184,216602,BC,178.5,9756,5008,CN,OC
185,237619,MBC,178.5,9771,1110,IT,OC
186,224766,MBC,178.5,9787,3465,CS,OC
187,317428,BCM,178.5,9834,3011,EC,OC
188,231522,BC,178.5,9892,4960,EC,OC
189,322439,BC,178.5,9905,1317,ME,OC
190,331115,BC,178.5,9949,1219,CH,OC
191,275743,SC,178.5,9965,1,IE,SC
192,233403,BC,178,9989,4960,CS,BC
193,360343,BCM,178,10012,1321,PA,OC
194,292207,BC,178,10076,5910,EE,OC
195,202534,BC,178,10090,2025,EC,OC
196,226662,BC,178,10211,2006,TX,BC
197,255879,BCM,178,10226,5008,CW,BCM
198,210904,MBC,178,10235,5008,CE,MBC
199,217004,BC,178,10252,4960,EC,OC
200,261357,BC,178,10263,1216,BM,OC
201,279845,BC,178,10269,1211,IT,BC
202,325979,BC,178,10276,2005,IB,BC
203,230204,SC,178,10280,1,MN,SC
204,209158,BC,178,10288,2006,PS,OC
205,335193,MBC,178,10293,2005,EI,MBC
206,207837,BC,178,10306,1422,AD,OC
207,340333,SC,177.5,10399A,2,CH,SC
208,293853,BC,177.5,10466,2377,CE,BC
209,342040,MBC,177.5,10512,1419,CS,MBC
210,227484,OC,177.5,10565,2006,PS,OC
211,302047,BC,177.5,10599,2712,ME,OC
212,275952,MBC,177.5,10609,2,FS,MBC
213,217585,MBC,177.5,10636,4,PR,MBC
214,300982,SC,177.5,10638,3465,EE,OC
215,229135,BC,177.5,10644,1211,CB,BC
216,201826,MBC,177.5,10648,5008,EY,MBC
217,351122,MBC,177,10680,2025,EC,OC
218,305439,BC,177,10682,5008,CN,OC
219,269469,MBC,177,10729,2,CR,OC
220,242659,MBC,177,10762,5901,CS,MBC
221,218007,OC,177,10786,1112,CS,OC
222,271306,BC,177,10791,2718,CB,BC
223,250531,OC,177,10805,2711,EC,OC
224,229236,BCM,177,10814,1450,IT,BCM
225,207205,BC,177,10872,1399,CS,BC
226,212177,BC,177,10896,1309,CS,BC
227,341905,BC,177,10907,1399,CS,BC
228,233511,MBC,177,10945,2,PM,MBC
229,259885,OC,177,10950,1419,EC,OC
230,213621,BC,176.5,10984,2718,CB,BC
231,225771,BC,176.5,10987,2718,AD,BC
232,271961,BC,176.5,11026,1210,CS,OC
233,335708,BC,176.5,11054,2006,FY,OC
234,261433,BC,176.5,11060,1219,ME,BC
235,259128,MBC,176.5,11066,2718,CS,MBC
236,264830,BC,176.5,11099,2708,BM,OC
237,270954,BC,176.5,11102,4960,EC,OC
238,255286,BC,176.5,11103,2712,MZ,BC
239,253794,MBC,176.5,11126,5008,CE,MBC
240,341808,BC,176.5,11137,3011,EC,OC
241,274850,BC,176.5,11145,2719,CS,OC
242,310891,BC,176.5,11160,2767,EE,OC
243,283533,MBC,176.5,11212,1315,CH,MBC
244,273820,BC,176.5,11247,1419,IT,OC
245,318882,MBC,176,11261,2620,TS,OC
246,255033,BC,176,11283,2702,BT,OC
247,227994,MBC,176,11294,4,AS,MBC
248,230941,BC,176,11374,2718,AD,BC
249,304991,BC,176,11380,2711,FD,BC
250,283403,MBC,176,11393,2750,BM,OC
251,224320,BC,176,11407,2005,IB,BC
252,252707,BC,176,11413,5008,CN,OC
253,245266,BC,176,11434,2,AP,OC
254,303056,BC,176,11435,2718,AD,BC
255,273316,MBC,176,11442,1516,CS,OC
256,241813,BC,176,11443,2005,CE,BC
