S NO,APPLN NO,COMMUNITY,GENERAL RANK,AGGREGATE MARK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,345635,BC,1,199.6667,1,CS,OC
2,344036,OC,2,199.6667,1,CS,OC
3,229779,BC,3,199.5,2006,CM,OC
4,271122,BC,5,199.5,1,CS,OC
5,224926,BC,6,199.3333,1,CS,OC
6,200129,BC,7,199.3333,4,AE,OC
7,308983,BC,8,199.3333,1,CS,OC
8,354452,OC,9,199,1,CS,OC
9,268580,BCM,11,199,1,EC,OC
10,275741,BC,12,199,1,CS,OC
11,239470,BC,16,199,1,CS,OC
12,336793,BC,18,198.75,1,EC,OC
13,315691,SC,19,198.75,1,CS,OC
14,310889,BC,20,198.75,1,CS,OC
15,233162,MBC,21,198.6667,1,CS,OC
16,210822,MBC,23,198.5,1315,CS,OC
17,259075,OC,28,198.5,1,CS,OC
18,262862,OC,30,198.5,1,CS,OC
19,343736,BC,31,198.5,1,CS,OC
20,339717,OC,32,198.5,1,CS,OC
21,297652,BC,34,198.5,1,CS,OC
22,353317,BC,35,198.25,1,CS,OC
23,357429,BC,37,198.25,1,BY,OC
24,294178,MBC,40,198,1,CS,MBC
25,200160,BC,41,198,1,CS,BC
26,244762,OC,42,198,1,EM,OC
27,262338,OC,43,198,1,CM,OC
28,333623,BC,48,198,1,CS,BC
29,228508,BC,52,198,1,ME,OC
30,273716,BC,54,198,1,CS,BC
31,348142,OC,57,198,4,CS,OC
32,331114,BC,58,197.75,1,CS,BC
33,259429,BC,61,197.75,1,CS,BC
34,262665,BC,62,197.6667,2006,CM,OC
35,224207,OC,63,197.6667,1315,CS,OC
36,227587,OC,64,197.5,1,CM,OC
37,242592,BC,65,197.5,1,CS,BC
38,346526,BCM,68,197.5,1,CS,BCM
39,261346,BC,70,197.5,1,CS,BC
40,283049,BC,71,197.5,1,CS,BC
41,257003,OC,72,197.5,1,CM,OC
42,201119,BC,73,197.5,1315,BM,OC
43,260662,OC,75,197.5,1,CM,OC
44,276347,OC,76,197.5,1,CM,OC
45,204959,BC,77,197.5,1,CS,BC
46,285986,OC,78,197.5,1315,BM,OC
47,304073,OC,79,197.5,1,EC,OC
48,202112,OC,82,197.5,1,EC,OC
49,291963,BC,83,197.5,1,CS,BC
50,207046,OC,84,197.5,1,EC,OC
51,275430,BC,85,197.5,1,CS,BC
52,256545,BC,88,197.5,1,CS,BC
53,246562,BC,90,197.3333,1,CS,BC
54,203531,BC,94,197,1,EC,OC
55,329218,BC,95,197,1315,CS,OC
56,281337,OC,96,197,2006,CM,OC
57,232765,BC,99,197,2006,ME,OC
58,257377,BC,100,197,1315,CS,OC
59,224645,BC,101,197,1,EC,OC
60,308557,BC,102,197,1,IM,OC
61,204426,BC,103,197,1,CM,OC
62,204513,BC,104,197,2006,CM,OC
63,258837,BC,105,197,1,CS,BC
64,311323,OC,108,197,4,CS,OC
65,200030,OC,109,197,1,CM,OC
66,237807,BC,111,197,1,CE,OC
67,285722,BC,115,197,1,EC,OC
68,303494,BC,117,197,1,CM,OC
69,322991,BC,118,197,1,CM,OC
70,284496,BC,121,197,4,MF,OC
71,215103,OC,122,197,1,EC,OC
72,202684,BC,124,197,1,CM,OC
73,325975,OC,125,197,1,CM,OC
74,208311,SC,127,197,1,EC,OC
75,335100,BC,128,196.75,1,EE,OC
76,330641,BC,130,196.75,1,CE,OC
77,334859,SC,133,196.75,1,EC,OC
78,211340,BC,135,196.6667,1,EC,OC
79,322035,BC,136,196.5,1,CM,OC
80,222765,BC,137,196.5,1,CM,OC
81,230048,OC,139,196.5,4,CS,OC
82,232976,MBC,140,196.5,2007,CS,OC
83,248656,BC,142,196.5,1,CM,OC
84,283886,MBC,143,196.5,1,CS,MBC
85,222362,BC,144,196.5,1,CM,OC
86,242582,BC,145,196.5,1,EC,OC
87,295426,BC,146,196.5,1,EC,OC
88,260512,BC,147,196.5,2,IB,OC
89,325356,BC,148,196.5,1,ME,OC
90,303964,OC,149,196.5,1315,CS,OC
91,337784,BC,150,196.5,5008,CS,OC
92,247307,BC,152,196.5,1,CM,OC
93,272434,OC,153,196.5,2,IB,OC
94,331641,OC,155,196.5,1,EC,OC
95,270390,BC,156,196.5,1,EC,OC
96,242508,BC,157,196.5,1,CM,OC
97,259163,BC,159,196.5,1,CM,OC
98,211694,OC,160,196.5,1,CM,OC
99,293379,OC,161,196.5,4,CS,OC
100,302839,MBC,162,196.5,5012,CC,OC
101,299967,OC,163,196.5,1,EC,OC
102,253676,BC,165,196.5,1,CM,OC
103,249454,BC,166,196.5,1,CM,OC
104,218638,BC,167,196.5,1,EC,BC
105,323686,MBC,168,196.5,2615,EC,OC
106,228205,BC,170,196.5,1,CM,OC
107,234250,BC,171,196.5,2006,EE,OC
108,210700,MBC,173,196.5,1,CS,MBC
109,254545,BC,174,196.5,1,CM,OC
110,304717,BCM,176,196.5,1,CS,BCM
111,244806,OC,177,196.5,1,CM,OC
112,224414,BC,178,196.5,1,EC,BC
113,206415,BC,181,196.3333,1,CM,OC
114,317974,BC,182,196.25,1,CM,OC
115,343831,BC,183,196.25,4,CS,OC
116,344208,OC,184,196.25,1,CM,OC
117,320333,BC,186,196,4,CS,OC
118,286887,BC,187,196,4,AE,OC
119,271945,BC,188,196,2006,CM,OC
120,226048,MBC,189,196,2006,CM,OC
121,227585,BC,192,196,1,EC,BC
122,356902,MBC,193,196,1,EC,MBC
123,282914,BC,194,196,1,CM,OC
124,339002,SC,195,196,1,EE,OC
125,210399,MBC,197,196,1,CS,MBC
126,236924,BC,198,196,1,CM,OC
127,268683,OC,199,196,1,CM,OC
128,247456,OC,200,196,4,CS,OC
129,212974,BC,203,196,2006,EC,OC
130,224611,OC,206,196,1315,CS,OC
131,203748,BCM,209,196,1,CM,OC
132,337647,MBC,210,196,1,CS,MBC
133,261319,OC,213,196,1,CM,OC
134,225594,BC,214,196,2,CH,OC
135,235841,OC,215,196,2006,CM,OC
136,290216,BC,216,196,1,CM,OC
137,228045,OC,219,196,2006,BS,OC
138,293085,BC,222,196,1315,CS,OC
139,232051,OC,223,196,1,CM,OC
140,215019,OC,224,196,2,CH,OC
141,256611,BC,225,196,2006,ME,OC
142,218354,OC,226,196,1,EE,OC
143,299671,BC,227,196,2,IB,OC
144,225286,BC,229,196,1,EC,BC
145,305380,BC,233,196,2,IB,OC
146,200613,OC,236,196,1,EM,OC
147,273825,BC,237,196,1,EE,OC
148,258615,OC,239,196,1,CM,OC
149,203364,BC,241,196,2,IB,OC
150,359405,OC,243,196,4,CS,OC
151,328908,MBC,244,195.75,1,CS,MBC
152,299691,BC,245,195.6667,5012,CC,OC
153,326779,BC,246,195.6667,1,EC,BC
154,282221,BC,248,195.5,1,EC,BC
155,221830,BC,249,195.5,1,CM,BC
156,295834,OC,252,195.5,1,EE,OC
157,223447,BC,253,195.5,1,CM,BC
158,318638,BC,254,195.5,1,EE,OC
159,289492,OC,256,195.5,1,ME,OC
160,226110,OC,257,195.5,2006,CM,OC
161,220366,OC,260,195.5,1,EM,OC
162,245941,OC,262,195.5,4,CS,OC
163,300144,BC,263,195.5,1,CM,BC
164,276408,OC,264,195.5,1,EM,OC
165,221266,BC,265,195.5,1,CM,BC
166,200359,BC,268,195.5,2006,CM,OC
167,308896,OC,269,195.5,1,IM,OC
168,270268,OC,270,195.5,1,BY,OC
169,318311,BC,271,195.5,1,CM,BC
170,218962,OC,273,195.5,1,IM,OC
171,275207,OC,274,195.5,4,CS,OC
172,325794,SC,275,195.5,4,CS,OC
173,205071,OC,276,195.5,1,EM,OC
174,291941,BC,277,195.5,2007,CS,OC
175,258383,BC,278,195.5,1,CM,BC
176,206846,OC,279,195.5,1,IM,OC
177,356094,BC,280,195.5,1,EC,BC
178,337656,BC,281,195.5,1,CM,BC
179,261015,BC,282,195.5,1,GI,OC
180,282884,BC,284,195.5,2006,CM,OC
181,249376,BC,285,195.5,1,EC,BC
182,295973,BC,288,195.5,1315,CS,OC
183,257190,OC,289,195.5,4,CS,OC
184,202949,MBC,290,195.5,1,CS,MBC
185,200020,BCM,292,195.5,1315,CS,OC
186,200169,BC,293,195.5,1,CM,BC
187,282401,OC,294,195.5,1,EM,OC
188,272033,BC,297,195.5,1,CM,BC
189,202747,OC,298,195.5,4,CS,OC
190,247495,OC,299,195.5,1,EE,OC
191,355239,BC,300,195.5,1,BY,OC
192,243050,ST,301,195.5,1,CS,ST
193,349268,MBC,302,195.5,1,CS,MBC
194,222125,BC,304,195.3333,1,CM,BC
195,352873,BC,305,195.3333,1,EC,BC
196,211682,BC,306,195.3333,1315,CS,OC
197,265657,BCM,307,195.25,2025,EC,OC
198,325877,BC,308,195.25,4,AE,OC
199,323196,BCM,309,195.25,1,CE,OC
200,338332,BC,310,195.25,5008,CS,OC
201,212457,BC,311,195,1,EE,OC
202,221816,BC,312,195,1,EE,OC
203,295955,BC,313,195,1,CM,BC
204,259419,BC,314,195,1,CM,BC
205,328947,OC,315,195,4,CS,OC
206,206087,BC,316,195,2006,ME,OC
207,210209,OC,317,195,1,EM,OC
208,206775,BC,318,195,1,CM,BC
209,245503,BC,320,195,1,CM,BC
210,272867,BC,322,195,1,CM,BC
211,304614,BC,324,195,1,CM,BC
212,270189,MBC,325,195,1,CS,MBC
213,238920,BC,326,195,1,CM,BC
214,291760,BC,327,195,1,CM,BC
215,340801,MBC,330,195,1,CS,MBC
216,221958,OC,333,195,1,EM,OC
217,236799,OC,334,195,4,CS,OC
218,209072,BC,335,195,1,CM,BC
219,212578,BC,337,195,4,CS,OC
220,228865,BCM,339,195,4,CS,OC
221,241837,OC,341,195,4,CS,OC
222,311473,BC,342,195,4,AU,OC
223,227696,BC,346,195,1,CM,BC
224,220848,OC,347,195,1315,CS,OC
225,241715,BC,348,195,1,CM,BC
226,360347,OC,349,195,1,EM,OC
227,215301,OC,351,195,4,CS,OC
228,211230,BC,353,195,4,AE,OC
229,299244,OC,354,195,2006,EC,OC
230,246768,BC,355,195,1,CM,BC
231,345479,BCM,356,195,1,CE,OC
232,345874,BC,358,195,2712,EC,OC
233,321763,MBC,359,195,1,CM,MBC
234,342944,MBC,360,195,2636,ME,OC
235,309611,BC,361,195,1,EE,OC
236,270881,BC,362,195,1315,CS,OC
237,293570,BC,363,195,1,CM,BC
238,237472,MBC,364,195,1,CS,MBC
239,337328,BCM,365,195,1,CM,BCM
240,350523,SC,366,195,1,CS,SC
241,256821,OC,369,195,1315,CS,OC
242,248196,OC,371,195,1,IM,OC
243,289256,MBC,372,195,4,CS,MBC
244,201526,BC,373,195,1,CM,BC
245,233383,BC,374,195,1,CM,BC
246,299936,OC,376,195,4,MF,OC
247,214870,OC,377,195,1315,CS,OC
248,248406,BC,378,195,1,EC,BC
249,216736,MBC,379,195,2006,EC,OC
250,266142,MBC,380,195,4,EC,OC
251,277780,OC,381,195,2,CH,OC
252,216135,MBC,382,195,1,CM,MBC
253,283714,BC,385,195,1,CM,BC
254,210205,MBC,386,195,4,CS,MBC
255,289557,BC,387,195,1,EC,BC
256,228159,BC,389,195,2006,ME,OC
257,242929,MBC,390,195,2006,EE,OC
258,326314,BC,391,195,1,EC,BC
259,314975,OC,392,195,2006,CM,OC
260,201811,BC,393,195,1,EC,BC
261,265027,MBC,394,195,4,CS,MBC
262,265327,BC,395,195,1,BY,OC
263,335075,BC,397,195,2006,BS,OC
264,245480,BC,399,194.75,4,CS,BC
265,240031,MBC,402,194.75,1,CM,MBC
266,330734,OC,402A,194.6667,2006,ME,OC
267,339749,BC,403,194.6667,1,EC,BC
268,264604,OC,404,194.5,2006,CM,OC
269,243016,BC,406,194.5,1,CM,BC
270,239401,BC,407,194.5,2006,EC,OC
271,257838,BC,408,194.5,1,CM,BC
272,257258,BC,411,194.5,4,CS,BC
273,329462,BC,412,194.5,4,AE,OC
274,222104,BC,413,194.5,1,EC,BC
275,258253,BC,414,194.5,1,IM,OC
276,276430,BC,415,194.5,1,IM,OC
277,221625,BC,418,194.5,4,CS,BC
278,209009,OC,420,194.5,1,IM,OC
279,204886,BC,421,194.5,3830,CS,OC
280,327753,OC,422,194.5,4,AE,OC
281,215358,BC,423,194.5,1,IM,OC
282,298829,BC,425,194.5,4,CS,BC
283,212064,BC,426,194.5,1,EM,OC
284,210108,BC,429,194.5,1,IM,OC
285,343998,BC,432,194.5,1,IM,OC
286,241579,BC,433,194.5,1,EC,BC
287,211462,OC,434,194.5,1,EM,OC
288,300396,BC,435,194.5,1,IM,OC
289,331660,BC,437,194.5,2006,CM,OC
290,201021,BC,438,194.5,1,EM,OC
291,256355,BC,439,194.5,1,ME,OC
292,274981,BC,440,194.5,1,ME,OC
293,260107,BC,441,194.5,1,EM,OC
294,257522,BC,443,194.5,1,EM,OC
295,206374,BC,444,194.5,2006,CM,OC
296,315611,BC,445,194.5,1,EE,OC
297,292194,BC,446,194.5,4,CS,BC
298,239878,OC,447,194.5,2006,EC,OC
299,201692,BC,448,194.5,1,IM,OC
300,259183,BCM,449,194.5,1,CM,BCM
301,259420,BC,450,194.5,2006,TX,OC
302,299646,BC,454,194.5,1,ME,OC
303,328528,MBC,455,194.5,2006,CM,OC
304,223953,BC,456,194.5,1,IM,OC
305,208128,BC,457,194.5,1,IM,OC
306,207256,OC,462,194.5,1,IM,OC
307,222652,OC,463,194.5,1,BY,OC
308,314188,MBC,465,194.5,1,CM,MBC
309,229557,OC,468,194.5,1,IM,OC
310,206483,BC,469,194.5,2006,CM,OC
311,325132,BC,470,194.5,4,CS,BC
312,330602,MBC,474,194.3333,1,CM,MBC
313,275824,BC,475,194.3333,1315,CS,OC
314,245327,BC,476,194.3333,4,CS,BC
315,304159,BC,477,194.25,4,CS,BC
316,302966,BC,479,194.25,2006,CM,OC
317,322070,MBC,480,194.25,1,EE,OC
318,308745,OC,481,194.25,1315,EC,OC
319,348580,BC,482,194.25,5008,EE,OC
320,252490,MBC,483,194.25,1,EC,MBC
321,246189,BC,484,194,1315,EC,OC
322,302527,BC,485,194,1315,CS,OC
323,279430,BC,486,194,2006,EC,OC
324,203083,BC,487,194,1,IM,OC
325,291429,BC,488,194,2,CH,OC
326,224583,OC,489,194,4,CM,OC
327,258841,BC,490,194,4,EC,OC
328,259645,BCM,491,194,1,CM,BCM
329,297274,BC,492,194,2,CH,OC
330,226741,OC,493,194,4,CM,OC
331,217013,BC,494,194,4,CS,BC
332,309330,OC,495,194,2,CH,OC
333,243958,OC,497,194,2,IB,OC
334,211551,BC,499,194,1,EM,OC
335,208516,MBC,500,194,1,EC,MBC
336,211186,OC,501,194,1,IM,OC
337,214430,BC,502,194,1,IM,OC
338,221639,OC,504,194,1315,CS,OC
339,260125,BC,505,194,1,EM,OC
340,225846,BC,506,194,4,CS,BC
341,203129,OC,507,194,1,EM,OC
342,292501,MBC,508,194,1,CM,MBC
343,230912,BC,509,194,2006,CM,OC
344,325822,MBC,510,194,1,EC,MBC
345,340901,BC,511,194,4,CS,BC
346,268500,OC,513,194,1,EM,OC
347,206233,MBC,516,194,1,CM,MBC
348,207174,BC,517,194,1,IM,OC
349,258317,OC,520,194,1,IM,OC
350,256248,BC,521,194,4,CS,BC
351,276582,OC,522,194,1315,CS,OC
352,270729,MBC,523,194,1,CM,MBC
353,309895,BC,525,194,4,CS,BC
354,292473,OC,527,194,4,AE,OC
355,200424,OC,528,194,2006,CM,OC
356,208869,BC,529,194,1,IM,OC
357,241526,BC,530,194,4,CS,BC
358,204066,BC,531,194,4,CS,BC
359,285126,BCM,532,194,2006,BS,OC
360,256540,BC,534,194,1,BY,OC
361,265272,BC,535,194,4,CS,BC
362,310871,BC,537,194,4,EC,OC
363,305579,BC,538,194,4,EC,OC
364,358272,OC,541,194,4,MF,OC
365,230857,BC,542,194,4,EC,OC
366,321938,BC,543,194,1,ME,OC
367,272059,BC,545,194,5008,EC,OC
368,303276,MBC,546,194,1,EC,MBC
369,220896,BC,547,194,1,CE,OC
370,301498,BC,548,194,2006,EC,OC
371,220309,BC,549,194,1,EM,OC
372,242602,BC,551,194,1315,CS,OC
373,262987,OC,552,194,1,EM,OC
374,227936,BC,553,194,1,EE,OC
375,227154,OC,554,194,2006,ME,OC
376,251915,OC,555,194,1,EM,OC
377,254277,BC,557,194,1,IM,OC
378,356488,OC,558,194,1,IM,OC
379,275329,BC,559,194,1,EM,OC
380,257268,OC,561,194,1,ME,OC
381,294013,MBC,562,194,1,CM,MBC
382,359292,OC,565,194,1,EE,OC
383,204417,OC,568,194,1315,CS,OC
384,272965,BC,570,194,4,CM,OC
385,224789,BC,573,194,1,IM,OC
386,226317,BC,574,194,1,IM,OC
387,272339,MBC,575,194,1,CM,MBC
388,276281,BC,576,194,2006,CM,OC
389,286621,BC,577,194,1,EM,OC
390,211126,BC,578,194,4,CM,OC
391,262274,BC,579,194,1,EM,OC
392,229830,BC,580,194,2006,EC,OC
393,231103,BC,581,194,2006,CM,OC
394,298163,BC,583,194,1,EM,OC
395,282711,BC,584,194,2006,BY,OC
396,344075,BC,585,194,1,EM,OC
397,243895,BC,586,194,1,EM,OC
398,255257,OC,589,194,2,CL,OC
399,298596,OC,590,194,4,CM,OC
400,245596,OC,592,194,1,EE,OC
401,321000,BC,593,194,4,CM,OC
402,299364,BC,594,194,2006,CM,OC
403,203524,OC,595,194,1,EM,OC
404,293108,BC,596,194,1,EM,OC
405,309459,BC,597,194,4,CM,OC
406,322433,BC,598,194,4,CM,OC
407,292353,BC,600,194,1,ME,OC
408,280539,BC,602,194,2006,EC,OC
409,244510,OC,604,194,1315,CS,OC
410,239439,BC,606,194,2006,EC,OC
411,233458,OC,607,194,1,EE,OC
412,292009,BC,608,194,1315,CS,OC
413,353454,BC,610,194,4,EC,OC
414,298222,OC,611,194,1,EE,OC
415,253314,BC,612,194,1315,CS,OC
416,334676,BC,614,194,2006,CM,OC
417,205714,OC,617,194,2006,CM,OC
418,273440,BC,618,194,2,CH,OC
419,275828,BC,620,194,1,IM,OC
420,344046,BC,621,193.75,4,AU,OC
421,333215,SC,622,193.75,1,CS,SC
422,296542,BC,623,193.75,2006,CM,OC
423,289781,BC,624,193.75,2006,CM,BC
424,238241,BC,625,193.6667,4,CM,OC
425,310526,SC,627,193.6667,1,EC,SC
426,257017,MBC,628,193.6667,1,CM,MBC
427,221053,MBC,629,193.6667,1,EC,MBC
428,246645,MBC,630,193.6667,1,ME,OC
429,349580,BC,631,193.6667,1,EM,OC
430,220800,MBC,632,193.5,1,EC,MBC
431,247806,OC,633,193.5,4,CM,OC
432,201869,BCM,634,193.5,1,CM,BCM
433,227519,MBC,635,193.5,2006,CM,MBC
434,253050,BC,636,193.5,1,IM,OC
435,251690,OC,637,193.5,1,EM,OC
436,294440,BC,638,193.5,2006,CM,BC
437,285556,BC,640,193.5,1,EM,OC
438,307317,BC,641,193.5,2006,EC,OC
439,292315,MBC,643,193.5,2006,ME,OC
440,276472,BC,644,193.5,1,EM,OC
441,244739,SCA,645,193.5,1,CS,SCA
442,322752,BC,647,193.5,2006,CM,BC
443,235052,BC,648,193.5,2,CH,OC
444,258426,BC,650,193.5,1,IM,OC
445,284416,BC,651,193.5,2006,EC,OC
446,253453,OC,652,193.5,1,EM,OC
447,293603,OC,655,193.5,4,EC,OC
448,243448,BC,656,193.5,4,CM,OC
449,256502,MBC,657,193.5,1,CM,MBC
450,226948,BC,658,193.5,2006,BY,OC
451,212390,BC,660,193.5,1,IM,OC
452,335464,MBC,664,193.5,2006,CM,MBC
453,264481,BC,665,193.5,2,CH,OC
454,285787,BC,666,193.5,1,EM,BC
455,226241,OC,668,193.5,4,CM,OC
456,249898,OC,670,193.5,1,ME,OC
457,205002,BC,671,193.5,1,IM,OC
458,245749,BC,672,193.5,4,CM,OC
459,295193,BC,673,193.5,1,IM,OC
460,278610,BC,675,193.5,1,EE,OC
461,204212,BC,676,193.5,1,EE,BC
462,206692,BC,677,193.5,1,IM,OC
463,241142,BC,681,193.5,2006,CM,BC
464,292548,OC,682,193.5,1,BY,OC
465,300672,BC,683,193.5,1,BY,OC
466,203828,OC,684,193.5,1,IM,OC
467,359372,OC,685,193.5,4,EC,OC
468,214444,OC,688,193.5,4,EC,OC
469,208451,OC,689,193.5,4,CM,OC
470,254567,BC,690,193.5,1315,CS,BC
471,200794,BCM,692,193.5,1,IM,BCM
472,347370,BC,694,193.5,1,EE,BC
473,272935,BC,697,193.5,1,EM,BC
474,220982,OC,698,193.5,4,EC,OC
475,203085,OC,699,193.5,4,CM,OC
476,207013,OC,700,193.5,4,CM,OC
477,203820,OC,701,193.5,4,EC,OC
478,266771,BC,702,193.5,4,EC,OC
479,205354,BC,703,193.5,2,IB,OC
480,259093,OC,704,193.3333,1,ME,OC
481,288501,BC,705,193.3333,1,EM,BC
482,343895,MBC,706,193.25,4,CS,MBC
483,348117,SC,708,193.25,1,ME,OC
484,326645,MBC,710,193,1,EC,MBC
485,231837,BC,711,193,1,ME,OC
486,257023,BC,712,193,4,CM,OC
487,220712,BC,713,193,1315,EC,OC
488,298919,BC,714,193,1,EM,BC
489,223787,OC,716,193,4972,EC,OC
490,241701,BC,717,193,1,EM,BC
491,284454,BC,718,193,1,ME,OC
492,215785,MBC,719,193,4,CS,MBC
493,254117,BC,720,193,1,IM,BC
494,200248,BC,721,193,1,EM,BC
495,299594,BC,722,193,1,EM,BC
496,281093,BC,723,193,4,CM,BC
497,241600,BC,724,193,1,IM,BC
498,243333,BC,725,193,4,MF,OC
499,222403,BC,726,193,2006,EC,OC
500,245132,SC,729,193,1,EC,SC
501,255040,MBC,731,193,4,CS,MBC
502,260995,BC,732,193,1,EM,BC
503,276954,BC,734,193,4,EC,OC
504,228874,SC,735,193,1,CS,SC
505,203416,BC,736,193,1,EM,BC
506,220971,OC,738,193,2006,EC,OC
507,276080,OC,739,193,4,IM,OC
508,207027,OC,740,193,1315,IT,OC
509,352013,OC,741,193,1315,EC,OC
510,242620,OC,743,193,1315,EE,OC
511,201788,OC,744,193,4,IM,OC
512,276097,BC,746,193,1315,EC,OC
513,309791,BC,748,193,1,IM,BC
514,212880,BC,749,193,1,EM,BC
515,211240,BC,751,193,2006,CM,BC
516,274394,OC,752,193,4,EC,OC
517,237004,BC,753,193,2006,ME,OC
518,212013,BC,754,193,1,IM,BC
519,201387,OC,756,193,4,IM,OC
520,238507,BC,758,193,1,EE,BC
521,307984,BC,760,193,1,EM,BC
522,318083,BCM,761,193,1,EE,BCM
523,358733,BC,762,193,2006,CM,BC
524,297444,BC,764,193,1,IM,BC
525,208185,BC,765,193,1,ME,OC
526,244380,OC,767,193,4,IM,OC
527,306051,OC,769,193,4,IM,OC
528,242623,BC,771,193,1315,CS,BC
529,272610,BC,772,193,4,CM,BC
530,293846,OC,774,193,1315,IT,OC
531,305585,BC,775,193,1,EM,BC
532,204613,OC,776,193,4,EC,OC
533,253635,OC,777,193,5008,CS,OC
534,201856,OC,778,193,4,IM,OC
535,276864,BC,779,193,1315,CS,BC
536,216165,BC,780,193,1,EM,BC
537,222146,BC,781,193,1315,CS,BC
538,210643,BC,783,193,2006,CM,BC
539,282931,OC,784,193,4,IM,OC
540,263099,OC,785,193,4,EC,OC
541,259166,BC,786,193,2006,CM,BC
542,200461,BC,787,193,1,IM,BC
543,261298,OC,788,193,4,EC,OC
544,331595,OC,789,193,1,ME,OC
545,223315,BC,790,193,2006,EC,OC
546,281060,SC,791,193,1,CS,SC
547,210810,OC,795,193,4,EM,OC
548,261427,BC,796,193,4,AE,OC
549,300826,BC,797,193,4,EC,OC
550,259921,BC,798,193,1,IM,BC
551,267422,BC,799,193,2,CH,OC
552,215054,MBC,801,193,1,CM,MBC
553,240224,MBC,803,193,1,EC,MBC
554,244624,OC,804,193,1315,BM,OC
555,357830,BC,805,193,4,AE,OC
556,207240,BC,806,193,1,EE,BC
557,215446,OC,809,193,2006,EC,OC
558,255462,BC,810,193,1,EE,BC
559,253956,BC,811,193,4,AE,OC
560,206428,OC,812,193,1315,BM,OC
561,311639,OC,814,193,2006,EC,OC
562,222329,BC,816,193,2006,EC,OC
563,323943,BC,817,193,1315,CS,BC
564,253912,BC,818,193,1,IM,BC
565,260036,BC,819,193,2006,EE,OC
566,334516,BC,821,193,1,ME,OC
567,201038,BC,822,193,1315,CS,BC
568,263790,OC,823,193,4,IM,OC
569,220041,BC,826,193,1,IM,BC
570,225534,BC,827,193,1,ME,OC
571,226721,OC,828,193,1315,EC,OC
572,276421,MBC,829,193,1,CM,MBC
573,227419,BC,831,193,4,CM,BC
574,205861,BC,834,193,4,AE,OC
575,262046,OC,835,193,4,IM,OC
576,290934,BC,837,193,4,CM,BC
577,288893,BC,838,193,1,ME,OC
578,310307,BC,839,193,2025,CS,OC
579,206559,OC,841,193,1,ME,OC
580,263021,BC,845,193,1,ME,OC
581,212646,BC,846,193,2006,CE,OC
582,272694,BC,849,193,2006,EC,BC
583,282760,SC,852,193,1,EE,SC
584,240158,BCM,859,193,1,EE,BCM
585,254369,BC,861,193,4,EC,BC
586,209610,SC,862,193,4,AE,OC
587,346366,MBC,864,193,2006,CM,MBC
588,212705,OC,865,193,4,IM,OC
589,333492,BC,867,192.75,4,EC,BC
590,285994,BC,868,192.75,2006,EC,BC
591,306597,BC,869,192.75,1315,BM,OC
592,307294,BC,872,192.6667,2006,CM,BC
593,201291,BC,874,192.5,2006,EC,BC
594,286679,BC,875,192.5,1,IM,BC
595,343496,BC,876,192.5,2,CH,OC
596,297578,BC,877,192.5,1315,CS,BC
597,269615,BC,879,192.5,1,IM,BC
598,312781,BC,880,192.5,1,IM,BC
599,272506,BC,882,192.5,4,CM,BC
600,258937,BC,883,192.5,1,EM,BC
601,204760,OC,884,192.5,4,IM,OC
602,314955,BC,886,192.5,1,EM,BC
603,288350,OC,887,192.5,4,IM,OC
604,225147,BC,888,192.5,1,EM,BC
605,226508,BC,889,192.5,1,EM,BC
606,300911,MBC,890,192.5,1,IM,MBC
607,218555,BC,891,192.5,2006,EC,BC
608,300026,BC,892,192.5,4,EC,BC
609,294875,BCM,893,192.5,1,ME,OC
610,256839,BC,894,192.5,4,CM,BC
611,214995,MBC,895,192.5,2006,CM,MBC
612,234792,BC,896,192.5,4,EC,BC
613,342222,BC,898,192.5,4,EC,BC
614,302868,MBC,899,192.5,1,ME,OC
615,290431,BC,901,192.5,4,EC,BC
616,295953,BCM,902,192.5,4,CS,BCM
617,204013,BC,905,192.5,2006,CM,BC
618,234954,BC,907,192.5,1,IM,BC
619,256614,BC,908,192.5,2006,EC,BC
620,342812,BC,909,192.5,1,EM,BC
621,213650,BC,912,192.5,1,IM,BC
622,259348,BC,913,192.5,2006,CM,BC
623,230744,BC,914,192.5,4,EC,BC
624,260023,SC,916,192.5,1,CS,SC
625,335959,SC,917,192.5,1,CS,SC
626,252856,BC,920,192.5,2006,CM,BC
627,266421,BC,925,192.5,1,IM,BC
628,221643,BC,926,192.5,1,EM,BC
629,273050,MBC,928,192.5,1,CM,MBC
630,281627,OC,929,192.5,4,AE,OC
631,254630,BC,930,192.5,2006,CM,BC
632,205759,OC,933,192.5,2006,EM,OC
633,266144,OC,934,192.5,1315,IT,OC
634,245296,BC,937,192.5,1,EM,BC
635,201548,OC,938,192.5,4,EM,OC
636,325833,BC,939,192.5,2006,IM,OC
637,272676,BC,940,192.5,4,EC,BC
638,321007,SCA,941,192.5,1,EC,SCA
639,248755,OC,942,192.5,4,EM,OC
640,284935,OC,945,192.5,1315,BM,OC
641,320795,BC,948,192.5,2377,CS,OC
642,203657,BC,950,192.5,1315,CS,BC
643,227335,BC,951,192.5,4,AE,OC
644,203040,BC,954,192.5,4,EC,BC
645,225478,OC,956,192.5,4,EM,OC
646,346216,BC,957,192.5,1,BY,OC
647,257045,OC,958,192.5,2,CL,OC
648,261008,OC,959,192.5,1315,IT,OC
