S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,312150,193.9,2122,BC,2751,IT,BC
2,215831,193.185,2612,BC,4024,EC,BC
3,351148,192.5,3516,BCM,1422,EC,BCM
4,299636,192.11,3814,BC,4678,EC,BC
5,240841,190.395,6493,MBCV,2708,CS,MBCV
6,346505,190.03,6866,BC,5910,EE,OC
7,281290,190,6923,MBCV,3819,CS,MBCV
8,327551,190,7268,BCM,1216,MD,OC
9,213786,189.725,7796,SCA,1399,CS,SCA
10,286934,189.5,8246,MBCV,1149,EE,OC
11,339090,188.99,9236,BCM,2642,CS,OC
12,346272,188.5,9843,BC,1217,BM,OC
13,262489,188,10871,BC,5,AM,BC
14,345496,187.5,11869,SC,1158,MR,OC
15,264419,187.47,11966,BC,3860,CS,OC
16,266563,187.425,12032,MBCV,3011,PH,MBCV
17,307905,187,12808A,BC,1110,AD,OC
18,259662,186.855,13090,BC,1413,CS,BC
19,285221,186.69,13340,BC,3786,AE,OC
20,293310,186.5,13656,BC,1317,CH,BC
21,213543,186.305,14108,MBCDNC,4678,ME,OC
22,348748,186,14696,OC,4670,AG,OC
23,372179,186,14754,BC,1216,MD,OC
24,228060,185.935,14908,BC,1408,CS,OC
25,344805,185.87,15002,BC,4680,CS,BC
26,275818,185.845,15033,BC,1306,EC,BC
27,354411,185.81,15106,BC,4960,CE,OC
28,250376,185.79,15122,BC,2751,IT,BC
29,277926,185.78,15144,BC,4927,CS,OC
30,333139,185.69,15283,MBCV,2723,IT,MBCV
31,313189,185.64,15365,SC,4960,EC,SC
32,255582,185.55,15503,BC,3805,IT,OC
33,288086,185.53,15535,BC,3016,CS,OC
34,237210,185.47,15853,MBCV,2642,CS,OC
35,323160,185.45,15868,MBC,3021,CS,MBC
36,335005,185.44,15885,OC,2764,CE,OC
37,257075,185.385,15987,MBCV,5,CE,OC
38,234840,185.275,16192,MBC,2764,CH,MBC
39,364946,185.265,16198,SC,2702,CS,SC
40,367246,185.24,16251,BCM,1301,CS,OC
41,257751,185.23,16261,BC,4959,EC,OC
42,321151,185.155,16385,MBCV,1015,CS,MBCV
43,312041,185.14,16414,MBCV,1317,EE,MBCV
44,240479,185.135,16416,MBCV,2622,CH,MBCV
45,258165,185.075,16501,BC,2607,EE,OC
46,318609,185.065,16513,BCM,1101,CS,OC
47,340040,185.01,16613A,BC,2723,EC,BC
48,359689,185,16653,SC,1210,AD,SC
49,322757,185,16677,BC,1126,BM,OC
50,352759,185,16750,BC,3830,EC,OC
51,275814,184.9,17010,MBCV,2708,CS,MBCV
52,348082,184.88,17030,BC,2653,EC,OC
53,351900,184.855,17074,BC,1114,CS,BC
54,213044,184.855,17075,BC,1306,EC,BC
55,325869,184.855,17080,BC,2706,EE,BC
