S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,193.9,2122,2751,IT,BC
2,193.2,2612,4024,EC,BC
3,192.5,3516,1422,EC,BCM
4,192.1,3814,4678,EC,BC
5,190.4,6493,2708,CS,MBC
6,190.0,6866,5910,EE,OC
7,190.0,6923,3819,CS,MBC
8,190.0,7268,1216,MD,OC
9,189.7,7796,1399,CS,SCA
10,189.5,8246,1149,EE,OC
11,189.0,9236,2642,CS,OC
12,188.5,9843,1217,BM,OC
13,188.0,10871,5,AM,BC
14,187.5,11869,1158,MR,OC
15,187.5,11966,3860,CS,OC
16,187.4,12032,3011,PH,MBC
17,187.0,12808,1110,AD,OC
18,186.9,13090,1413,CS,BC
19,186.7,13340,3786,AE,OC
20,186.5,13656,1317,CH,BC
21,186.3,14108,4678,ME,OC
22,186.0,14696,4670,AG,OC
23,186.0,14754,1216,MD,OC
24,185.9,14908,1408,CS,OC
25,185.9,15002,4680,CS,BC
26,185.8,15033,1306,EC,BC
27,185.8,15106,4960,CE,OC
28,185.8,15122,2751,IT,BC
29,185.8,15144,4927,CS,OC
30,185.7,15283,2723,IT,MBC
31,185.6,15365,4960,EC,SC
32,185.6,15503,3805,IT,OC
33,185.5,15535,3016,CS,OC
34,185.5,15853,2642,CS,OC
35,185.4,15868,3021,CS,MBC
36,185.4,15885,2764,CE,OC
37,185.4,15987,5,CE,OC
38,185.3,16192,2764,CH,MBC
39,185.3,16198,2702,CS,SC
40,185.2,16251,1301,CS,OC
41,185.2,16261,4959,EC,OC
42,185.2,16385,1015,CS,MBC
43,185.1,16414,1317,EE,MBC
44,185.1,16416,2622,CH,MBC
45,185.1,16501,2607,EE,OC
46,185.1,16513,1101,CS,OC
47,185.0,16613,2723,EC,BC
48,185.0,16653,1210,AD,SC
49,185.0,16677,1126,BM,OC
50,185.0,16750,3830,EC,OC
51,184.9,17010,2708,CS,MBC
52,184.9,17030,2653,EC,OC
53,184.9,17074,1114,CS,BC
54,184.9,17075,1306,EC,BC
55,184.9,17080,2706,EE,BC
56,184.8,17120,1013,EC,MBC
57,184.8,17208,2608,CS,MBC
58,184.8,17277,1520,CS,OC
59,184.7,17287,5910,EC,MBC
60,184.7,17323,1505,CS,OC
61,184.7,17349,3860,CS,OC
62,184.7,17361,2764,CE,OC
63,184.7,17445,2735,EC,OC
64,184.6,17472,2709,AU,BC
65,184.6,17525,1311,AO,MBC
66,184.6,17560,5901,ME,MBC
67,184.6,17616,2653,CB,OC
68,184.5,17657,1013,EC,BC
69,184.5,17784,2740,CS,BC
70,184.5,17791,3019,CS,OC
71,184.5,17822,5,AM,BC
72,184.5,17913,2329,AD,OC
73,184.5,17951,3465,ME,OC
74,184.5,17987,2743,EC,OC
75,184.4,18047,2751,EC,OC
76,184.4,18121,2750,BM,OC
77,184.4,18143,5010,ME,OC
78,184.3,18273,1303,CS,OC
79,184.3,18281,2702,AG,SC
80,184.3,18282,2715,IT,OC
81,184.3,18296,1210,EE,BC
82,184.3,18299,2710,ET,OC
83,184.2,18401,2727,EE,OC
84,184.2,18434,2622,ME,OC
85,184.2,18435,2608,EE,OC
86,184.2,18534,2608,IT,MBC
87,184.2,18542,4974,ME,BC
88,184.1,18670,1124,MR,OC
89,184.1,18702,2607,IT,BC
90,184.1,18707,2603,ME,MBC
91,184.1,18724,2711,EI,MBC
92,184.0,18763,2628,AD,OC
93,184.0,18770,3011,IT,SC
94,184.0,18779,2751,CB,OC
95,183.9,19195,1311,EC,BC
96,183.9,19201,2722,CE,OC
97,183.9,19212,2725,EE,OC
98,183.9,19331,3852,CS,OC
99,183.9,19355,2601,IT,MBC
100,183.8,19411,2736,EC,OC
101,183.8,19494,4928,CS,OC
102,183.8,19503,1014,EC,OC
103,183.8,19513,4023,EE,OC
104,183.7,19620,2718,EC,SC
105,183.7,19640,2622,CE,OC
106,183.6,19692,2622,ME,OC
107,183.6,19715,2620,EC,OC
108,183.6,19742,1306,EC,BC
109,183.6,19820,1114,EC,OC
110,183.5,20074,1422,EC,MBC
111,183.5,20118,1238,CS,OC
112,183.5,20130,2601,CS,SC
113,183.5,20180,1237,EC,BC
114,183.5,20208,4959,AD,BC
115,183.4,20247,2764,CE,OC
116,183.4,20286,1504,CS,OC
117,183.4,20296,1317,EI,BC
118,183.4,20312,1237,EC,BC
119,183.4,20344,2608,EC,BC
120,183.4,20435,2639,CS,OC
121,183.3,20479,2740,CS,BC
122,183.3,20492,2736,EC,OC
123,183.3,20606,1431,CS,OC
124,183.2,20634,2734,SB,BC
125,183.2,20638,3701,CS,BC
126,183.2,20645,1317,CE,OC
127,183.2,20703,1216,EC,MBC
128,183.2,20720,2622,ME,OC
129,183.2,20741,2357,CS,OC
130,183.2,20757,2702,BM,MBC
131,183.2,20762,4678,CE,OC
132,183.2,20763,2740,EC,OC
133,183.2,20781,2711,ME,BC
134,183.2,20788,1101,CS,OC
135,183.1,20843,5910,EE,OC
136,183.1,20855,2607,EC,OC
137,183.1,20911,2601,CS,BC
138,183.1,20964,2729,CS,MBC
139,183.1,20965,2709,AU,BC
140,183.0,21057,1101,CS,OC
141,183.0,21067,1231,AD,MBC
142,183.0,21119,5,EC,BC
143,183.0,21169,2750,EC,BC
144,183.0,21187,2734,EC,OC
145,183.0,21190,1210,EC,MBC
146,183.0,21267,1118,IT,MBC
147,183.0,21308,2706,IT,MBC
148,183.0,21353,5009,EC,MBC
149,183.0,21363,2734,TS,OC
150,183.0,21378,2749,IT,OC
151,183.0,21420,1237,EC,BC
152,182.9,21453,2702,ME,BC
153,182.9,21492,2712,AU,MBC
154,182.9,21529,1122,CS,MBC
155,182.9,21566,4023,EE,OC
156,182.9,21592,2702,CS,SC
157,182.9,21610,1422,EC,MBC
