S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,331205,200,1,BC,1,CS,OC
2,325132,200,3,BC,1,CS,OC
3,269347,200,6,BC,2006,CM,OC
4,289687,200,7,BC,1,CS,OC
5,323336,200,8,BC,1,CS,OC
6,210660,200,9,OC,1,CS,OC
7,252764,200,10,BC,1,CS,OC
8,318554,200,11,OC,1,BY,OC
9,395088,200,13,OC,1,CS,OC
10,317150,200,14,BC,1,CS,OC
11,338638,200,15,BC,1,CS,OC
12,294093,200,17,BC,1,CS,OC
13,205679,200,18,BC,1,CS,OC
14,235064,200,19,SC,1,CS,OC
15,291381,200,20,BC,1,CS,OC
16,252017,200,21,BC,1,CS,OC
17,324559,200,22,BC,1,CS,OC
18,283391,200,23,BC,1,CS,BC
19,302352,200,24,BCM,5008,CS,OC
20,311775,200,25,BC,1,CS,BC
21,224065,200,26,BC,1,CS,BC
22,315985,200,27,BC,1,CS,BC
23,311701,200,28,BC,1,CS,BC
24,215665,200,30,BC,1,EC,OC
25,227023,200,31,OC,2006,CM,OC
26,294824,200,32,OC,1,CM,OC
27,275572,200,33,BC,1,CS,BC
28,327533,200,35,OC,1,EC,OC
29,288370,200,36,OC,2006,CM,OC
30,269079,200,38,OC,1,CM,OC
31,293015,200,39,OC,1,CM,OC
32,284191,200,41,BC,2006,CM,OC
33,387189,200,42,BC,1,CS,BC
34,272029,200,43,MBC,1,CS,MBC
35,315595,200,44,BC,1,CS,BC
36,360565,200,45,OC,1,CM,OC
37,394980,200,46,MBC,1,CS,MBC
38,299620,200,48,BC,2006,EC,OC
39,289288,200,49,BC,1,EC,OC
40,325749,200,50,BC,1,CS,BC
41,255577,200,51,BC,1,CS,BC
42,251086,200,52,BC,2006,CM,OC
43,265216,200,53,BC,5008,CS,OC
44,266537,200,54,BC,2006,EC,OC
45,250512,200,55,BC,2006,CM,OC
46,202093,200,58,BC,1,CM,OC
47,212564,200,60,BC,1,CS,BC
48,277698,200,61,BC,2006,CM,OC
49,327636,200,62,BC,1,CM,OC
50,214010,200,64,MBC,1,CS,MBC
51,321538,200,65,BC,4,CS,OC
52,297651,200,67,BC,1,CM,OC
53,343575,200,68,BC,2006,EC,OC
54,294637,200,71,BC,1315,CS,OC
55,310751,200,72,MBC,1,MI,OC
56,234457,200,73,BC,1,EC,OC
57,216961,200,76,BC,1,CS,BC
58,310430,200,77,BC,1,ME,OC
59,237344,200,79,OC,1,CM,OC
60,261386,200,80,BC,2,CH,OC
61,211163,200,81,MBC,2006,CM,OC
62,319177,200,82,BC,2006,CM,OC
63,210209,200,83,BC,1,CM,OC
64,263212,200,84,BC,2006,CM,OC
65,301704,200,85,BC,1,CM,OC
66,315273,200,87,BC,1,CM,OC
67,251663,200,89,MBC,2006,BY,OC
68,224872,200,91,BC,1,CM,OC
69,271969,200,92,BC,2006,CM,OC
70,202619,200,93,BC,1,CM,OC
71,341792,200,94,BC,1,CM,OC
72,265570,200,95,BC,1,EC,OC
73,280100,200,96,BC,1,CM,OC
74,312143,200,97,OC,1,EC,OC
75,280565,200,98,BC,1,CS,BC
76,256407,200,99,OC,1,CM,OC
77,276734,200,100,OC,2006,ME,OC
78,219939,200,101,BC,4,CS,OC
79,329994,200,102,BC,1,CS,BC
80,400285,200,103,OC,2006,EC,OC
81,200213,200,104,BC,1,CM,OC
82,324710,200,105,MBC,2006,CM,OC
83,213065,200,106,BC,1,EC,OC
84,269638,200,107,BC,1,CM,OC
85,406482,200,110,BC,2006,EC,OC
86,239850,200,112,BC,1,CM,OC
87,325551,200,115,BC,1,EC,OC
88,203385,200,116,OC,1,CM,OC
89,332648,200,117,MBC,1419,CS,OC
90,249131,200,119,BC,1,CM,OC
91,295392,200,121,BC,1,CM,OC
92,365186,200,122,BC,1,CM,OC
93,211310,200,123,BC,1,CM,OC
94,344055,200,124,BC,1,CM,OC
95,212589,200,125,BC,2006,CM,OC
96,260844,200,126,MBC,1,CS,MBC
97,251157,200,127,BC,1,CM,OC
98,202749,200,128,BC,2006,EC,OC
99,309271,200,129,OC,1,EC,OC
100,231860,200,132,BC,1,CM,OC
101,255888,199.667,133,OC,1,IM,OC
102,299933,199.5,136,OC,1,CM,OC
103,325601,199.5,137,OC,1,CM,OC
104,261323,199.5,138,MBC,4,CS,OC
105,321479,199.5,139,BC,1,CM,OC
106,281709,199.5,140,OC,1,EC,OC
107,280807,199.5,141,BC,5008,CS,OC
108,290973,199.5,142,MBC,1,CS,MBC
109,311125,199.5,143,BC,1,CM,BC
110,279546,199.5,144,BC,1,CM,BC
111,319445,199.5,145,BC,2006,CM,OC
112,212492,199.5,146,BC,2006,CM,OC
113,261346,199.5,147,BC,1,CM,BC
114,227408,199.5,148,BC,2006,CM,OC
115,281643,199.5,149,BC,1,CM,BC
116,328863,199.5,150,BC,1,CM,BC
117,217131,199.5,151,OC,4,CS,OC
118,208122,199.5,152,BC,1,IM,OC
119,295545,199.5,153,MBC,2006,IM,OC
120,261718,199.5,156,BC,1,CM,BC
121,232139,199.5,157,BC,1,CM,BC
122,312755,199.5,159,BC,2006,CM,OC
123,406571,199.5,161,BC,1,EC,OC
124,344103,199.5,162,BC,1,EC,OC
125,261719,199.5,163,OC,1,EC,OC
126,263203,199.5,164,BC,1,EC,OC
127,239679,199.5,165,BC,4,AT,OC
128,352775,199.5,166,BC,1,CM,BC
129,330470,199.5,167,BC,1,CM,BC
130,294555,199.5,169,MBC,1,CS,MBC
131,322489,199.5,170,BC,1,CM,BC
132,252909,199.5,173,BC,1,CM,BC
133,321672,199.5,174,MBC,1315,CS,OC
134,400333,199.5,175,BC,1,EC,OC
