S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,184.0,15613,2711,AD,MBC
2,183.5,16060,2621,CS,OC
3,180.0,20628,2735,AD,OC
4,179.5,20822,3830,EC,OC
5,179.5,20995,2706,SC,OC
6,178.5,22449,4957,CS,BC
7,178.5,22667,1399,CS,SC
8,178.0,22982,1210,CS,BC
9,178.0,23375,5901,EC,SC
10,177.8,23550,2641,IT,OC
11,176.0,26363,2621,CS,OC
12,175.0,27315,1324,CS,MBC
13,175.0,27491,2702,CD,OC
14,174.0,28661,2711,CD,BC
15,174.0,28966,2618,CS,BC
16,173.0,30155,2702,FD,OC
17,173.0,30600,1324,IT,MBC
18,172.0,31886,2609,CY,OC
19,172.0,31906,1013,CS,MBC
20,171.4,32974,2377,CE,SCA
21,170.7,33755,2702,AL,MBC
22,170.6,33774,1014,CS,BC
23,170.5,34181,5986,EC,OC
24,170.5,34209,2764,AM,OC
25,170.5,34299,2615,EE,SC
26,170.0,34626,2710,IT,MBC
27,170.0,34916,2711,AL,OC
28,170.0,34996,1128,CS,BC
29,169.6,35171,3011,CS,SC
30,169.5,35476,2711,AL,BC
31,168.5,36722,2712,AE,BC
32,167.5,38586,4929,CS,OC
33,167.5,38612,2723,CS,OC
34,167.0,39237,2711,CD,MBC
35,165.5,41510,2711,EE,BC
36,164.5,42913,2025,CS,SC
37,164.2,43415,5009,CE,OC
38,164.0,43441,1237,CS,OC
39,163.8,44118,3019,CS,OC
40,163.5,44477,1013,IT,OC
41,163.5,44662,2708,CE,OC
42,163.0,45321,1113,IT,MBC
43,163.0,45583,3830,CS,BC
44,162.8,45597,1304,CS,MBC
45,162.8,45610,2620,BM,OC
46,162.7,45630,2736,AD,OC
47,162.6,45638,2328,BM,OC
48,162.6,45642,2606,CS,OC
49,162.6,45648,1504,CS,MBC
50,162.6,45650,2722,CI,BC
51,162.6,45651,2620,CS,OC
52,162.5,45658,3795,CS,OC
53,162.5,45660,4917,AG,OC
54,162.5,45748,2610,EE,OC
55,162.5,45765,2642,CS,OC
56,162.5,45767,3843,CS,OC
57,162.5,45777,1311,AO,BC
58,162.5,45796,2005,CE,BC
59,162.5,45799,1306,CS,MBC
60,162.5,45837,2702,CD,BC
61,162.5,45843,2719,AD,BC
62,162.5,45858,1015,CS,BC
63,162.5,45898,3826,BM,BC
64,162.5,45900,2653,AD,BC
65,162.5,45919,2639,CS,BC
66,162.5,45949,2618,AM,OC
67,162.5,45950,5865,AD,BC
68,162.5,45956,2,AP,BC
69,162.5,45973,1128,CS,MBC
70,162.5,45979,1112,EC,MBC
71,162.5,46007,1210,IT,MBC
72,162.5,46008,1128,EC,OC
73,162.5,46029,1211,RM,OC
74,162.5,46047,1210,CS,SC
75,162.5,46049,1324,AD,OC
76,162.5,46054,1210,IT,MBC
77,162.5,46066,1210,CS,MBC
78,162.5,46077,2005,ME,BC
79,162.5,46084,5832,CS,BC
80,162.5,46115,4020,CS,BC
81,162.5,46123,5907,AD,OC
82,162.5,46130,1014,XC,OC
83,162.5,46182,1140,CS,OC
84,162.5,46206,2618,CS,BC
85,162.5,46210,1216,BM,OC
86,162.5,46218,2763,CS,OC
87,162.5,46230,1419,EC,MBC
88,162.5,46256,2006,PS,BC
89,162.5,46277,2,LE,MBC
90,162.5,46283,1419,AD,MBC
91,162.5,46289,1304,CS,MBC
92,162.5,46331,1324,IT,MBC
93,162.4,46351,1519,CS,OC
94,162.4,46352,2708,EC,OC
95,162.4,46353,3011,BT,BC
96,162.4,46356,1518,CS,OC
97,162.4,46362,2615,CS,SC
98,162.3,46367,1324,CS,MBC
99,162.3,46368,1211,FD,OC
100,162.3,46376,3811,CS,OC
101,162.3,46378,2769,FD,OC
102,162.3,46382,3810,AD,OC
103,162.3,46384,1149,IT,MBC
104,162.2,46390,2764,AM,BC
105,162.1,46410,1238,EE,OC
106,162.1,46414,2603,CS,SC
107,162.0,46421,2624,IT,OC
108,162.0,46433,2659,EC,OC
109,162.0,46443,2,CR,BC
110,162.0,46499,1211,BT,OC
111,162.0,46523,3807,IT,OC
112,162.0,46535,2618,EC,MBC
113,162.0,46544,1216,CS,BC
114,162.0,46556,2702,FD,BC
115,162.0,46558,1307,CS,OC
116,162.0,46566,2708,CS,BC
117,162.0,46570,4023,CS,BC
118,162.0,46572,1304,RM,BC
119,162.0,46600,1114,IT,OC
120,162.0,46623,1432,AD,MBC
121,162.0,46639,2369,CS,SC
122,162.0,46650,3805,EC,OC
123,162.0,46673,2702,EE,BC
