S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,269679,200,1,BC,1,CS,OC
2,201714,200,2,BC,1,CS,OC
3,340347,200,3,BCM,1,CS,OC
4,387054,200,5,BC,1,CS,OC
5,298425,200,6,BC,1,CS,OC
6,231315,200,7,MBC,1,CS,OC
7,211363,200,8,BC,1315,CS,OC
8,369963,200,9,BC,1,EC,OC
9,256086,200,11,BC,1,EC,OC
10,243095,200,12,BC,2006,CM,OC
11,329862,200,14,BC,1,CS,OC
12,304897,200,15,BC,1,CS,OC
13,253145,200,16,OC,1,EC,OC
14,269953,200,17,OC,1,CS,OC
15,237015,200,18,BC,5008,CS,OC
16,264862,200,19,BC,1,CS,OC
17,256432,200,20,BC,1,EC,OC
18,206201,200,21,MBC,2006,EC,OC
19,373645,200,22,MBC,2006,CM,OC
20,365743,200,23,BC,2006,CM,OC
21,269133,200,25,OC,2006,CM,OC
22,231038,200,26,BC,1,CS,OC
23,281269,200,27,BC,1,CS,OC
24,201548,200,28,BC,1,CS,OC
25,358208,200,30,MBC,1,CS,OC
26,281569,200,31,SC,1,EC,OC
27,229641,200,32,BC,1,CS,OC
28,204180,200,35,MBC,1,CS,MBC
29,368613,200,36,BC,1,CS,BC
30,379597,200,37,BC,2006,CM,OC
31,333414,200,38,BC,1,CS,BC
32,344349,200,39,BC,1,CS,BC
33,282269,200,40,BC,1,EC,OC
34,220183,200,41,BC,1,CS,BC
35,374658,200,42,MBC,1,CS,MBC
36,301458,200,43,BC,1,EC,OC
37,248264,200,44,BC,1,CS,BC
38,341318,200,45,BC,1,CS,BC
39,336995,200,46,MBC,1,EC,OC
40,316443,200,48,BC,1315,CS,OC
41,299118,200,49,BC,1,CS,BC
42,251667,200,52,OC,1,CM,OC
43,429169,200,54,MBC,1315,CS,OC
44,333580,200,55,MBC,2006,CM,OC
45,202451,200,56,BC,1,ME,OC
46,313344,200,57,BC,2006,CM,OC
47,233382,200,58,BC,1,CS,BC
48,201663,200,60,BC,1,EC,OC
49,328463,200,61,MBC,1,CS,MBC
50,400808,200,64,MBC,1,CM,OC
51,217497,200,65,BC,1,CS,BC
52,328386,200,68,BC,1,CS,BC
53,224768,200,66,BC,1315,EC,OC
54,212224,200,67,OC,2006,CM,OC
55,309732,200,69,BC,1,CS,BC
56,203817,200,71,BC,2006,EE,OC
57,373866,200,73,MBC,1,EC,OC
58,201391,200,74,BC,1,EC,OC
59,278360,200,75,BC,1,CS,BC
60,249800,200,77,BC,1,CS,BC
61,231506,200,78,BC,1,CS,BC
62,330524,200,80,BC,1,CS,BC
63,314929,200,82,MBC,1,EC,OC
64,324295,200,83,SC,1,EC,OC
65,322299,200,84,BC,1,CM,OC
66,201122,200,85,BC,1,EC,OC
67,215812,200,86,OC,1315,IT,OC
68,265750,200,87,MBC,1,CS,MBC
69,246858,200,88,BC,1,IM,OC
70,359396,200,89,MBC,1,CS,MBC
71,382297,200,90,MBC,1,CS,MBC
72,204586,200,91,BC,1,CM,OC
73,228959,200,92,BC,1,ME,OC
74,319338,200,93,BC,1,EC,OC
75,313160,200,94,BC,1,EC,BC
76,341505,200,95,BC,1,CM,OC
77,283727,200,97,SC,1,CS,SC
78,273035,200,100,BC,2006,EC,OC
79,291071,200,101,OC,1315,CS,OC
80,383656,200,102,BC,1,CM,OC
81,203797,199.667,105,OC,1315,CS,OC
82,390626,199.667,106,BC,1,CM,OC
83,366924,199.667,107,BC,1,CM,OC
84,416366,199.667,109,BC,1,EC,BC
85,239863,199.5,110,MBC,1,CS,MBC
86,252126,199.5,111,BC,1,CM,OC
87,337820,199.5,112,BC,1,CM,OC
88,247348,199.5,113,BC,1,IM,OC
89,228004,199.5,114,BC,1,ME,OC
90,386257,199.5,115,BC,1,CM,OC
91,369129,199.5,116,MBC,4,AT,OC
92,314043,199.5,118,BC,1,CM,OC
93,200970,199.5,120,BCM,1,CS,BCM
94,375462,199.5,121,BC,4,AT,OC
95,200980,199.5,122,BC,1,CM,OC
96,230864,199.5,123,BC,1,CM,OC
97,225497,199.5,124,BC,1,CM,OC
98,254707,199.5,128,BC,2006,RA,OC
99,256914,199.5,129,BC,1,CM,OC
100,388701,199.5,130,BC,1,CM,OC
101,302265,199.5,133,BC,1315,CS,OC
102,250657,199.5,134,BCM,1,CS,BCM
103,331380,199.5,135,BC,1,EC,BC
104,316487,199.5,136,MBC,1,CS,MBC
105,335694,199.5,137,BC,4,AT,OC
106,333450,199.5,138,MBC,1,CS,MBC
107,354540,199.5,139,SC,1,CS,SC
108,277363,199.5,140,BC,2,CH,OC
109,273755,199.5,141,BC,1,EC,BC
110,331094,199.5,142,BC,1,CM,OC
111,336182,199.5,144,BC,1,CM,OC
112,385916,199.5,145,BC,1,EC,BC
113,228559,199.5,146,BC,1,CM,OC
114,271237,199.5,149,OC,2006,EC,OC
115,336828,199.5,150,BC,2006,EC,OC
116,299874,199.5,151,MBC,1,CM,OC
117,414308,199.5,152,BC,2731,CS,OC
118,207251,199.5,153,MBC,1,CM,OC
119,233914,199.5,155,BC,1,CM,OC
120,264798,199.5,156,BC,1,EC,BC
121,338708,199.5,157,BC,1315,CS,OC
122,372077,199.5,159,BC,1,EC,BC
123,310093,199.5,160,BC,5008,CS,OC
124,251918,199.5,161,BCM,1,CM,OC
125,203425,199.5,162,BC,5008,CS,OC
126,275568,199.5,163,BC,1,CM,OC
127,293413,199.5,164,BC,4,CS,OC
128,279716,199.5,165,BC,1,CM,OC
129,301555,199.5,166,BC,1,CM,OC
130,204451,199.5,167,BC,1,CM,OC
131,203999,199.5,168,MBC,1,CM,OC
132,208577,199.5,169,BC,1,EC,BC
133,272226,199.5,170,MBC,1,CM,OC
134,320200,199.5,171,BC,4,AT,OC
135,274840,199.5,172,BC,2006,CM,OC
136,290776,199.5,173,BC,1,CM,BC
137,292097,199.5,174,BC,1,CM,BC
138,309512,199.5,175,BC,1,CM,BC
139,209546,199.5,176,BC,1,EC,BC
140,304987,199.5,177,MBC,1,CM,MBC
141,243835,199.5,179,BC,1315,CS,OC
142,253430,199.5,180,OC,1,IM,OC
143,304682,199.5,181,BC,1315,CS,OC
144,363799,199.5,182,BC,1,EC,BC
145,305730,199.5,183,OC,1315,CS,OC
146,347303,199.5,184,MBC,1,CM,MBC
147,229947,199.5,185,BC,1315,CS,OC
148,388364,199.5,186,BC,1,EC,BC
149,205631,199.5,188,BC,1,CM,BC
150,265809,199.5,190,MBC,1,CM,MBC
151,246391,199.5,191,BC,1,CM,BC
152,271113,199.5,192,BC,1,EC,BC
153,238882,199.5,193,BC,2006,CM,OC
154,240032,199.5,194,OC,2006,CM,OC
155,365381,199.5,195,BC,1,CM,BC
156,295036,199.5,196,BC,1,CM,BC
157,249962,199.5,197,BC,1399,CS,OC
158,200140,199.5,205,BC,1,EM,OC
159,250647,199.5,199,BCM,1,CM,BCM
160,262587,199.5,201,OC,1,IM,OC
161,296179,199.5,203,BC,1,EC,BC
162,323065,199.5,206,BC,4,AT,OC
163,352488,199.5,209,SC,1,CS,SC
164,250124,199.5,210,BC,2006,CM,OC
165,264696,199.5,212,BC,1,CM,BC
166,361572,199.5,214,BC,1,EC,BC
167,317403,199.5,215,BC,1315,CS,OC
168,257675,199.5,217,BC,1,CM,BC
169,312000,199.5,218,BC,2006,CM,OC
170,287859,199.5,219,OC,1,EM,OC
171,320881,199.5,220,BC,1315,CS,OC
172,341068,199.5,221,MBC,1,CM,MBC
173,200809,199.5,223,BC,2006,CM,OC
174,216812,199.5,224,MBC,1,CM,MBC
175,381098,199.5,225,BC,1,CM,BC
176,210427,199.5,228,MBC,1,EC,MBC
177,407099,199.5,229,MBC,1,CM,MBC
178,352165,199.5,230,BC,1,EE,OC
179,387254,199.5,232,BC,1,CM,BC
180,272417,199.5,233,BC,1,CM,BC
181,350861,199.5,234,MBC,2653,AD,OC
182,210332,199.5,235,BC,1,CM,BC
183,290145,199.5,236,BC,1,CM,BC
184,225574,199.5,237,BC,4962,CS,OC
185,364745,199.5,239,BC,1315,CS,OC
186,309930,199.5,240,BC,1,EE,OC
187,280733,199.5,241,BC,1315,CS,OC
188,223525,199.5,242,OC,1315,CS,OC
189,294375,199.5,243,BC,1,CM,BC
190,212800,199.5,244,BC,1,EM,OC
191,324950,199.5,246,MBC,2708,AL,OC
192,322830,199.5,247,BC,1,CM,BC
193,261475,199.5,248,MBC,1,CM,MBC
194,288739,199.5,250,BC,2006,CM,OC
195,412312,199.333,253,BC,1,ME,OC
196,274878,199,255,BC,2006,CM,OC
197,268580,199,258,BC,1,CM,BC
198,271291,199,259,OC,4,CS,OC
199,390555,199,260,BC,1,EM,OC
200,380745,199,261,BC,1399,AD,OC
201,245000,199,262,BC,1,CM,BC
202,271826,199,263,BC,1315,CS,OC
203,357378,199,265,BC,4,CS,OC
204,238724,199,266,BC,1,CM,BC
205,359421,199,268,MBC,1,CM,MBC
206,375718,199,269,MBC,1,CM,MBC
207,252072,199,270,BC,4,CS,OC
208,210543,199,271,BC,1,IM,OC
209,348343,199,272,MBC,1,CM,MBC
210,260574,199,273,BC,1,EM,OC
211,272588,199,274,BC,4,AT,OC
212,300166,199,275,BC,1,CM,BC
213,316994,199,276,BC,4,CS,OC
214,375677,199,279,OC,1315,CS,OC
215,257925,199,281,BC,5008,CS,OC
216,362472,199,282,BC,1,EE,OC
217,342424,199,283,BC,2006,EC,OC
218,220768,199,284,BC,1,EM,OC
219,243339,199,286,MBC,2377,CS,OC
220,332940,199,287,MBC,2006,EC,OC
221,238090,199,290,SC,1,CS,SC
222,383462,199,292,BC,1,CM,BC
223,238482,199,294,OC,1315,CS,OC
224,303172,199,295,BC,1315,CS,OC
225,319015,199,297,BC,1,CM,BC
226,272205,199,298,BC,1,CM,BC
227,318305,199,300,BC,4,CS,OC
228,248281,199,301,BC,1,CM,BC
229,350696,199,302,BC,4,AT,OC
230,235233,199,303,BC,2006,CM,OC
231,210224,199,304,BC,1,CM,BC
232,374153,199,305,BC,4,CS,OC
233,234318,199,306,SC,1,IM,OC
234,230295,199,307,OC,1315,CS,OC
235,386241,199,311,MBC,2006,CM,OC
236,304574,199,312,BC,2006,CM,OC
237,380992,199,313,BC,1,CM,BC
238,309495,199,314,BC,4,IM,OC
239,278629,199,315,BC,2006,CM,OC
240,278744,199,316,BC,2006,EC,OC
241,383555,199,318,BC,1,IM,OC
242,293589,199,320,BC,2006,CM,OC
243,202990,199,321,BC,1,IM,OC
244,323084,199,322,MBC,1,CM,MBC
245,374301,199,323,BC,2007,EC,OC
246,358780,199,324,BC,1,IM,OC
247,318712,199,325,BC,1315,CS,OC
248,255757,199,326,BC,1,IM,OC
249,374042,199,327,BC,1,IM,OC
250,357676,199,329,BC,1315,CS,OC
251,250752,199,331,MBC,4,CS,OC
252,204300,199,332,BC,1,IM,OC
253,413108,199,333,MBC,2006,CM,OC
254,359268,199,334,BC,1,IM,OC
255,367579,199,336,BC,2006,CM,OC
256,257587,199,338,OC,1,EM,OC
257,216560,199,339,BC,1315,CS,OC
258,315786,199,342,BC,1,ME,OC
259,428668,199,343,BC,2710,IT,OC
260,222477,199,344,BC,1315,CS,OC
261,389168,199,345,BC,1,IM,OC
262,425224,199,346,BC,2731,CS,OC
263,251151,199,348,SC,2006,EC,OC
264,280736,199,349,BC,2006,CM,OC
265,240596,199,351,BC,1,EM,OC
266,255760,199,353,BC,4,CS,OC
267,311328,199,354,MBC,1,CM,MBC
268,258519,199,355,BC,2006,CG,OC
269,415134,199,356,BC,2006,EC,OC
270,318290,199,358,BC,2006,CM,OC
271,321291,199,359,MBC,1,CM,MBC
272,234301,199,360,BCM,1,CM,BCM
273,212385,199,361,BC,4,CS,OC
274,349552,199,363,BC,2006,EC,OC
275,221533,199,364,BC,4,CS,OC
276,358684,199,365,BC,1315,EC,OC
277,201300,199,366,BC,1,IM,OC
278,241481,199,367,BC,1,EM,OC
279,238517,199,368,BC,4,CS,OC
280,320346,199,373,BC,1,EM,OC
281,225179,199,374,BC,5008,CS,OC
282,377261,199,375,BC,2006,EC,OC
283,301063,199,376,BC,4,CS,OC
284,390728,199,379,MBC,1,CM,MBC
285,281803,199,380,SC,1,CS,SC
286,364067,199,381,BC,1,EM,OC
287,318931,199,382,BC,1,EM,OC
288,335390,199,383,BC,2006,CM,OC
289,299158,199,384,BC,1,ME,OC
290,202899,199,386,BC,1,IM,OC
291,209739,199,387,BC,1,IM,OC
292,244132,199,388,SC,1,CS,SC
293,341600,199,389,BC,1,IM,OC
294,358051,199,390,BC,1315,EC,OC
295,385687,199,391,BC,2006,CM,BC
296,228783,199,392,OC,1,CE,OC
297,200034,199,393,OC,2006,EC,OC
298,277405,199,394,MBC,1,CM,MBC
299,352290,199,395,BC,1,EE,OC
300,204729,199,397,MBC,1,CM,MBC
301,401969,199,398,BCM,1,CM,BCM
302,202393,199,399,OC,1,IM,OC
303,203431,199,400,BC,1,EM,OC
