S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,197.0,1468,2025,AD,MBC
2,195.5,2295,2740,AD,OC
3,195.5,2348,2722,IT,BC
4,195.5,2372,4976,ME,OC
5,195.5,2548,1419,AD,BC
6,195.0,2882,2006,MS,BC
7,194.5,3163,2656,AD,BC
8,193.5,3772,1211,EE,BC
9,193.5,3808,3011,CS,BC
10,193.0,4316,1317,IT,BC
11,192.5,4754,2630,CS,OC
12,192.5,4815,2702,AL,MBC
13,192.0,5063,2618,IT,OC
14,192.0,5327,2711,CS,MBC
15,191.5,5394,3011,IT,OC
16,191.5,5430,2764,IT,MBC
17,191.5,5685,2005,CE,BC
18,191.5,5693,1311,AD,OC
19,191.5,5804,2005,EE,SCA
20,191.0,6334,2007,CE,BCM
21,190.8,6402,2635,CS,OC
22,190.5,6425,2751,CS,OC
23,190.5,6470,4955,EC,OC
24,190.5,6662,1504,CS,OC
25,190.5,6836,2719,CS,BC
26,190.0,7053,2711,EC,BC
27,190.0,7056,3011,IT,OC
28,190.0,7415,2603,EC,BC
29,190.0,7437,3465,CS,MBC
30,190.0,7458,1419,CS,MBC
31,190.0,7540,3011,CS,MBC
32,189.5,7866,1419,CS,MBC
33,189.5,7969,1311,AD,OC
34,189.5,8044,4965,CS,OC
35,189.5,8087,5910,CS,BC
36,189.5,8168,1,MI,MBC
37,189.4,8175,1442,CS,OC
38,189.4,8179,1419,EC,BC
39,189.0,8211,2702,EC,MBC
40,189.0,8241,1149,CS,OC
41,189.0,8283,3464,CS,OC
42,189.0,8378,5910,IT,OC
43,189.0,8699,1216,IT,OC
44,188.5,8798,2025,AD,MBC
45,188.5,8872,1324,EC,OC
46,188.5,8942,1419,AM,MBC
47,188.5,8945,2729,EC,OC
48,188.3,9226,3806,IT,OC
49,188.0,9255,2618,AD,OC
50,188.0,9288,2618,CS,BC
51,188.0,9300,4994,CS,OC
52,188.0,9389,1317,IT,BC
53,188.0,9465,2702,AD,MBC
54,188.0,9625,4989,IT,OC
55,188.0,9678,1419,EC,MBC
56,188.0,9696,2711,AD,BC
57,187.5,9872,1516,CS,MBC
58,187.5,9895,2618,AD,OC
59,187.5,9920,1026,EC,OC
60,187.5,9942,2711,EC,BC
61,187.5,10057,2007,CH,MBC
62,187.5,10058,1211,AE,MBC
63,187.5,10072,4962,CS,BC
64,187.5,10079,5986,CS,BC
65,187.0,10249,1304,EC,BC
66,187.0,10389,1315,CE,MBC
67,187.0,10403,5009,CS,OC
68,187.0,10492,2,IS,MBC
69,187.0,10598,1510,CS,OC
70,187.0,10623,1013,CS,OC
71,187.0,10634,4,RP,BC
72,187.0,10726,1419,IT,MBC
73,186.5,10777,3803,CS,OC
74,186.5,10821,4944,IT,OC
75,186.5,10861,2702,IT,MBC
76,186.5,11053,1419,CS,MBC
77,186.5,11157,3,BP,BC
78,186.5,11204,5901,EE,BC
79,186.0,11367,1112,CS,BC
80,186.0,11542,1516,CS,MBC
81,186.0,11544,2751,EC,OC
82,186.0,11564,1113,EC,MBC
83,186.0,11671,3465,CS,BC
84,186.0,11742,2,PM,BC
85,186.0,11852,2710,CD,OC
86,185.5,11885,1126,EV,OC
87,185.5,11897,2712,IT,SC
88,185.5,11902,1412,CS,OC
89,185.5,11954,1304,CS,MBC
90,185.5,12123,2006,MS,BC
91,185.5,12214,5009,CS,OC
92,185.5,12294,2025,EC,BC
93,185.5,12324,5842,CS,OC
94,185.5,12362,1419,IT,BC
95,185.5,12364,5986,AD,BCM
96,185.4,12414,2711,AD,BC
97,185.0,12447,2618,AD,OC
98,185.0,12498,4954,IT,OC
99,185.0,12742,4680,CE,OC
100,185.0,12845,4962,EC,OC
101,185.0,12961,2709,EC,MBC
102,184.5,13032,1412,CS,OC
103,184.5,13044,1432,EC,MBC
104,184.5,13100,2722,EC,BC
105,184.5,13104,2722,EC,BC
106,184.5,13207,4020,EC,OC
107,184.5,13212,1127,CS,OC
108,184.5,13229,2722,SC,BC
109,184.5,13283,2702,EC,MBC
110,184.5,13296,2702,EC,MBC
111,184.5,13352,1216,EC,OC
112,184.5,13358,2702,CT,OC
113,184.5,13487,1317,CH,OC
114,184.5,13489,5907,CS,OC
115,184.4,13548,2369,EC,OC
116,184.0,13604,3830,AD,OC
117,184.0,13661,1216,EE,OC
118,184.0,13685,1324,CS,OC
119,184.0,13690,1419,IT,MBC
120,184.0,13701,2007,EE,SC
121,184.0,13709,2702,IT,MBC
122,184.0,13739,4678,CS,OC
123,184.0,13761,4020,CS,MBC
124,184.0,13784,2739,AD,MBC
125,184.0,13796,3819,CS,BC
126,184.0,13857,2711,EC,BC
127,184.0,13912,2706,AD,OC
128,184.0,13946,1419,AM,BC
129,184.0,13965,5,AM,OC
130,184.0,14005,2005,CE,BCM
131,183.5,14166,3011,CS,MBC
132,183.5,14177,1113,EE,OC
133,183.5,14240,2709,CS,SC
134,183.5,14251,2710,SC,BC
135,183.5,14347,5010,EC,OC
136,183.5,14367,4974,EC,MBC
137,183.5,14415,1,XC,SC
138,183.5,14430,1210,AD,OC
139,183.5,14507,5986,CS,BC
140,183.5,14536,4,AU,SC
141,183.5,14573,1210,CS,OC
142,183.5,14619,1210,CS,OC
143,183.5,14620,3011,CS,MBC
144,183.0,14700,2710,EC,BC
145,183.0,14709,2005,PR,BC
146,183.0,14721,1013,CS,OC
147,183.0,14795,2708,CS,OC
148,183.0,14816,2607,BT,OC
149,183.0,14827,2,CH,SC
150,183.0,14851,2722,EC,BC
151,183.0,14870,2007,CH,MBC
152,183.0,14931,3465,CS,MBC
153,183.0,15005,5010,CS,OC
154,183.0,15087,2722,EC,BC
155,183.0,15214,2722,EC,BC
156,182.5,15293,2719,CS,BC
157,182.5,15307,2618,CS,MBC
158,182.5,15412,1,PT,BC
159,182.5,15467,2005,CE,MBC
160,182.5,15495,3464,CS,OC
161,182.5,15497,2751,AD,OC
162,182.5,15504,1419,EC,BCM
163,182.5,15508,2719,CS,BCM
164,182.5,15517,1211,BT,OC
165,182.5,15531,2722,EC,MBC
166,182.5,15566,2646,CS,OC
167,182.5,15598,1324,IT,OC
168,182.5,15772,1408,IT,OC
169,182.0,15822,1317,AD,BC
170,182.0,15831,2719,CS,MBC
171,182.0,15841,4960,CS,MBC
172,182.0,15853,1422,AD,MBC
173,182.0,15902,2603,EC,MBC
174,182.0,16078,1,PT,MBC
175,182.0,16116,1013,IT,OC
176,182.0,16130,5009,CS,OC
177,182.0,16168,1419,IT,BC
178,182.0,16202,1315,CE,BCM
179,182.0,16287,1149,AD,OC
180,181.5,16463,3804,CS,OC
181,181.5,16504,1013,CS,OC
182,181.5,16521,1324,EC,OC
183,181.5,16525,3011,CS,BC
184,181.5,16587,2739,IT,MBC
185,181.5,16595,5,CF,OC
186,181.5,16611,1149,AD,OC
187,181.5,16690,1317,IT,BC
188,181.5,16706,4962,CS,BC
189,181.5,16757,1101,AD,OC
190,181.5,16804,1210,AD,OC
191,181.5,16845,2740,IT,OC
192,181.5,16876,1149,CS,OC
193,181.5,16996,2,PP,OC
194,181.0,17123,3011,IT,OC
195,181.0,17208,4023,CS,OC
196,181.0,17255,2005,ME,BC
197,181.0,17258,1516,EC,OC
198,181.0,17299,5901,EE,MBC
199,181.0,17305,3011,IT,OC
200,181.0,17348,1419,AD,BC
201,181.0,17363,1419,CS,MBC
202,181.0,17371,5,AM,OC
203,181.0,17522,1304,SC,BC
204,181.0,17533,2006,AS,BC
205,180.5,17641,2706,IT,OC
206,180.5,17657,1216,IT,OC
207,180.5,17707,1112,CS,BC
208,180.5,17745,3019,CS,OC
209,180.5,17772,2712,MZ,BCM
210,180.5,17780,2,CH,SC
211,180.5,17820,3011,IT,OC
212,180.5,17837,5986,AD,BC
213,180.5,17917,2005,ME,BC
214,180.5,17930,5904,AD,OC
215,180.5,18066,1304,CS,MBC
216,180.5,18083,2005,IB,BC
217,180.5,18131,2750,BT,OC
218,180.5,18132,2764,AM,MBC
219,180.0,18218,1,XC,SC
220,180.0,18259,2702,AD,MBC
221,180.0,18292,1,IE,SC
222,180.0,18329,2739,AM,BC
223,180.0,18360,2711,AD,BC
224,180.0,18396,1304,CS,MBC
225,180.0,18429,2722,SC,BC
226,180.0,18488,5008,MF,BC
227,180.0,18500,1,PT,MBC
228,180.0,18515,2622,AD,OC
229,180.0,18583,2327,AD,OC
230,180.0,18739,1412,CS,OC
231,180.0,18756,3701,AD,OC
232,180.0,18800,3011,IT,OC
233,179.7,18845,1419,IT,BC
234,179.5,18856,1419,IT,BC
235,179.5,18931,2722,CS,MBC
236,179.5,18959,2722,SC,BC
237,179.5,19007,1216,AD,OC
238,179.5,19011,1149,AD,OC
239,179.5,19204,4960,CS,MBC
240,179.5,19318,2711,AD,BC
241,179.5,19370,2711,AD,BC
242,179.5,19377,2711,CS,MBC
243,179.5,19406,2302,CS,OC
244,179.5,19442,2709,EE,OC
245,179.2,19510,1422,CS,BC
246,179.0,19571,2618,CS,BC
247,179.0,19584,2611,IT,OC
248,179.0,19604,3011,CS,BC
249,179.0,19635,4954,IT,OC
250,179.0,19642,2025,AD,MBC
251,179.0,19646,1422,CS,MBC
252,179.0,19710,2739,AD,SC
253,179.0,19715,1304,AM,BC
254,179.0,19735,2722,EC,BC
255,179.0,19776,2601,IT,OC
256,179.0,20036,1317,IT,BC
257,179.0,20085,1419,IT,BC
258,179.0,20123,1219,BT,OC
259,178.5,20190,1422,AD,MBC
260,178.5,20239,2719,CJ,OC
261,178.5,20332,3464,CS,OC
262,178.5,20335,1419,IT,BC
263,178.5,20365,1120,CS,OC
264,178.5,20381,3465,EC,OC
265,178.5,20385,2712,AD,SC
266,178.5,20424,2702,AL,BC
267,178.5,20429,2722,EC,BC
268,178.5,20546,1422,IT,OC
269,178.5,20583,4954,CS,OC
270,178.5,20640,2751,EC,OC
271,178.5,20694,2653,EC,OC
272,178.5,20709,2711,AD,BC
273,178.5,20715,2729,IT,OC
274,178.4,20765,4974,EC,MBC
275,178.0,20801,1101,AD,OC
276,178.0,20821,2735,AD,OC
277,178.0,20859,2710,CD,OC
278,178.0,21000,1112,CS,BC
279,178.0,21102,2722,EC,BC
280,178.0,21105,4023,EC,OC
281,178.0,21107,1210,CS,OC
282,178.0,21115,5986,CS,BC
283,178.0,21154,1211,AE,MBC
284,178.0,21165,2719,CS,MBC
285,178.0,21168,1419,IT,BC
286,178.0,21185,2006,PN,BC
287,178.0,21189,1509,AD,OC
288,178.0,21212,1317,IT,BC
289,178.0,21234,2653,EC,OC
290,178.0,21276,4959,CS,OC
291,178.0,21277,1210,CS,OC
292,178.0,21340,2722,AD,MBC
293,178.0,21345,5901,EE,BC
294,178.0,21361,2719,CS,BC
295,178.0,21441,1210,AD,OC
296,177.8,21459,1516,EC,OC
297,177.5,21474,2719,CJ,OC
298,177.5,21499,2710,IT,MBC
299,177.5,21540,1450,EC,MBC
300,177.5,21551,3830,CS,OC
301,177.5,21555,1512,AD,OC
302,177.5,21570,1304,IT,BC
303,177.5,21648,5008,MF,MBC
304,177.5,21674,1317,EC,BCM
305,177.5,21679,4678,EC,OC
306,177.5,21748,1504,IT,OC
307,177.5,21786,3843,CS,OC
308,177.5,21845,2764,BM,OC
309,177.5,21871,5902,IT,OC
310,177.5,21890,2702,CB,MBC
311,177.5,21900,2711,EC,BC
312,177.5,21960,2615,CS,SC
313,177.5,22000,2005,EE,SC
314,177.1,22083,2719,IT,BC
315,177.0,22088,2,PP,OC
316,177.0,22129,1419,CI,OC
317,177.0,22199,2620,BM,OC
318,177.0,22200,1112,CS,BC
319,177.0,22234,2736,AD,OC
320,177.0,22247,5910,AD,MBC
321,177.0,22252,1304,AD,MBC
322,177.0,22264,3,BP,MBC
323,177.0,22281,2719,CS,BC
324,177.0,22302,5907,EC,OC
