S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
19194,393269,BCM,157,55320,2708,CS,BCM
19195,245891,MBC,157,55324,1210,IT,MBC
19196,339595,MBC,157,55326,1510,IT,OC
19197,293144,BCM,157,55331,2727,CS,BCM
19198,323322,BC,157,55332,2603,ME,OC
19199,406305,BC,157,55334,2740,EC,OC
19200,239197,SC,157,55335,2722,CS,SC
19201,227637,MBC,157,55336,1303,CS,OC
19202,391773,BC,157,55339,2709,CE,OC
19203,352333,BC,157,55340,3830,IT,BC
19204,344634,SC,157,55341,2609,AD,OC
19205,330955,SC,157,55342,1422,AD,SC
19206,232001,BC,157,55343,2706,EV,BC
19207,291253,MBC,157,55344,5530,AD,OC
19208,351637,BC,157,55345,5009,EE,OC
19209,287033,MBC,157,55347,1501,IT,OC
19210,380110,MBC,157,55348,1120,CS,MBC
19211,417565,BC,157,55352,2727,CS,BC
19212,310474,BC,157,55355,2609,EC,OC
19213,386715,SC,157,55358,1113,EC,SC
19214,380999,MBC,157,55361,2634,CJ,OC
19215,247588,SC,157,55362,1432,CS,SC
19216,394066,BC,157,55363,2328,CS,OC
19217,401140,MBC,157,55369,1409,CS,OC
19218,379807,SC,157,55370,2739,CS,SC
19219,269910,MBC,157,55371,1210,AD,MBC
19220,209455,BCM,157,55378,1114,CS,BCM
19221,357049,BC,157,55381,2750,CB,OC
19222,325790,BC,157,55383,4928,AD,OC
19223,353440,OC,157,55385,5022,CS,OC
19224,200969,BC,157,55386,2727,CS,BC
19225,285957,BCM,157,55388,4023,IT,BCM
19226,408814,BC,157,55389,4964,CS,OC
19227,374982,MBC,157,55391,1307,CB,OC
19228,299591,BC,157,55392,1210,CB,BC
19229,379084,BC,157,55394,1306,EC,BC
19230,383790,MBC,157,55395,2634,CB,OC
19231,347160,BC,157,55396,2750,EC,OC
19232,341534,BC,157,55397,2708,IT,BC
19233,326727,BC,157,55401,2707,BM,OC
19234,259433,SC,157,55402,3011,IT,SC
19235,206811,MBC,157,55403,2727,IT,MBC
19236,266317,SCA,157,55404,2710,CS,SCA
19237,282332,MBC,157,55406,1422,EI,OC
19238,334044,OC,157,55407,2705,AD,OC
19239,227734,BC,157,55409,5901,ME,BC
19240,261884,BC,157,55411,4934,BM,OC
19241,293505,MBC,157,55412,2607,EC,OC
19242,339720,BC,157,55413,2329,XS,OC
19243,252311,MBC,157,55417,1140,CS,OC
19244,216860,BC,157,55420,2611,IT,OC
19245,417885,BC,157,55421,4971,EC,BC
19246,248635,BC,157,55422,2734,CD,OC
19247,297057,BC,157,55429,1210,CB,BC
19248,419022,BCM,157,55431,2751,AD,BCM
19249,245502,SC,157,55432,1304,AD,SC
19250,276200,MBC,157,55433,2653,IT,MBC
19251,379219,BC,157,55434,2601,EC,OC
19252,208169,BC,157,55435,1306,IT,BC
19253,327589,BC,157,55437,1504,CS,BC
19254,293363,BC,157,55438,1120,EE,OC
19255,294536,BC,157,55439,2622,EC,OC
19256,320264,MBC,157,55440,1122,AM,MBC
19257,343356,BC,157,55441,2711,FD,BC
19258,229358,BC,157,55442,1137,AD,OC
19259,309301,BC,157,55445,3795,EC,OC
19260,382495,MBC,157,55448,1311,SC,MBC
19261,306779,MBC,157,55453,4678,CB,OC
19262,397488,BC,157,55454,1325,EC,OC
19263,248047,BC,157,55459,2622,EC,OC
19264,372738,BC,157,55460,2651,AD,OC
19265,366926,BC,157,55461,3701,AD,OC
19266,234335,BCM,157,55462,4971,EE,OC
19267,251435,MBC,157,55463,2607,CS,MBC
19268,233165,MBC,157,55464,2607,ME,OC
