S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,380614,MBC,198.5,824,2732,EC,OC
2,419243,SC,194.5,5421,3018,CS,SC
3,330377,MBC,192,9560,2628,SC,OC
4,449840,MBC,192,9939,3843,IT,MBC
5,456068,MBC,191.5,10954,1325,CS,MBC
6,355910,MBC,191,11459,2632,EC,OC
7,473622,SC,191,11698,2743,CS,SC
8,280056,MBC,191,11923,3843,EC,OC
9,455496,BC,190,13806,2622,CE,OC
10,239752,BC,188.5,16392,1412,EE,OC
11,429504,SC,185.5,23098,1509,CB,SC
12,246888,BCM,185.5,23163,3804,CS,BCM
13,444605,MBC,185,24226,5,CZ,OC
14,452462,MBC,184.5,25400,3841,CS,MBC
15,313857,SC,184.5,25739,1211,AU,SC
16,354957,MBC,184.5,25759,2601,EC,MBC
17,370991,MBC,184,26412,2610,EC,OC
18,455247,MBC,184,26960,1226,EE,OC
19,435102,MBC,183.5,28195,2610,EC,OC
20,398409,BC,183,29277,3817,CS,BC
21,426413,BC,182,31184,2620,EC,BC
22,338903,MBC,182,31475,1203,CS,MBC
23,403724,MBC,180,36323,1126,AD,MBC
24,391205,BC,179,38714,2610,CS,OC
25,252216,SC,178.5,39328,4678,AD,SC
26,336931,BC,178.5,39480,4676,CS,BC
27,341822,BC,178.5,39533,2762,EC,BC
28,409018,BCM,178.5,39808,2613,EE,BCM
29,364584,MBC,178.5,39829,2621,AD,MBC
30,366488,MBC,178.5,39893,2634,CS,MBC
31,417535,SC,178.5,40087,2755,SC,SC
32,429945,MBC,178.5,40304,3016,EE,MBC
33,477366,SC,178.5,40366,2621,AD,SC
34,480034,MBC,178,40518,2776,AD,MBC
35,368465,BC,178,40710,1420,IT,BC
36,421336,MBC,178,40771,2776,AD,MBC
37,370039,BC,178,40843,2704,MZ,BC
38,269386,BCM,178,40986,3918,AD,OC
39,447087,SC,178,41251,4955,CS,SC
40,389190,SC,178,41276,5,EI,SC
41,298119,BC,178,41563,1520,EC,BC
42,365322,MBC,178,41605,2610,EC,OC
43,377247,BC,178,41641,1441,EE,OC
44,477321,MBC,178,41642,1325,CS,MBC
45,501169,MBC,178,41650,3829,IT,OC
46,447582,SC,178,41678,5,ME,SC
47,212487,SC,177.5,41717,1419,EE,SC
48,270484,SC,177.5,41923,2737,AD,SC
49,411083,BC,177.5,41995,2643,AD,OC
50,415116,SC,177.5,42060,1210,IT,SC
51,262933,BC,177.5,42257,1431,SC,BC
52,444148,SC,177.5,42282,2718,ME,SC
53,379210,SC,177.5,42510,2656,EC,SC
54,501297,SC,177.5,42550,3855,AD,OC
55,284731,BC,177.5,42573,4980,CS,BC
56,336375,SC,177.5,42693,2729,CS,SC
57,229641,MBC,177.5,42866,2622,EE,MBC
58,451054,BC,177.5,42929,2643,IT,OC
59,403636,BCM,177,43135,1322,AE,OC
60,273527,BC,177,43158,4981,AD,BC
61,388369,MBC,177,43172,1405,AD,MBC
62,492927,BC,177,43238,2643,AD,OC
63,362417,MBC,177,43333,2737,AD,MBC
64,419345,BC,177,43344,2707,EC,BC
65,354106,SC,177,43388,1431,CS,SC
66,397841,BC,177,43445,4917,EE,BC
67,347311,BCM,177,43724,1015,EC,BCM
68,472437,MBC,177,43730,2611,CS,MBC
69,491479,SC,177,43731,2622,CS,SC
70,252849,BC,177,44163,3817,EE,OC
71,434413,MBC,176.5,44319,1405,EC,MBC
