S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,199.5,15,1149,AD,OC
2,197.0,436,2,CL,SC
3,195.5,1013,1324,CS,OC
4,195.4,1087,3011,IT,OC
5,195.2,1150,1026,CS,OC
6,194.5,1601,2,PP,BC
7,194.0,1965,2704,CS,OC
8,194.0,1988,1210,CS,BC
9,194.0,2002,1211,AE,OC
10,194.0,2028,1113,CD,OC
11,193.8,2176,2715,EC,OC
12,193.6,2280,2702,AD,BC
13,193.5,2336,2,CR,OC
14,193.4,2469,1,PT,MBC
15,193.2,2591,1118,EC,OC
16,193.2,2592,2718,EE,BCM
17,193.1,2663,2025,CS,MBC
18,193.1,2696,2710,CS,OC
19,193.1,2698,1112,CS,BC
20,193.0,2744,2603,CS,MBC
21,193.0,2836,1210,CS,MBC
22,193.0,2853,1321,MN,OC
23,193.0,2869,5010,CS,OC
24,193.0,2942,1419,EC,BC
25,193.0,2977,2712,BT,SC
26,192.9,3074,1014,CS,OC
27,192.7,3182,2025,CS,MBC
28,192.6,3255,1211,EE,OC
29,192.5,3410,1321,MN,OC
30,192.5,3539,2711,EC,BC
31,192.3,3670,5986,IT,OC
32,192.2,3714,2653,CS,OC
33,192.2,3756,1219,ME,OC
34,192.2,3783,1118,ME,OC
35,192.1,3822,2711,AD,BC
36,192.0,3882,3465,CS,BC
37,192.0,4033,1216,CS,OC
38,192.0,4045,1231,CS,OC
39,191.9,4387,1216,BM,OC
40,191.9,4415,2704,EC,OC
41,191.8,4461,2006,MY,BC
42,191.8,4462,1309,IT,OC
43,191.8,4465,2709,IT,BC
44,191.8,4468,5901,EE,MBC
45,191.8,4481,2006,TX,BC
46,191.8,4509,1432,AD,OC
47,191.7,4566,3011,CS,MBC
48,191.6,4625,2706,EC,OC
49,191.5,4709,2712,BT,MBC
50,191.5,4764,1149,EC,OC
51,191.5,4778,3819,CS,OC
52,191.5,4886,2025,CS,SC
53,191.5,4925,2615,ME,OC
54,191.5,4967,2702,EC,BC
55,191.4,5044,4960,EC,OC
56,191.4,5069,2,PP,BC
57,191.4,5071,4960,EC,OC
58,191.3,5132,3465,CS,BC
59,191.2,5173,4974,EE,OC
60,191.2,5203,1419,AD,BC
61,191.2,5275,2005,CE,BC
62,191.1,5328,1113,EI,OC
63,191.1,5337,2711,EC,BC
64,191.1,5355,2702,FD,OC
65,191.0,5399,1216,EC,OC
66,191.0,5509,1,XM,OC
67,191.0,5588,1315,CE,MBC
68,191.0,5652,1304,EC,BC
69,158.0,5671,2006,PR,MBC
70,191.0,5672,2005,EE,SC
71,191.0,5694,2620,CS,OC
72,191.0,5705,1014,IT,OC
73,190.9,5761,2719,IT,BC
74,190.8,5823,2,PM,MBC
75,190.8,5890,3011,CS,BC
76,190.7,5967,2711,EC,BC
77,190.6,6016,5,CS,OC
78,190.6,6069,3795,CS,OC
79,190.6,6095,2025,CS,SC
80,190.5,6133,1317,EC,BC
81,190.5,6156,2702,AD,BC
82,190.5,6254,2722,IT,BC
83,190.5,6260,1450,CS,SC
84,190.5,6266,2709,IT,BC
85,190.5,6307,2006,AS,BC
86,190.5,6324,2005,CE,BC
87,190.5,6329,1324,CS,OC
88,190.5,6403,1210,EC,OC
89,190.5,6426,2005,ME,MBC
90,190.4,6496,1211,EC,MBC
91,190.4,6507,2,PP,MBC
92,190.3,6538,2007,EE,SC
93,190.3,6567,4962,EC,OC
94,190.3,6608,2711,EC,MBC
95,190.3,6617,2706,CS,OC
96,190.2,6720,3425,CS,OC
97,190.2,6737,2,PM,MBC
98,190.2,6742,2006,ES,MBC
99,190.1,6785,4,RP,BCM
100,190.1,6787,2006,FY,BC
101,190.1,6795,2719,IT,BC
102,190.1,6798,2711,EE,OC
103,190.1,6821,1,XM,OC
104,190.0,6911,2005,PR,OC
105,190.0,6960,1309,CS,MBC
106,190.0,6973,2608,EC,OC
107,190.0,6995,2006,MY,BC
108,190.0,7008,5904,EC,OC
109,190.0,7042,5986,EC,OC
110,190.0,7055,2702,CT,OC
111,190.0,7078,1210,CO,OC
112,190.0,7096,5010,CS,OC
113,190.0,7104,1516,CS,MBC
114,190.0,7136,1317,BT,BCM
115,190.0,7199,2702,EC,BC
116,190.0,7211,1317,AL,BC
117,190.0,7216,5910,AD,OC
118,190.0,7251,2711,AD,BC
119,190.0,7273,1304,EC,BC
120,190.0,7293,2712,ME,OC
121,190.0,7345,4,AU,SC
122,190.0,7362,1422,CS,OC
123,190.0,7421,5910,CB,OC
124,190.0,7429,2702,BM,OC
125,190.0,7445,1211,EE,OC
126,190.0,7450,1315,CE,MBC
127,190.0,7452,3819,CS,OC
128,190.0,7462,1112,CS,BC
129,190.0,7470,2,AP,BC
130,190.0,7484,3011,BT,OC
131,190.0,7489,1450,ME,OC
132,190.0,7518,2,PP,SC
133,190.0,7549,2603,CS,MBC
134,190.0,7555,1118,CS,OC
135,189.9,7597,4678,CS,OC
136,189.8,7688,2,LE,OC
137,189.8,7714,2,PP,MBC
138,189.8,7732,2706,AD,OC
139,189.8,7739,1317,EC,BC
140,189.8,7740,1304,EC,BC
141,189.8,7756,1026,CS,OC
142,189.7,7802,1211,BM,BC
143,189.7,7814,3830,CS,OC
144,189.7,7838,2764,CS,OC
145,189.7,7854,4962,CS,BC
146,189.7,7877,2005,PR,OC
147,189.6,7906,2005,EE,SC
148,189.6,7912,1113,IT,MBC
149,189.6,7930,2711,EC,BC
150,189.6,7939,2711,CS,MBC
151,189.6,7951,1317,EC,BC
152,189.5,8021,2615,MT,OC
153,189.5,8029,2025,EC,BC
154,189.5,8068,1399,EC,BCM
155,189.5,8099,1516,CS,BC
156,189.5,8118,4,RP,BC
157,189.5,8176,1211,EC,MBC
158,189.5,8200,2,CR,OC
159,189.5,8232,3805,CS,OC
160,189.5,8350,1516,CS,BCM
161,189.5,8378,2709,IT,MBC
162,189.4,8474,2711,EC,BC
163,189.4,8487,3011,IT,OC
164,189.3,8513,2711,EC,BC
165,189.3,8521,2608,EC,OC
166,189.3,8569,2702,EC,BC
167,189.3,8623,1516,EC,OC
168,189.2,8682,4960,CS,BCM
169,189.2,8689,2005,CE,MBC
170,189.2,8692,2601,EC,OC
171,189.2,8727,3011,IT,OC
172,189.2,8728,2,CL,SC
173,189.2,8739,2711,EC,MBC
174,189.1,8781,2702,EC,BC
175,189.1,8825,2615,EC,SC
176,189.1,8827,2711,EC,BC
177,189.1,8853,3011,BT,BC
178,189.0,8879,2702,AL,OC
179,189.0,8883,2722,IT,BC
180,189.0,8891,2,PP,BC
181,189.0,8915,5986,IT,OC
182,189.0,8920,4678,CS,OC
183,189.0,8928,5901,CE,OC
184,189.0,9035,1317,BT,BC
185,189.0,9058,2,PP,BC
186,189.0,9086,2722,AD,BC
187,189.0,9087,1317,BT,BC
188,189.0,9170,1113,CB,MBC
189,189.0,9173,2764,CS,OC
190,189.0,9211,1422,EE,OC
191,189.0,9280,1516,EC,OC
192,188.9,9309,2719,IT,BC
193,188.8,9405,2702,AL,OC
194,188.8,9409,5008,MF,MBC
195,188.8,9516,1219,EE,MBC
196,188.8,9517,3465,EC,OC
197,188.7,9539,2005,CE,BCM
198,188.7,9547,2729,AE,OC
199,188.7,9554,1422,IT,OC
200,188.7,9558,2006,PR,MBC
201,188.7,9611,1149,CS,OC
202,188.7,9612,2603,CS,MBC
203,188.7,9621,2739,CS,BC
204,188.6,9701,3465,CS,BC
205,188.6,9775,1516,CS,BC
206,188.5,9798,1113,EE,OC
207,188.5,9856,1304,BM,BC
208,188.5,9961,1112,CS,BC
209,188.5,9980,2708,EE,OC
210,188.5,9994,1211,CH,OC
211,188.5,10079,4960,BT,OC
212,188.4,10133,1216,BM,OC
213,188.4,10186,2702,EC,BC
214,188.4,10199,2711,EC,BC
215,188.4,10206,2702,AD,BC
216,188.4,10239,2702,EC,BC
217,188.4,10241,2006,MS,MBC
218,188.4,10260,2377,CE,BC
219,188.4,10269,2704,IT,OC
220,188.4,10273,2,PP,MBC
221,188.3,10286,2711,EC,BC
222,188.3,10312,1304,IT,MBC
223,188.3,10331,1516,CS,BC
224,188.3,10334,2716,AE,OC
225,188.3,10335,1450,EE,OC
226,188.3,10337,2007,IM,SC
227,188.3,10345,1321,MN,OC
228,188.3,10346,3011,CS,MBC
229,188.2,10404,2702,EC,BC
230,188.2,10423,4960,EC,OC
231,188.2,10437,3465,CS,MBC
232,188.2,10461,1304,EC,BC
233,188.2,10473,1317,EC,BC
234,188.2,10496,2702,BT,BC
235,188.2,10519,2702,EC,BC
236,188.1,10545,2006,TX,BC
237,188.1,10562,4974,EC,MBC
238,188.1,10600,1516,CS,MBC
239,188.1,10612,5986,IT,OC
240,188.1,10628,2006,PS,OC
241,188.0,10658,4974,EE,OC
242,188.0,10684,1128,CS,OC
243,188.0,10718,4023,EC,OC
244,188.0,10777,2702,AD,MBC
245,188.0,10799,2,PP,BC
246,188.0,10859,1419,AD,MBC
247,188.0,10869,5,AM,OC
248,188.0,10895,2722,AD,BC
249,188.0,10943,5986,IT,OC
250,188.0,10947,2005,CE,BC
251,188.0,10957,1120,CS,OC
252,188.0,10976,1422,EC,OC
253,188.0,10991,2,CH,ST
254,188.0,11064,2005,CE,BC
255,187.9,11085,2722,EC,OC
256,187.9,11087,1304,EC,BC
257,187.9,11095,2,AP,BC
258,187.9,11146,1211,EC,BCM
259,187.9,11164,4023,EC,OC
260,187.9,11166,2702,CS,MBC
261,187.9,11189,1317,IT,MBC
262,187.9,11197,2709,IT,BC
263,187.8,11236,5910,IT,OC
264,187.8,11243,2711,EC,BC
265,187.8,11247,2702,EC,MBC
266,187.8,11279,1211,EC,MBC
267,187.8,11323,5008,CE,SC
268,187.8,11347,2722,IT,BC
269,187.7,11357,2377,EC,SC
270,187.7,11369,2702,CB,BC
271,187.7,11424,1304,EC,BC
272,187.7,11431,1015,EC,OC
273,187.7,11435,5901,EE,BC
274,187.7,11459,2,PP,MBC
275,187.6,11504,2710,IT,OC
276,187.6,11536,2377,ME,BCM
277,187.6,11602,1432,CS,BC
278,187.6,11616,2711,EC,MBC
279,187.5,11630,1516,CS,BC
280,187.5,11636,2764,BM,OC
281,187.5,11703,1422,CS,OC
282,187.5,11747,5986,EC,OC
283,187.5,11770,2006,PS,OC
284,187.5,11776,1113,CD,OC
285,187.5,11779,2007,CN,BC
286,187.5,11798,2704,CS,OC
287,187.5,11880,5910,EC,OC
288,187.5,11958,1304,EC,MBC
289,187.5,11968,1516,EC,OC
290,187.5,11972,3819,EC,OC
291,187.5,11974,1321,PA,OC
292,187.5,11976,2718,EE,MBC
293,187.4,11999,1112,IT,OC
294,187.4,12006,1149,IT,OC
295,187.4,12047,2005,ME,MBC
296,187.4,12064,4960,EC,OC
297,187.4,12065,5008,EM,SC
298,187.4,12068,1210,IT,OC
299,187.4,12100,1304,EC,BC
300,187.4,12107,5008,CN,BC
301,187.4,12119,1211,CS,SC
302,187.4,12124,1419,EC,BC
303,187.3,12174,2005,ME,SC
304,187.3,12181,1210,EC,OC
305,187.3,12202,3464,CS,OC
306,187.3,12204,1317,EC,BC
307,187.3,12227,1211,BM,SC
308,187.3,12253,2005,EE,SC
309,187.2,12304,3465,CS,BC
310,187.2,12313,2702,CS,MBC
311,187.2,12343,2603,EC,OC
312,187.2,12350,4962,CS,BC
313,187.2,12352,5901,CE,OC
314,187.2,12365,1419,IT,MBC
315,187.2,12370,2007,EM,SC
316,187.2,12388,2718,EC,MBC
317,187.2,12404,2722,EC,OC
318,187.2,12411,1219,CH,OC
319,187.2,12412,4960,IT,BCM
320,187.2,12419,1,PT,MBC
321,187.1,12458,2618,AD,OC
322,187.1,12463,2610,BM,OC
323,187.1,12486,3011,CS,BC
324,187.1,12494,5008,CM,SC
325,187.1,12498,5901,EE,BC
326,187.0,12585,2025,EE,OC
327,187.0,12595,3011,CE,OC
328,187.0,12600,5008,CN,MBC
329,187.0,12617,3819,CS,OC
330,187.0,12621,2739,CS,BC
331,187.0,12681,1321,MN,OC
332,187.0,12728,1113,ME,OC
333,187.0,12751,2,TX,OC
334,187.0,12770,1432,CS,BC
335,187.0,12772,2618,CS,OC
336,187.0,12783,2377,EC,SC
337,187.0,12793,1,XM,OC
338,187.0,12811,1419,CJ,OC
339,187.0,12862,1211,BM,BC
340,187.0,12879,5008,CE,SC
341,187.0,12904,1128,AD,OC
342,187.0,12934,2603,EC,OC
343,187.0,12936,2702,BT,BC
344,187.0,12940,2708,CS,OC
345,186.9,12952,2723,IT,OC
346,186.9,12964,1211,BT,BC
347,186.9,12978,3803,CS,OC
348,186.9,13030,5901,EE,BC
349,186.9,13064,2747,EC,OC
350,186.9,13080,3843,EC,OC
351,186.8,13107,4994,CS,OC
352,186.8,13118,3011,BT,MBC
353,186.8,13133,2025,EC,BC
354,186.8,13139,1309,EC,OC
355,186.8,13149,2735,EC,OC
356,186.8,13157,1516,CS,BCM
357,186.8,13181,5008,EE,SC
358,186.8,13187,2719,IT,BC
