S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,198.5,824,2732,EC,OC
2,194.5,5421,3018,CS,SC
3,192.0,9560,2628,SC,OC
4,192.0,9939,3843,IT,MBC
5,191.5,10954,1325,CS,MBC
6,191.0,11459,2632,EC,OC
7,191.0,11698,2743,CS,SC
8,191.0,11923,3843,EC,OC
9,190.0,13806,2622,CE,OC
10,188.5,16392,1412,EE,OC
11,185.5,23098,1509,CB,SC
12,185.5,23163,3804,CS,BCM
13,185.0,24226,5,CZ,OC
14,184.5,25400,3841,CS,MBC
15,184.5,25739,1211,AU,SC
16,184.5,25759,2601,EC,MBC
17,184.0,26412,2610,EC,OC
18,184.0,26960,1226,EE,OC
19,183.5,28195,2610,EC,OC
20,183.0,29277,3817,CS,BC
21,182.0,31184,2620,EC,BC
22,182.0,31475,1203,CS,MBC
23,180.0,36323,1126,AD,MBC
24,179.0,38714,2610,CS,OC
25,178.5,39328,4678,AD,SC
26,178.5,39480,4676,CS,BC
27,178.5,39533,2762,EC,BC
28,178.5,39808,2613,EE,BCM
29,178.5,39829,2621,AD,MBC
30,178.5,39893,2634,CS,MBC
31,178.5,40087,2755,SC,SC
32,178.5,40304,3016,EE,MBC
33,178.5,40366,2621,AD,SC
34,178.0,40518,2776,AD,MBC
35,178.0,40710,1420,IT,BC
36,178.0,40771,2776,AD,MBC
37,178.0,40843,2704,MZ,BC
38,178.0,40986,3918,AD,OC
39,178.0,41251,4955,CS,SC
40,178.0,41276,5,EI,SC
41,178.0,41563,1520,EC,BC
42,178.0,41605,2610,EC,OC
43,178.0,41641,1441,EE,OC
44,178.0,41642,1325,CS,MBC
45,178.0,41650,3829,IT,OC
46,178.0,41678,5,ME,SC
47,177.5,41717,1419,EE,SC
48,177.5,41923,2737,AD,SC
49,177.5,41995,2643,AD,OC
50,177.5,42060,1210,IT,SC
51,177.5,42257,1431,SC,BC
52,177.5,42282,2718,ME,SC
53,177.5,42510,2656,EC,SC
54,177.5,42550,3855,AD,OC
55,177.5,42573,4980,CS,BC
56,177.5,42693,2729,CS,SC
57,177.5,42866,2622,EE,MBC
58,177.5,42929,2643,IT,OC
59,177.0,43135,1322,AE,OC
60,177.0,43158,4981,AD,BC
61,177.0,43172,1405,AD,MBC
62,177.0,43238,2643,AD,OC
63,177.0,43333,2737,AD,MBC
64,177.0,43344,2707,EC,BC
65,177.0,43388,1431,CS,SC
66,177.0,43445,4917,EE,BC
67,177.0,43724,1015,EC,BCM
68,177.0,43730,2611,CS,MBC
69,177.0,43731,2622,CS,SC
70,177.0,44163,3817,EE,OC
71,176.5,44319,1405,EC,MBC
72,176.5,44413,3807,AD,MBC
73,176.5,44498,3918,SC,OC
74,176.5,44751,2345,CS,BC
75,176.5,44926,3905,CS,BC
76,176.5,45022,1412,EC,MBC
77,176.5,45078,1325,SC,MBC
78,176.5,45287,2611,IT,BC
79,176.5,45470,2627,IT,OC
80,176.5,45557,5,CH,MBC
81,176.0,45602,4961,CS,OC
82,176.0,45671,2753,AD,MBC
83,176.0,45841,2611,EC,BC
84,176.0,45852,4680,CS,BC
85,176.0,45903,1210,IT,SC
86,176.0,46121,5,ME,MBC
87,176.0,46271,2776,AD,MBC
88,176.0,46372,2748,AD,OC
89,176.0,46447,2643,CS,OC
90,176.0,46450,1114,EE,MBC
91,176.0,46556,1237,MZ,BC
92,176.0,46565,1316,CS,SC
93,176.0,46572,5,CH,BC
94,175.5,46891,1114,CS,SC
95,175.5,46936,2611,EC,MBC
96,175.5,47174,1113,EV,SC
97,175.5,47204,1118,ME,MBC
98,175.5,47282,2762,EC,BC
99,175.5,47292,2636,CE,OC
100,175.5,47332,2708,ME,BC
101,175.5,47709,1123,AM,OC
102,175.5,47765,3786,CS,OC
103,175.5,47849,5530,IT,MBC
104,175.5,47914,2656,EE,BC
105,175.5,48055,1412,EC,MBC
106,175.0,48216,2625,CS,OC
107,175.0,48294,1233,CS,OC
108,175.0,48299,2621,IT,OC
109,175.0,48342,3011,MB,BC
110,175.0,48419,1431,IT,BC
111,175.0,48421,3805,CS,MBC
112,175.0,48484,2745,EC,MBC
113,175.0,48754,3807,AD,BC
114,175.0,48788,2613,EE,MBC
115,175.0,48928,3019,EE,BC
116,175.0,48939,5,CE,BC
