S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,447808,MBC,194.5,2974A,4944,AD,MBC
2,409895,MBC,192.5,4970,2753,CS,OC
3,403726,MBC,190,7992,1420,IT,MBC
4,305181,MBC,189.5,9087,3016,EC,OC
5,288667,MBC,187.5,11852,1520,AD,MBC
6,304115,MBC,187,12591,3805,CS,MBC
7,328394,BC,182,20981,2707,AD,BC
8,449732,BCM,182,21343,1013,EC,BCM
9,419136,MBC,181.5,21533,4960,BT,MBC
10,404884,ST,181,22940,3826,AD,ST
11,439994,MBC,180,24294,3811,IT,OC
12,420025,BC,179,25838,2776,AD,BC
13,315688,MBC,178.5,26688,3841,AD,MBC
14,325386,MBC,178.5,27048,4669,ME,OC
15,385152,MBC,178.5,27107,3843,ME,OC
16,355355,BC,178.5,27442,2624,CS,OC
17,255713,SC,178,27617,2755,AM,SC
18,281806,MBC,178,27681,2620,AD,MBC
19,310600,MBC,178,27920,1140,IT,MBC
20,227042,BC,177.78,28525,4917,IT,BC
21,413423,MBC,177.5,28542,2357,IT,MBC
22,279692,BC,177.5,28576,1304,CE,BC
23,279753,MBC,177.5,28823,2740,AE,MBC
24,328015,BC,177.5,28920,4982,CS,OC
25,271306,BC,177.5,29034,1412,CS,BC
26,433491,BC,177.5,29236,2611,CS,BC
27,421116,MBC,177.5,29268,2744,AD,MBC
28,418411,BCM,177.27,29430,3806,IT,BCM
29,268271,SC,177,29700,1112,IT,SC
30,261740,BC,177,29858,2642,CS,OC
31,316632,BC,177,29888,4023,EE,BC
32,364516,MBC,177,30153,2613,EC,MBC
33,270361,BC,177,30194,2743,EC,BC
34,398026,BC,177,30248,3826,EE,BC
35,348983,SC,176.5,30678,3843,IT,SC
36,344881,BCM,176.5,30897,3826,BM,BCM
37,220216,BC,176.5,31082,1413,AM,OC
38,293709,MBC,176,31350,5842,AD,MBC
39,374122,BC,176,31590,2745,EC,BC
40,324153,SC,176,31597,4024,CE,OC
41,351619,SC,176,31671,1324,IT,SC
42,372386,MBC,176,31894,4023,IT,MBC
43,236426,BC,176,31921,2736,CE,BC
44,239757,SC,176,32100,1216,CS,SC
45,393577,SC,175.5,32430,5,EI,OC
46,386195,MBC,175.5,32461,2708,ME,OC
47,433468,MBC,175.5,32564,3410,EC,OC
48,268755,BC,175.5,32580,2632,AM,OC
49,373165,BC,175.5,32620,2622,CO,BC
50,327418,ST,175.5,32638,2005,IB,ST
51,257618,MBC,175.5,32656,2762,EC,OC
52,288234,BC,175.5,32720,2610,CS,OC
53,426725,BC,175.5,32898,2761,AD,OC
54,256144,MBC,175.5,32969,4965,CS,MBC
55,239036,ST,175.5,33015,2,CR,ST
56,282575,BC,175.5,33073,2608,EV,BC
57,317866,BC,175,33233,4965,EC,BC
58,368333,BC,175,33334,1322,AD,OC
59,239940,SC,175,33399,2369,EE,SC
60,206958,BC,175,33671,2732,EC,OC
61,452326,MBC,175,34027,1408,IT,MBC
62,415800,BCM,174.5,34438,4969,CS,BCM
63,433640,MBC,174.5,34458,3806,AD,MBC
64,279960,BC,174.5,34561,2736,ME,BC
65,209599,MBC,174.5,34580,2723,EC,MBC
66,391527,BC,174.5,34586,2357,AD,BC
67,253548,BC,174.5,34693,1202,AD,BC
68,255358,SCA,174.5,34721,2369,EE,SCA
69,208087,BC,174.5,34736,1322,CS,OC
70,314851,BC,174.5,34787,1420,AD,BC
71,425320,SC,174.5,34800,2601,IT,SC
72,371815,SC,174.5,35007,2722,CI,SC
73,389859,MBC,174,35266,1237,AD,MBC
74,321476,BC,174,35403,2357,AD,BC
75,351475,MBC,174,35429,2611,CS,MBC
76,240465,BCM,174,35546,2736,EE,BCM
77,268230,MBC,174,35689,2715,AD,MBC
78,264906,MBC,174,35758,3806,AD,MBC
79,431858,SCA,173.825,35961,2622,AM,SCA
80,202549,BC,173.5,36067,2761,SC,OC
81,221402,BC,173.5,36075,1452,CS,OC
82,213294,OC,173.5,36109,2753,EC,OC
83,382944,MBC,173.5,36201,1407,AD,OC
84,368634,MBC,173.5,36235,2707,AD,MBC
85,358639,BC,173.5,36300,5988,CS,BC
86,398213,MBC,173.5,36525,2367,SC,OC
87,400404,MBC,173.5,36639,2743,CS,MBC
88,314295,SC,173,36986,5,EE,SC
89,360078,MBC,173,37012,1413,CS,MBC
90,366153,MBC,173,37140,2737,CS,MBC
91,414135,MBC,173,37144,2763,CS,MBC
92,363242,BCM,173,37285,3810,AD,BCM
93,378344,MBC,173,37300,1237,EC,MBC
94,253403,MBC,173,37346,2607,EE,MBC
95,218537,MBC,173,37482,1316,CS,MBC
96,340618,MBC,173,37568,2641,CE,OC
97,451092,BC,173,37590,1014,EC,BC
98,226575,BC,173,37594,1307,SC,BC
99,315555,MBC,173,37616,1237,EE,OC
100,269080,MBC,173,37677,1237,AD,MBC
101,409680,MBC,173,37711,3011,XM,OC
102,408409,BC,173,37951,2634,EC,OC
103,222905,BC,172.5,38114,2761,EC,OC
104,416927,BC,172.5,38123,2357,AD,BC
105,299728,MBC,172.5,38130,2726,ME,OC
106,211096,SC,172.5,38173,3760,AG,OC
107,309295,BC,172.5,38195,2651,AD,BC
108,325325,OC,172.5,38296,4969,EC,OC
109,286092,MBC,172.5,38384,3819,ME,MBC
110,297724,MBC,172.5,38395,1216,CE,MBC
111,265686,SC,172.5,38542,2711,CS,SC
112,398724,MBC,172.5,38706,4917,IT,MBC
113,239812,BC,172,39008,2611,EC,OC
114,245207,MBC,172,39080,2723,EC,MBC
115,357972,MBC,172,39085,1504,EC,OC
116,287238,BC,172,39106,2611,CS,BC
117,315801,MBC,172,39492,3843,CS,OC
118,296958,BC,172,39500,4933,CS,OC
119,437515,MBC,172,39672,3806,AD,MBC
120,395090,MBC,172,39686,3807,CS,MBC
121,363296,BC,172,39736,5017,CS,BC
122,444615,BC,172,39759,2643,CS,OC
123,409291,BC,171.5,40012,1605,CS,OC
124,266956,BC,171.5,40053,1419,CE,BC
125,383500,BC,171.5,40125,1516,ME,BC
126,328067,MBC,171.5,40142,2601,CS,MBC
127,257440,SC,171.5,40237,1516,EE,SC
128,219985,MBC,171.5,40265,3795,AD,MBC
129,417103,BC,171.5,40408,2613,EE,OC
130,214573,BC,171.5,40508,2622,CO,BC
131,405353,MBC,171.5,40540,1015,EE,OC
132,450831,SC,171.5,40605,1307,IT,SC
133,430716,BC,171.5,40630,1238,IT,BC
134,339571,BC,171.5,40649,2639,CS,OC
135,371716,MBC,171.5,40725,2601,AD,MBC
136,426255,SC,171,41010,2739,EE,SC
137,386178,BC,171,41050,2704,EV,OC
138,324454,BC,171,41064,3804,AD,BC
139,420042,SC,171,41098,1516,EE,SC
140,327080,BC,171,41125,3905,CS,OC
141,341513,SC,171,41255,1419,EE,SC
142,268853,MBC,171,41305,1217,AD,OC
143,374060,BC,171,41326,4980,CS,OC
144,356040,MBC,171,41378,4669,AD,OC
145,229957,SC,171,41409,1210,CS,SC
146,308191,MBC,171,41484,2642,IT,OC
147,376776,MBC,171,41501,2725,ME,MBC
148,232123,BC,171,41587,1309,CE,OC
149,355968,MBC,171,41696,2653,EE,MBC
150,351464,MBC,171,41700,2634,EC,OC
151,236054,BC,171,41710,1512,CS,OC
152,314467,MBC,171,41713,2611,CY,OC
153,435094,BCM,171,41792,2607,AD,BCM
154,284157,MBC,171,41897,2609,IT,MBC
155,216772,BC,170.5,41970,2653,ME,OC
156,311237,MBC,170.5,41985,2727,EV,MBC
157,382134,MBC,170.5,42021,1225,EE,OC
158,412770,MBC,170.5,42175,3806,EE,OC
159,273772,MBC,170.5,42198,1507,AD,OC
160,328717,BC,170.5,42282,2642,AD,BC
161,207214,BC,170.5,42340,3825,CS,OC
162,287026,MBC,170.5,42592,4971,EC,MBC
163,224129,BC,170.5,42610,4981,AD,BC
164,380355,BC,170.5,42618,4960,CE,BC
165,433218,SCA,170.5,42667,2739,CS,SCA
166,315620,MBC,170.5,42854,2621,EC,OC
167,430858,SCA,170.155,42970,2622,AM,SCA
168,214000,MBC,170,43162,2727,CE,OC
169,408259,BC,170,43164,2707,CS,BC
170,227084,MBC,170,43214,4678,EC,MBC
171,322523,SCA,170,43238,2007,MF,SCA
172,240715,BCM,170,43318,4024,EE,BCM
173,384005,BCM,170,43344,4961,CS,OC
174,375237,MBC,170,43546,1237,AD,MBC
175,322556,MBC,170,43620,3011,ME,MBC
176,406064,BC,170,43639,2762,AD,BC
177,323403,BC,170,43727,3849,CS,OC
178,201437,BC,170,43852,5842,EC,BC
179,254176,BC,170,43968,1412,CS,BC
180,417706,MBC,170,43991,4959,EC,MBC
181,271759,MBC,169.5,44027,5009,ME,MBC
182,282056,BC,169.5,44133,3425,CS,BC
183,261560,SC,169.5,44264,1026,EC,SC
184,358707,BC,169.5,44276,1504,CS,BC
185,244584,MBC,169.5,44304,3805,CS,MBC
186,316129,MBC,169.5,44482,2743,CS,MBC
187,274140,BC,169.5,44488,2715,CS,BC
188,298413,BC,169.5,44542,2642,AD,BC
189,254318,SC,169.5,44607,3701,CS,SC
190,293225,BCM,169.5,44694,3811,IT,OC
191,236888,BC,169.5,44773,2762,AD,BC
192,245162,MBC,169.5,44789,2715,CS,MBC
193,214468,BC,169.5,44839,2347,IT,OC
194,215949,SC,169.5,44919,2719,EC,SC
195,323251,MBC,169.5,44963,2634,AG,OC
196,257391,BCM,169,45154,4917,CI,OC
197,348942,MBC,169,45220,1412,EC,MBC
198,208207,SC,169,45252,3805,AD,SC
199,301665,BC,169,45276,4864,CS,BC
