S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,300364,MBC,197,1309,3011,CS,MBC
2,282031,BC,196.5,1742,1309,CS,BC
3,441414,MBC,196,1852,3803,CS,OC
4,239323,BC,196,1921,1120,CS,OC
5,417579,BC,196,2009,4680,CS,OC
6,375805,BC,195.5,2253,2,PP,BC
7,360923,BCM,195,2504,1419,AM,OC
8,223466,BC,195,2546,4944,AD,OC
9,214877,MBC,195,2550,1432,EC,MBC
10,319858,MBC,195,2638,1317,CS,MBC
11,206350,OC,194.5,2944,2603,EE,OC
12,210790,BC,194.5,3132,2750,CS,OC
13,269689,BC,194.5,3202,2622,IT,OC
14,342048,MBC,193.5,3904,1412,AD,OC
15,261104,BC,193.5,3910,2719,IT,BC
16,304743,MBC,193.5,4058,1422,AD,MBC
17,324793,MBC,193.5,4163,2,PM,MBC
18,421010,MBC,193.5,4238,3701,IT,OC
19,390388,BC,193,4308,2025,EE,OC
20,275290,BC,193,4313,2613,CS,OC
21,358698,MBC,193,4575,3016,CS,OC
22,220729,MBC,193,4623,2007,MF,MBC
23,239671,MBC,193,4670,1304,CS,MBC
24,356437,MBC,193,4741,3011,PH,OC
25,219504,BC,192.5,5013,1026,CS,OC
26,359938,MBC,192.5,5018,3011,EF,OC
27,306597,BCM,192.5,5020,3819,CS,BCM
28,405823,SC,192.5,5226,4,AU,SC
29,376329,MBC,192.5,5245,2712,AE,MBC
30,256356,BCM,192,5889,2722,IT,BCM
31,268427,BC,192,5920,2603,EC,BC
32,378432,MBC,191.5,6124,2618,CS,MBC
33,347066,MBC,191.5,6158,2,PP,MBC
34,367745,MBC,191.5,6205,2,PP,MBC
35,367979,MBC,191.5,6228,3807,AD,OC
36,367056,BC,191.5,6259,4020,CS,BC
37,339304,BC,191.5,6336,1422,CS,BC
38,386818,OC,191.5,6562,4955,EC,OC
39,246491,MBC,191,6669,2607,CS,OC
40,304161,BC,191,6702,2751,AM,OC
41,420936,BC,191,6735,2025,EC,BC
42,239858,BC,191,6736,2740,IT,OC
43,362092,BC,191,6786,2622,CS,OC
44,352723,BC,191,6861,2706,EC,BC
45,371942,MBC,191,6873,2,PM,MBC
46,278732,BC,191,6961,2719,EC,BC
47,280969,SC,191,7106,1516,EE,OC
48,429477,BC,191,7146,5010,CS,BC
49,241417,BC,191,7168,1140,CS,OC
50,307694,MBC,191,7195,2,PP,MBC
51,307067,MBC,190.5,7388,1412,CS,OC
52,364791,BC,190.5,7468,1413,IT,OC
53,282247,SC,190.5,7495,1211,EC,SC
54,325420,BC,190.5,7826,5910,CS,BC
55,327883,MBC,190,7951,1216,AD,OC
56,297190,BC,190,8040,2702,BT,OC
57,381608,BC,190,8052,2711,IT,BC
58,387625,BC,190,8057,3805,AD,OC
59,295820,SC,190,8302,1399,CS,SC
60,443418,MBC,190,8811,2618,CS,MBC
61,331166,BC,189.5,8883,2719,EC,BC
62,361568,BCM,189.5,8933,2722,EC,BCM
63,335905,BC,189.5,8975,4960,CS,BC
64,204985,BC,189.5,8985,3465,CS,BC
65,394149,MBC,189.5,9020,2,PP,MBC
66,222144,MBC,189.5,9022,1211,EE,MBC
67,223014,BC,189.5,9033,4962,EC,BC
68,308530,BC,189.5,9055,3830,IT,OC
69,282867,MBC,189.5,9106,1419,CS,MBC
70,294438,MBC,189.5,9129,1113,EC,MBC
71,351582,MBC,189.5,9160,1419,CS,MBC
72,384240,BC,189.5,9179,2607,CS,OC
73,433591,SC,189.5,9187,2710,IT,SC
74,415022,MBC,189.5,9286,3011,CS,MBC
75,232604,MBC,189.5,9434,3011,IT,MBC
76,442775,SC,189.5,9492,1,MN,SC
77,286261,OC,189,9632,1310,CS,OC
78,361138,BCM,189,9664,1419,CS,BCM
79,427533,MBC,189,9834,2709,EE,MBC
80,323576,BC,189,9996,2006,MS,BC
81,203490,MBC,189,10041,2764,IT,MBC
82,236980,MBC,189,10079,5901,EE,MBC
83,437009,BC,189,10158,4,RP,BC
84,354072,BC,189,10189,1216,SC,BC
85,208869,BC,188.5,10346,2712,ME,BC
86,394100,MBC,188.5,10347,2603,EE,OC
87,342314,BC,188.5,10388,1306,AO,OC
88,237916,MBC,188.5,10495,2750,CS,OC
89,429615,MBC,188.5,10564,2710,EC,MBC
90,323799,MBC,188.5,10596,3826,AG,OC
91,304560,SC,188.5,10907,1,PT,SC
92,303168,BC,188.5,10920,1309,CS,BC
93,375770,BC,188.5,10931,1412,CS,OC
94,296047,MBC,188.5,10947,3830,AD,OC
95,331248,BC,188,10972,2620,CS,OC
96,390584,BC,188,10993,1422,CS,BC
97,344393,BC,188,11069,4980,CS,OC
98,234830,BCM,188,11109,2005,ME,BCM
99,358123,BC,188,11206,2719,EC,BC
100,365114,MBC,188,11240,5986,EC,OC
101,324685,BCM,188,11343,4962,EC,BCM
102,224511,BC,188,11494,1317,AD,OC
103,284252,BC,188,11644,2711,AD,BC
104,251716,BC,188,11653,2722,CI,BC
105,372474,BC,188,11676,2709,EE,BC
106,292907,MBC,187.5,11805,1413,CS,OC
107,348440,BC,187.5,11923,2719,EC,BC
