S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,197.0,1309,3011,CS,MBC
2,196.5,1742,1309,CS,BC
3,196.0,1852,3803,CS,OC
4,196.0,1921,1120,CS,OC
5,196.0,2009,4680,CS,OC
6,195.5,2253,2,PP,BC
7,195.0,2504,1419,AM,OC
8,195.0,2546,4944,AD,OC
9,195.0,2550,1432,EC,MBC
10,195.0,2638,1317,CS,MBC
11,194.5,2944,2603,EE,OC
12,194.5,3132,2750,CS,OC
13,194.5,3202,2622,IT,OC
14,193.5,3904,1412,AD,OC
15,193.5,3910,2719,IT,BC
16,193.5,4058,1422,AD,MBC
17,193.5,4163,2,PM,MBC
18,193.5,4238,3701,IT,OC
19,193.0,4308,2025,EE,OC
20,193.0,4313,2613,CS,OC
21,193.0,4575,3016,CS,OC
22,193.0,4623,2007,MF,MBC
23,193.0,4670,1304,CS,MBC
24,193.0,4741,3011,PH,OC
25,192.5,5013,1026,CS,OC
26,192.5,5018,3011,EF,OC
27,192.5,5020,3819,CS,BCM
28,192.5,5226,4,AU,SC
29,192.5,5245,2712,AE,MBC
30,192.0,5889,2722,IT,BCM
31,192.0,5920,2603,EC,BC
32,191.5,6124,2618,CS,MBC
33,191.5,6158,2,PP,MBC
34,191.5,6205,2,PP,MBC
35,191.5,6228,3807,AD,OC
36,191.5,6259,4020,CS,BC
37,191.5,6336,1422,CS,BC
38,191.5,6562,4955,EC,OC
39,191.0,6669,2607,CS,OC
40,191.0,6702,2751,AM,OC
41,191.0,6735,2025,EC,BC
42,191.0,6736,2740,IT,OC
43,191.0,6786,2622,CS,OC
44,191.0,6861,2706,EC,BC
45,191.0,6873,2,PM,MBC
46,191.0,6961,2719,EC,BC
47,191.0,7106,1516,EE,OC
48,191.0,7146,5010,CS,BC
49,191.0,7168,1140,CS,OC
50,191.0,7195,2,PP,MBC
51,190.5,7388,1412,CS,OC
52,190.5,7468,1413,IT,OC
53,190.5,7495,1211,EC,SC
54,190.5,7826,5910,CS,BC
55,190.0,7951,1216,AD,OC
56,190.0,8040,2702,BT,OC
57,190.0,8052,2711,IT,BC
58,190.0,8057,3805,AD,OC
59,190.0,8302,1399,CS,SC
60,190.0,8811,2618,CS,MBC
61,189.5,8883,2719,EC,BC
62,189.5,8933,2722,EC,BCM
63,189.5,8975,4960,CS,BC
64,189.5,8985,3465,CS,BC
65,189.5,9020,2,PP,MBC
66,189.5,9022,1211,EE,MBC
67,189.5,9033,4962,EC,BC
68,189.5,9055,3830,IT,OC
69,189.5,9106,1419,CS,MBC
70,189.5,9129,1113,EC,MBC
71,189.5,9160,1419,CS,MBC
72,189.5,9179,2607,CS,OC
73,189.5,9187,2710,IT,SC
74,189.5,9286,3011,CS,MBC
75,189.5,9434,3011,IT,MBC
76,189.5,9492,1,MN,SC
77,189.0,9632,1310,CS,OC
78,189.0,9664,1419,CS,BCM
79,189.0,9834,2709,EE,MBC
80,189.0,9996,2006,MS,BC
81,189.0,10041,2764,IT,MBC
82,189.0,10079,5901,EE,MBC
83,189.0,10158,4,RP,BC
84,189.0,10189,1216,SC,BC
85,188.5,10346,2712,ME,BC
